Model,Sen,Spe,PPV,F1,Acc,MCC
ELE(SVM),0.9318,0.9545,0.9535,0.9425,0.9432,0.8866
ELE(MLP),0.9545,0.9545,0.9545,0.9545,0.9545,0.9091
iEssLnc(SVM),0.7727,0.8636,0.85,0.8095,0.8182,0.639
SGII(BC+DC),0.4318,1.0000,1.0000,0.6032,0.7159,0.5247
GIC,0.3250,1.0000,1.0000,0.4906,0.6786,0.4488
