protein,protein_id
CDC6,pCDC6
TIMM8A,pTIMM8A
SH3GL3,pSH3GL3
DTNA,pDTNA
GPHN,pGPHN
PQBP1,pPQBP1
GATA1,pGATA1
F8,pF8
SH2D1A,pSH2D1A
FMR1,pFMR1
FXR1,pFXR1
MSN,pMSN
ARAF,pARAF
MAP2K2,pMAP2K2
POLA1,pPOLA1
RPGR,pRPGR
HTR2C,pHTR2C
SYP,pSYP
TAF1,pTAF1
BPY2,pBPY2
SORBS1,pSORBS1
YAF2,pYAF2
CBX3,pCBX3
MAPK8IP3,pMAPK8IP3
BCL2L1,pBCL2L1
BAX,pBAX
ABCA1,pABCA1
ANKRA2,pANKRA2
TAF13,pTAF13
PTPN12,pPTPN12
TUFT1,pTUFT1
PDE4DIP,pPDE4DIP
AP1B1,pAP1B1
PPP1R9B,pPPP1R9B
JAK3,pJAK3
EIF5A,pEIF5A
PTRH2,pPTRH2
TLE1,pTLE1
IL6ST,pIL6ST
EPS8,pEPS8
UPF1,pUPF1
NFU1,pNFU1
PKN2,pPKN2
PKP4,pPKP4
ATXN1,pATXN1
PEX16,pPEX16
ZNHIT3,pZNHIT3
IARS,pIARS
HTRA2,pHTRA2
DUSP10,pDUSP10
BBS4,pBBS4
BCAR1,pBCAR1
TRAIP,pTRAIP
CSTF2,pCSTF2
CSTF1,pCSTF1
XRCC2,pXRCC2
MSC,pMSC
ID2,pID2
TCF4,pTCF4
PEX12,pPEX12
PEX13,pPEX13
ARFIP2,pARFIP2
NCBP2,pNCBP2
PMF1,pPMF1
EIF2AK3,pEIF2AK3
DLG4,pDLG4
NCK1,pNCK1
MINK1,pMINK1
RECQL,pRECQL
PIAS1,pPIAS1
MAPKAPK2,pMAPKAPK2
LY9,pLY9
PTBP1,pPTBP1
IFI35,pIFI35
TTF1,pTTF1
CDKN1B,pCDKN1B
INPPL1,pINPPL1
NCOR2,pNCOR2
CDKN1C,pCDKN1C
UGCG,pUGCG
SERPINH1,pSERPINH1
NEUROD1,pNEUROD1
COPB1,pCOPB1
MYO6,pMYO6
DCP1A,pDCP1A
BPTF,pBPTF
F11R,pF11R
ADAM17,pADAM17
BOK,pBOK
BCL2A1,pBCL2A1
LSM6,pLSM6
CADM1,pCADM1
CSPG4,pCSPG4
RAN,pRAN
CDC45,pCDC45
UBQLN1,pUBQLN1
ITGA3,pITGA3
BIN1,pBIN1
BMPR1A,pBMPR1A
HNRNPD,pHNRNPD
HECW1,pHECW1
VPS37A,pVPS37A
KAT5,pKAT5
MYBL2,pMYBL2
CACYBP,pCACYBP
MAD2L1,pMAD2L1
PPARG,pPPARG
BAG1,pBAG1
PPP1R15A,pPPP1R15A
GRB10,pGRB10
PROX1,pPROX1
EZH2,pEZH2
KHDRBS1,pKHDRBS1
RIT1,pRIT1
MRAS,pMRAS
PGR,pPGR
RAD23A,pRAD23A
RAD23B,pRAD23B
THRB,pTHRB
HIVEP3,pHIVEP3
RNF7,pRNF7
TRIM28,pTRIM28
PEX7,pPEX7
SP3,pSP3
RFXAP,pRFXAP
BCL2L2,pBCL2L2
STAP2,pSTAP2
EXOSC6,pEXOSC6
DCP2,pDCP2
IL16,pIL16
RING1,pRING1
RAC1,pRAC1
RAC2,pRAC2
TRPV1,pTRPV1
TACC1,pTACC1
PRMT5,pPRMT5
SIAH1,pSIAH1
PEG10,pPEG10
ATXN7,pATXN7
NEDD4,pNEDD4
TTF2,pTTF2
ILK,pILK
DNM2,pDNM2
BLMH,pBLMH
PPP2R5D,pPPP2R5D
CFTR,pCFTR
SLBP,pSLBP
SCAMP1,pSCAMP1
IPCEF1,pIPCEF1
NRIP1,pNRIP1
HEXIM1,pHEXIM1
RGS4,pRGS4
MAP3K3,pMAP3K3
SNAP23,pSNAP23
RANBP3,pRANBP3
GOLGA2,pGOLGA2
MAGOH,pMAGOH
ASIC3,pASIC3
IL1RAP,pIL1RAP
FHL2,pFHL2
PPP1R8,pPPP1R8
ARHGAP5,pARHGAP5
HNRNPAB,pHNRNPAB
NR1H4,pNR1H4
APBA2,pAPBA2
FYB,pFYB
PRKAB1,pPRKAB1
PRKAB2,pPRKAB2
PRKAG1,pPRKAG1
RGPD5,pRGPD5
DNMT3A,pDNMT3A
RNF4,pRNF4
PPL,pPPL
SAFB,pSAFB
MAPK10,pMAPK10
MAPK11,pMAPK11
TRIP6,pTRIP6
LHX2,pLHX2
E2F6,pE2F6
POLE2,pPOLE2
BTG1,pBTG1
RNF216,pRNF216
ENAH,pENAH
SRSF7,pSRSF7
DUSP11,pDUSP11
NEDD9,pNEDD9
SRRM2,pSRRM2
MCL1,pMCL1
DAXX,pDAXX
MVD,pMVD
FANCA,pFANCA
ARHGEF7,pARHGEF7
FNBP1,pFNBP1
BIRC5,pBIRC5
TNFRSF25,pTNFRSF25
RIPK3,pRIPK3
MALT1,pMALT1
C9orf89,pC9orf89
AP1S1,pAP1S1
AP1S2,pAP1S2
VAMP4,pVAMP4
MBD2,pMBD2
MBD3L1,pMBD3L1
UBOX5,pUBOX5
PDZK1IP1,pPDZK1IP1
DNM1L,pDNM1L
RAB27A,pRAB27A
RGS6,pRGS6
TACC3,pTACC3
DIS3,pDIS3
PLCB2,pPLCB2
RND1,pRND1
COPG1,pCOPG1
VPS37C,pVPS37C
GNA13,pGNA13
GRAP2,pGRAP2
ANAPC5,pANAPC5
ITGAE,pITGAE
TOM1,pTOM1
STK16,pSTK16
NCKAP1,pNCKAP1
GADD45G,pGADD45G
PACSIN2,pPACSIN2
KCNJ1,pKCNJ1
UPF3A,pUPF3A
NBL1,pNBL1
EEA1,pEEA1
URI1,pURI1
CNKSR1,pCNKSR1
PARP4,pPARP4
EED,pEED
DISC1,pDISC1
SNX9,pSNX9
RAB11FIP4,pRAB11FIP4
RHOQ,pRHOQ
PBLD,pPBLD
XRN2,pXRN2
ABI3,pABI3
PINX1,pPINX1
PACSIN1,pPACSIN1
TXNIP,pTXNIP
CSPG5,pCSPG5
ZMYND8,pZMYND8
IPO13,pIPO13
PLCB1,pPLCB1
OSTM1,pOSTM1
ORC6,pORC6
AP4E1,pAP4E1
CENPK,pCENPK
LSM2,pLSM2
ECT2,pECT2
HSPB8,pHSPB8
THEG,pTHEG
PPFIA1,pPPFIA1
SYNCRIP,pSYNCRIP
RARA,pRARA
MECR,pMECR
UFD1L,pUFD1L
TRIB3,pTRIB3
PARN,pPARN
EXOSC5,pEXOSC5
GFI1,pGFI1
TGS1,pTGS1
MYCBP,pMYCBP
LOXL1,pLOXL1
MT2A,pMT2A
PRKG1,pPRKG1
RNF11,pRNF11
KCNG2,pKCNG2
DIO2,pDIO2
UBE2I,pUBE2I
TOPORS,pTOPORS
PER1,pPER1
PER2,pPER2
ARNTL,pARNTL
THAP1,pTHAP1
SERBP1,pSERBP1
HSF1,pHSF1
DTNB,pDTNB
MCM4,pMCM4
CCNE1,pCCNE1
GRIA1,pGRIA1
PDZD2,pPDZD2
GNG5,pGNG5
GNG4,pGNG4
GNG3,pGNG3
GNB5,pGNB5
ARL6,pARL6
PIKFYVE,pPIKFYVE
SORT1,pSORT1
ZNF496,pZNF496
PUM2,pPUM2
POLR1C,pPOLR1C
DNAJA3,pDNAJA3
ING4,pING4
LRRC7,pLRRC7
TCP10L,pTCP10L
DXO,pDXO
ZHX1,pZHX1
ARPC5,pARPC5
NIF3L1,pNIF3L1
GGA3,pGGA3
PHACTR3,pPHACTR3
ARID1B,pARID1B
PRPF6,pPRPF6
ERC2,pERC2
EVL,pEVL
PKD2L1,pPKD2L1
TNNI3K,pTNNI3K
CDK14,pCDK14
TLK1,pTLK1
ANKRD23,pANKRD23
GOLGA7,pGOLGA7
CDHR2,pCDHR2
RNF5,pRNF5
STK19,pSTK19
NELFE,pNELFE
CLIC1,pCLIC1
ABHD16A,pABHD16A
CSNK2B,pCSNK2B
C6orf47,pC6orf47
ATP6V1G2,pATP6V1G2
GORASP2,pGORASP2
KIAA0408,pKIAA0408
TRAF2,pTRAF2
FCHSD2,pFCHSD2
RHOXF2,pRHOXF2
MAGEA11,pMAGEA11
KRT15,pKRT15
CALCOCO2,pCALCOCO2
BNIP3L,pBNIP3L
MCM10,pMCM10
KRT81,pKRT81
ACTB,pACTB
CCDC85B,pCCDC85B
EWSR1,pEWSR1
TRIM29,pTRIM29
CLUAP1,pCLUAP1
DVL3,pDVL3
MAGEH1,pMAGEH1
QPRT,pQPRT
DCTD,pDCTD
VIM,pVIM
PHLDA1,pPHLDA1
KLHL42,pKLHL42
MEAF6,pMEAF6
RBM10,pRBM10
RWDD2B,pRWDD2B
SULT1E1,pSULT1E1
POM121,pPOM121
PLSCR1,pPLSCR1
ZBED1,pZBED1
LGALS8,pLGALS8
DAZAP2,pDAZAP2
TRIM23,pTRIM23
CBS,pCBS
STK24,pSTK24
TRIP13,pTRIP13
CEBPG,pCEBPG
HGS,pHGS
ZNF446,pZNF446
KXD1,pKXD1
ATF4,pATF4
SAT1,pSAT1
MYL6,pMYL6
RIBC2,pRIBC2
MDFI,pMDFI
PRKCI,pPRKCI
RBPMS,pRBPMS
NEK6,pNEK6
YWHAG,pYWHAG
OTX1,pOTX1
FXR2,pFXR2
GYG1,pGYG1
PHKB,pPHKB
HMG20A,pHMG20A
EXOC7,pEXOC7
NME5,pNME5
DCAF8,pDCAF8
ARHGEF15,pARHGEF15
ANXA11,pANXA11
AP1M1,pAP1M1
ZBTB43,pZBTB43
LDOC1,pLDOC1
CLDN7,pCLDN7
BAD,pBAD
HNRNPK,pHNRNPK
HOXA1,pHOXA1
RAD54B,pRAD54B
USHBP1,pUSHBP1
DVL2,pDVL2
BIRC2,pBIRC2
CCNK,pCCNK
GADD45A,pGADD45A
ZSCAN32,pZSCAN32
KRT6B,pKRT6B
CPSF6,pCPSF6
PRR13,pPRR13
PHF10,pPHF10
VSNL1,pVSNL1
PHPT1,pPHPT1
MAGEA1,pMAGEA1
CUTC,pCUTC
ZMYND19,pZMYND19
NUP62,pNUP62
FBXW5,pFBXW5
PHC2,pPHC2
MLX,pMLX
PRC1,pPRC1
PRTFDC1,pPRTFDC1
NME1,pNME1
PBX3,pPBX3
PIAS2,pPIAS2
C19orf57,pC19orf57
SEPT2,pSEPT2
APPL1,pAPPL1
CRY1,pCRY1
HOXB6,pHOXB6
WDYHV1,pWDYHV1
RBM11,pRBM11
FOXS1,pFOXS1
THAP7,pTHAP7
SLC25A6,pSLC25A6
EYA2,pEYA2
NFIC,pNFIC
ZNF250,pZNF250
CCNH,pCCNH
