protein,protein_id
SYNJ2BP,pSYNJ2BP
NOS1AP,pNOS1AP
RALGDS,pRALGDS
ITGB3,pITGB3
WEE1,pWEE1
MMP2,pMMP2
DNAJC3,pDNAJC3
KLK1,pKLK1
SHOC2,pSHOC2
KRT5,pKRT5
GP1BA,pGP1BA
CTCF,pCTCF
LMX1A,pLMX1A
TIAM1,pTIAM1
ARPC2,pARPC2
BRD2,pBRD2
ZBTB17,pZBTB17
CAV2,pCAV2
PLCG2,pPLCG2
TNKS,pTNKS
TNKS2,pTNKS2
ALAS2,pALAS2
GNG13,pGNG13
EHD1,pEHD1
EHD3,pEHD3
CDC16,pCDC16
FLNB,pFLNB
S100A13,pS100A13
IFNAR2,pIFNAR2
CHRNE,pCHRNE
PAFAH1B1,pPAFAH1B1
TPBG,pTPBG
SRP19,pSRP19
RPL23A,pRPL23A
CIT,pCIT
RHOB,pRHOB
CISH,pCISH
BET1L,pBET1L
NR0B2,pNR0B2
MLXIP,pMLXIP
PTPN7,pPTPN7
TEC,pTEC
ACVR2B,pACVR2B
NUP153,pNUP153
GAR1,pGAR1
GNAZ,pGNAZ
ELF1,pELF1
PIGT,pPIGT
DAZL,pDAZL
CNR1,pCNR1
MELK,pMELK
TNIK,pTNIK
ADRB2,pADRB2
ADRB3,pADRB3
APOL1,pAPOL1
KCNN2,pKCNN2
EGF,pEGF
MATK,pMATK
NOG,pNOG
POLR2B,pPOLR2B
POLR2F,pPOLR2F
POLR2G,pPOLR2G
POLR2H,pPOLR2H
POLR2K,pPOLR2K
POLR2J,pPOLR2J
NPY,pNPY
PVRL2,pPVRL2
GAB1,pGAB1
LY86,pLY86
TUBA1A,pTUBA1A
SH3BP5,pSH3BP5
ID3,pID3
MSTN,pMSTN
AXL,pAXL
AXIN2,pAXIN2
DUSP3,pDUSP3
SSX2IP,pSSX2IP
DDX1,pDDX1
RAB3B,pRAB3B
BGN,pBGN
IRAK1,pIRAK1
AKAP12,pAKAP12
RUNX1,pRUNX1
CD36,pCD36
LAMC1,pLAMC1
COL4A1,pCOL4A1
LCT,pLCT
CDK10,pCDK10
KCNQ1,pKCNQ1
PEX10,pPEX10
DYNC1H1,pDYNC1H1
PLIN3,pPLIN3
EIF2S1,pEIF2S1
TNFSF11,pTNFSF11
TRAF3,pTRAF3
MEP1B,pMEP1B
MEP1A,pMEP1A
FLNC,pFLNC
ARHGAP1,pARHGAP1
M6PR,pM6PR
RANBP2,pRANBP2
RANBP1,pRANBP1
SLC9A3R2,pSLC9A3R2
GRHL3,pGRHL3
CALR,pCALR
MBL2,pMBL2
TMPO,pTMPO
EPHB1,pEPHB1
EPHB2,pEPHB2
GNAO1,pGNAO1
IL10RA,pIL10RA
HLA-C,pHLA-C
HSPG2,pHSPG2
SYNJ1,pSYNJ1
SH3GL2,pSH3GL2
PDIA3,pPDIA3
CD151,pCD151
CD46,pCD46
ITGA2,pITGA2
RYR3,pRYR3
EFNA2,pEFNA2
SNTB2,pSNTB2
BRD4,pBRD4
HERC5,pHERC5
PSPN,pPSPN
ROS1,pROS1
PCLO,pPCLO
CIDEB,pCIDEB
PRSS1,pPRSS1
PCNT,pPCNT
PLAT,pPLAT
TRAF5,pTRAF5
ADAM9,pADAM9
CHRNA1,pCHRNA1
WASF1,pWASF1
DEK,pDEK
PYCARD,pPYCARD
MEFV,pMEFV
MAP3K11,pMAP3K11
KIF3A,pKIF3A
COL3A1,pCOL3A1
COL5A1,pCOL5A1
IKZF5,pIKZF5
IL5RA,pIL5RA
MMP7,pMMP7
TNFSF8,pTNFSF8
ENG,pENG
CDC42EP2,pCDC42EP2
CDC42EP3,pCDC42EP3
POLH,pPOLH
CTGF,pCTGF
SKIL,pSKIL
CAND2,pCAND2
CNOT3,pCNOT3
MEIS1,pMEIS1
CD38,pCD38
APOD,pAPOD
APOF,pAPOF
EIF1AX,pEIF1AX
TNFRSF12A,pTNFRSF12A
TRA2B,pTRA2B
ENO1,pENO1
FLT4,pFLT4
TRPC3,pTRPC3
SLA,pSLA
PTPN1,pPTPN1
SYNGAP1,pSYNGAP1
PSMC3IP,pPSMC3IP
TNKS1BP1,pTNKS1BP1
CDH23,pCDH23
CCL3,pCCL3
ABCD3,pABCD3
ABCD1,pABCD1
TNFAIP6,pTNFAIP6
TJP3,pTJP3
TAF7,pTAF7
PPEF1,pPPEF1
PPEF2,pPPEF2
KIF5B,pKIF5B
SH3BP2,pSH3BP2
GALNT12,pGALNT12
SSTR2,pSSTR2
TP53AIP1,pTP53AIP1
TNK2,pTNK2
SLC9A2,pSLC9A2
IGFBP7,pIGFBP7
ATP2B4,pATP2B4
NRP1,pNRP1
DSG3,pDSG3
LATS1,pLATS1
PTPRA,pPTPRA
ZNF148,pZNF148
PTRF,pPTRF
GNB1,pGNB1
CFH,pCFH
KCNB1,pKCNB1
KCNC1,pKCNC1
KCNF1,pKCNF1
ITGB4,pITGB4
FIGF,pFIGF
POLDIP2,pPOLDIP2
EIF3G,pEIF3G
ERBB2IP,pERBB2IP
CHMP3,pCHMP3
UBE2K,pUBE2K
MLH3,pMLH3
PMS2,pPMS2
PMS1,pPMS1
NCR1,pNCR1
GRIN3B,pGRIN3B
EPHA2,pEPHA2
DAP3,pDAP3
MKI67,pMKI67
DLGAP1,pDLGAP1
DYNLL2,pDYNLL2
KLRK1,pKLRK1
ARF5,pARF5
PRELP,pPRELP
CYCS,pCYCS
EDF1,pEDF1
DAG1,pDAG1
KLC1,pKLC1
KLC2,pKLC2
KIF5C,pKIF5C
CRP,pCRP
PTPN11,pPTPN11
UBTF,pUBTF
CBLC,pCBLC
ST5,pST5
RPS6KC1,pRPS6KC1
NUP50,pNUP50
HGF,pHGF
BCL2L10,pBCL2L10
POU1F1,pPOU1F1
FNTA,pFNTA
NRG1,pNRG1
GM2A,pGM2A
EIF5,pEIF5
NQO1,pNQO1
CRIPT,pCRIPT
SCNN1A,pSCNN1A
SCNN1B,pSCNN1B
SCNN1G,pSCNN1G
RAD18,pRAD18
TGM2,pTGM2
PMPCB,pPMPCB
VGLL1,pVGLL1
PTCH1,pPTCH1
PTCH2,pPTCH2
HIP1,pHIP1
ITGA2B,pITGA2B
PTPRR,pPTPRR
PTPN5,pPTPN5
S1PR4,pS1PR4
PTPN13,pPTPN13
NAGPA,pNAGPA
SPHK1,pSPHK1
ACTR1A,pACTR1A
CRHR1,pCRHR1
CRHBP,pCRHBP
RAPSN,pRAPSN
DDB2,pDDB2
VEZT,pVEZT
KIR2DS2,pKIR2DS2
CCR4,pCCR4
CENPC,pCENPC
IGF2,pIGF2
RFC2,pRFC2
TCF20,pTCF20
PCBP2,pPCBP2
HNRNPL,pHNRNPL
TRDN,pTRDN
APEX1,pAPEX1
AUP1,pAUP1
DIAPH3,pDIAPH3
SNTB1,pSNTB1
DMD,pDMD
KLKB1,pKLKB1
NUCB2,pNUCB2
TAF1A,pTAF1A
TAF1B,pTAF1B
TAF1C,pTAF1C
PIGP,pPIGP
DPM2,pDPM2
MAP3K2,pMAP3K2
MAP2K5,pMAP2K5
TF,pTF
PBX1,pPBX1
SSB,pSSB
MYBL1,pMYBL1
MYB,pMYB
C1D,pC1D
NCOA2,pNCOA2
BLK,pBLK
A1CF,pA1CF
MAP3K12,pMAP3K12
TRIO,pTRIO
MAP2K7,pMAP2K7
HLA-DMA,pHLA-DMA
AP2A2,pAP2A2
VAPA,pVAPA
PER3,pPER3
LRP2BP,pLRP2BP
IL3,pIL3
KIR2DL1,pKIR2DL1
RAB3A,pRAB3A
FOXA2,pFOXA2
FRK,pFRK
DNAJB1,pDNAJB1
DNAJA1,pDNAJA1
CDC25C,pCDC25C
PKMYT1,pPKMYT1
CD19,pCD19
CR2,pCR2
BIRC3,pBIRC3
SPTBN4,pSPTBN4
PDCD4,pPDCD4
RPS13,pRPS13
RPL5,pRPL5
WBP1,pWBP1
WBP2,pWBP2
COL4A2,pCOL4A2
PLG,pPLG
VTN,pVTN
VWF,pVWF
TPD52,pTPD52
POU2AF1,pPOU2AF1
ARHGAP35,pARHGAP35
HRK,pHRK
RCAN1,pRCAN1
TNFRSF21,pTNFRSF21
STIP1,pSTIP1
MID1,pMID1
TRIM31,pTRIM31
TRIM6,pTRIM6
SPAG9,pSPAG9
TLE4,pTLE4
TNFSF14,pTNFSF14
LTBR,pLTBR
PLTP,pPLTP
APOA2,pAPOA2
VAV2,pVAV2
VAV3,pVAV3
DLG2,pDLG2
F13A1,pF13A1
TRIM63,pTRIM63
PEX1,pPEX1
PEX6,pPEX6
RANGRF,pRANGRF
RCC1,pRCC1
ADORA1,pADORA1
STIM1,pSTIM1
STIM2,pSTIM2
TIMP3,pTIMP3
PTH1R,pPTH1R
CLPX,pCLPX
DNAJC7,pDNAJC7
SPTB,pSPTB
RGS18,pRGS18
C4BPA,pC4BPA
MAP3K13,pMAP3K13
PRDX3,pPRDX3
MME,pMME
GRIP1,pGRIP1
GRIA3,pGRIA3
GRIA4,pGRIA4
SYNJ2,pSYNJ2
FGB,pFGB
MVP,pMVP
KCND2,pKCND2
IQGAP2,pIQGAP2
NFIL3,pNFIL3
SEPT8,pSEPT8
RAC3,pRAC3
NPR3,pNPR3
NPR2,pNPR2
TNFRSF11B,pTNFRSF11B
SRSF11,pSRSF11
SRSF2,pSRSF2
PIM1,pPIM1
ALCAM,pALCAM
KPNA4,pKPNA4
TAS1R1,pTAS1R1
TAS1R2,pTAS1R2
HLA-E,pHLA-E
C1S,pC1S
RAB11FIP2,pRAB11FIP2
MYO5B,pMYO5B
PTTG1,pPTTG1
PRDX6,pPRDX6
AVPR2,pAVPR2
CD5,pCD5
COPS2,pCOPS2
PKP2,pPKP2
TYRO3,pTYRO3
DMPK,pDMPK
PTPN3,pPTPN3
DLGAP2,pDLGAP2
GRB14,pGRB14
CLIP2,pCLIP2
SUPT3H,pSUPT3H
GNAI3,pGNAI3
GATA3,pGATA3
HRC,pHRC
STOM,pSTOM
TLR2,pTLR2
ATRIP,pATRIP
KPNA1,pKPNA1
SOX18,pSOX18
MCM3AP,pMCM3AP
OMP,pOMP
MXD1,pMXD1
RAP2A,pRAP2A
EIF2B2,pEIF2B2
EIF2B4,pEIF2B4
EIF2B5,pEIF2B5
TCEA1,pTCEA1
UNG,pUNG
ACTR3,pACTR3
PDCD6IP,pPDCD6IP
METAP2,pMETAP2
TOB2,pTOB2
CCNG2,pCCNG2
RP2,pRP2
SGCD,pSGCD
SGCG,pSGCG
ELK3,pELK3
KIR2DL4,pKIR2DL4
HES6,pHES6
PI4KB,pPI4KB
CREM,pCREM
GUSB,pGUSB
KLRD1,pKLRD1
WNT1,pWNT1
WNT2,pWNT2
FZD6,pFZD6
SFRP1,pSFRP1
CD1D,pCD1D
GRK1,pGRK1
ASB8,pASB8
TEP1,pTEP1
CYP11A1,pCYP11A1
CAMK2G,pCAMK2G
RAD51AP1,pRAD51AP1
JAG1,pJAG1
DLL1,pDLL1
ARHGEF3,pARHGEF3
EDNRB,pEDNRB
AGTR1,pAGTR1
ESR2,pESR2
NMUR2,pNMUR2
PIP5K1C,pPIP5K1C
TRERF1,pTRERF1
ANXA1,pANXA1
DSG2,pDSG2
TNR,pTNR
BCAN,pBCAN
ACAN,pACAN
BICD2,pBICD2
MTCP1,pMTCP1
SPARC,pSPARC
EAF1,pEAF1
USP9X,pUSP9X
ASGR1,pASGR1
ASGR2,pASGR2
ATP6V0C,pATP6V0C
SLC22A1,pSLC22A1
ITPR3,pITPR3
TNFRSF11A,pTNFRSF11A
CTSL,pCTSL
ITGB7,pITGB7
RAG1,pRAG1
NFYC,pNFYC
GRK4,pGRK4
GRK6,pGRK6
CEBPA,pCEBPA
ADRBK2,pADRBK2
KCNJ11,pKCNJ11
RLBP1,pRLBP1
CCL4,pCCL4
HDLBP,pHDLBP
OLFM3,pOLFM3
MYOC,pMYOC
FBXW11,pFBXW11
ITGA6,pITGA6
NUP133,pNUP133
CELF2,pCELF2
SERPINB3,pSERPINB3
NTF3,pNTF3
MTNR1A,pMTNR1A
ITIH2,pITIH2
STAMBP,pSTAMBP
KLF3,pKLF3
AKAP8L,pAKAP8L
ITGAD,pITGAD
TEK,pTEK
STK35,pSTK35
PDLIM1,pPDLIM1
GDI2,pGDI2
TEAD1,pTEAD1
RAD1,pRAD1
KRT10,pKRT10
ADA,pADA
C5AR1,pC5AR1
MAP4K2,pMAP4K2
LAT,pLAT
RPH3A,pRPH3A
PRKCG,pPRKCG
SLPI,pSLPI
RBX1,pRBX1
KCNA3,pKCNA3
KCNA2,pKCNA2
KCNA1,pKCNA1
NPM1,pNPM1
SH3GLB1,pSH3GLB1
PPP2R2A,pPPP2R2A
DHFR,pDHFR
PIK3CD,pPIK3CD
CDC14A,pCDC14A
KCTD13,pKCTD13
PAPPA2,pPAPPA2
CD3E,pCD3E
VARS,pVARS
EIF3L,pEIF3L
KPNA6,pKPNA6
CASP7,pCASP7
HMGN1,pHMGN1
COL25A1,pCOL25A1
KCNJ6,pKCNJ6
NLGN2,pNLGN2
NLGN1,pNLGN1
NLGN3,pNLGN3
MXI1,pMXI1
MXD3,pMXD3
MXD4,pMXD4
CREBZF,pCREBZF
SPAG4,pSPAG4
SOS2,pSOS2
IL18,pIL18
LHX3,pLHX3
TSPAN4,pTSPAN4
UQCRC2,pUQCRC2
NCR3,pNCR3
SALL1,pSALL1
MSX1,pMSX1
ICAM3,pICAM3
POLD3,pPOLD3
USP10,pUSP10
G3BP1,pG3BP1
CTNNAL1,pCTNNAL1
SNRPB2,pSNRPB2
AMBP,pAMBP
GPLD1,pGPLD1
EFNA3,pEFNA3
EFNA5,pEFNA5
SYT13,pSYT13
SEMA6A,pSEMA6A
RAPGEF3,pRAPGEF3
RAPGEF4,pRAPGEF4
RAPGEF5,pRAPGEF5
FGFR2,pFGFR2
ICMT,pICMT
CRH,pCRH
PRKG2,pPRKG2
RAD51B,pRAD51B
LAMTOR2,pLAMTOR2
GTF2F2,pGTF2F2
EIF4B,pEIF4B
WRNIP1,pWRNIP1
CAMK1,pCAMK1
SLC4A1AP,pSLC4A1AP
PAH,pPAH
COL9A1,pCOL9A1
GORASP1,pGORASP1
BLZF1,pBLZF1
PKLR,pPKLR
TLR1,pTLR1
DUSP19,pDUSP19
NR2F2,pNR2F2
CSF2,pCSF2
IL5,pIL5
SPEN,pSPEN
TMEM132A,pTMEM132A
TNFRSF9,pTNFRSF9
CDC34,pCDC34
ANAPC11,pANAPC11
ANAPC2,pANAPC2
FGG,pFGG
FGA,pFGA
ELP3,pELP3
IKBKAP,pIKBKAP
RIT2,pRIT2
AMY1A,pAMY1A
GP1BB,pGP1BB
KCNK3,pKCNK3
WNT3A,pWNT3A
WNT5A,pWNT5A
PLA2G1B,pPLA2G1B
CCS,pCCS
ZNF33A,pZNF33A
CUL7,pCUL7
FBXW8,pFBXW8
GLRB,pGLRB
SWAP70,pSWAP70
MKNK1,pMKNK1
PITPNM3,pPITPNM3
DOK4,pDOK4
MPL,pMPL
AP1G2,pAP1G2
GAB3,pGAB3
SNAPC1,pSNAPC1
SNAPC3,pSNAPC3
HTR1A,pHTR1A
S1PR1,pS1PR1
HTR1D,pHTR1D
RARG,pRARG
RAB6A,pRAB6A
CCNG1,pCCNG1
SPDEF,pSPDEF
RASD1,pRASD1
TNFRSF8,pTNFRSF8
UBE2R2,pUBE2R2
RGS3,pRGS3
KRT1,pKRT1
BDKRB2,pBDKRB2
TNFRSF4,pTNFRSF4
RAB32,pRAB32
AKAP14,pAKAP14
RPA4,pRPA4
NTN1,pNTN1
NKX2-1,pNKX2-1
SNRPC,pSNRPC
AFF4,pAFF4
ARL4A,pARL4A
EAF2,pEAF2
ELN,pELN
MFAP2,pMFAP2
P2RX4,pP2RX4
F7,pF7
SNCB,pSNCB
XPO5,pXPO5
SLC8A1,pSLC8A1
ARHGDIB,pARHGDIB
SIX5,pSIX5
MDK,pMDK
ASIC2,pASIC2
GMEB1,pGMEB1
ERCC5,pERCC5
NR1H3,pNR1H3
NR5A2,pNR5A2
CCL23,pCCL23
DRP2,pDRP2
PRX,pPRX
RPS6KB1,pRPS6KB1
MAPKAP1,pMAPKAP1
EIF4G1,pEIF4G1
EIF3B,pEIF3B
PRKAA1,pPRKAA1
CLIP1,pCLIP1
FNIP1,pFNIP1
RB1CC1,pRB1CC1
COASY,pCOASY
POLDIP3,pPOLDIP3
PAM,pPAM
FLCN,pFLCN
NRAP,pNRAP
BMP4,pBMP4
CCL22,pCCL22
IFT172,pIFT172
PTP4A1,pPTP4A1
CDC37,pCDC37
PDGFA,pPDGFA
PAK6,pPAK6
ARFIP1,pARFIP1
CHRND,pCHRND
INHBB,pINHBB
INHBA,pINHBA
GRK5,pGRK5
MYOZ2,pMYOZ2
MYOZ1,pMYOZ1
MYOZ3,pMYOZ3
ICAM1,pICAM1
AP3S1,pAP3S1
ELMO1,pELMO1
WWTR1,pWWTR1
TNC,pTNC
STON2,pSTON2
IFNG,pIFNG
ASAP2,pASAP2
IL22,pIL22
AKAP5,pAKAP5
ABCA4,pABCA4
CCNT2,pCCNT2
POU4F2,pPOU4F2
NR1H2,pNR1H2
DLX2,pDLX2
DLX5,pDLX5
ARTN,pARTN
SNX6,pSNX6
ABCG5,pABCG5
TAP2,pTAP2
SNAPC2,pSNAPC2
IDE,pIDE
REXO4,pREXO4
LBP,pLBP
ELP2,pELP2
PKN3,pPKN3
ARHGAP26,pARHGAP26
ARHGAP10,pARHGAP10
UTF1,pUTF1
ERCC6,pERCC6
POLL,pPOLL
PTGFRN,pPTGFRN
TLX2,pTLX2
NPPA,pNPPA
CUBN,pCUBN
SYNC,pSYNC
MAPT,pMAPT
NOS2,pNOS2
JADE1,pJADE1
RANBP10,pRANBP10
COL7A1,pCOL7A1
VAMP3,pVAMP3
STX16,pSTX16
STX6,pSTX6
COL17A1,pCOL17A1
SMC4,pSMC4
TJAP1,pTJAP1
SHC3,pSHC3
ABCB7,pABCB7
CD180,pCD180
IL12RB1,pIL12RB1
IL23A,pIL23A
ARHGEF12,pARHGEF12
CCL3L1,pCCL3L1
NR6A1,pNR6A1
NCAPD2,pNCAPD2
ATP6V1H,pATP6V1H
C1QA,pC1QA
IL13RA1,pIL13RA1
SEMA4C,pSEMA4C
POU3F1,pPOU3F1
VAMP1,pVAMP1
CGN,pCGN
C8A,pC8A
PTPN22,pPTPN22
NLK,pNLK
SDC4,pSDC4
TOP1,pTOP1
TGFBR3,pTGFBR3
CSTB,pCSTB
TOMM22,pTOMM22
MAPKAPK5,pMAPKAPK5
ITM2B,pITM2B
KNTC1,pKNTC1
TIE1,pTIE1
RIPK4,pRIPK4
GALNT14,pGALNT14
SH2B3,pSH2B3
CD3D,pCD3D
BMF,pBMF
DSP,pDSP
PI3,pPI3
IVL,pIVL
RPGRIP1,pRPGRIP1
ARHGAP17,pARHGAP17
ARHGAP44,pARHGAP44
AKAP6,pAKAP6
PDE4A,pPDE4A
PDE4D,pPDE4D
CYFIP1,pCYFIP1
MAGI3,pMAGI3
TMF1,pTMF1
SLC25A4,pSLC25A4
OPRL1,pOPRL1
HMGB2,pHMGB2
CD247,pCD247
NET1,pNET1
MAP4K1,pMAP4K1
COPZ1,pCOPZ1
TAX1BP1,pTAX1BP1
IL10,pIL10
ERC1,pERC1
SDC1,pSDC1
NTRK2,pNTRK2
EPS15,pEPS15
CSF3R,pCSF3R
FBN1,pFBN1
KLK2,pKLK2
ATP6AP2,pATP6AP2
SOX6,pSOX6
RAB6B,pRAB6B
RGS5,pRGS5
EBI3,pEBI3
ASCL1,pASCL1
GPR143,pGPR143
CHML,pCHML
ARHGEF4,pARHGEF4
HOXB8,pHOXB8
SLC26A3,pSLC26A3
BEST1,pBEST1
ISL1,pISL1
ISL2,pISL2
VCAM1,pVCAM1
REPS2,pREPS2
FKBP5,pFKBP5
EXOSC7,pEXOSC7
EXOSC1,pEXOSC1
LMBR1L,pLMBR1L
HNF1B,pHNF1B
MCAM,pMCAM
NFE2L3,pNFE2L3
ILF2,pILF2
RAB13,pRAB13
CD34,pCD34
SEC24B,pSEC24B
FBLN2,pFBLN2
TLN1,pTLN1
SYT2,pSYT2
SYT7,pSYT7
SYT8,pSYT8
SYT3,pSYT3
SYT4,pSYT4
SLC12A3,pSLC12A3
IL17RB,pIL17RB
RAB27B,pRAB27B
FRAT1,pFRAT1
DYNC2H1,pDYNC2H1
DYNC2LI1,pDYNC2LI1
SGK3,pSGK3
HR,pHR
CD84,pCD84
REPS1,pREPS1
THEM4,pTHEM4
EYA1,pEYA1
BZRAP1,pBZRAP1
KCNS3,pKCNS3
HCFC1R1,pHCFC1R1
MS4A1,pMS4A1
FGFBP1,pFGFBP1
PAG1,pPAG1
NRXN2,pNRXN2
NRXN3,pNRXN3
MMP1,pMMP1
MMP3,pMMP3
MMP8,pMMP8
MMP10,pMMP10
MMP13,pMMP13
CXCR1,pCXCR1
RYK,pRYK
C4A,pC4A
PRPF4B,pPRPF4B
PLA2G4C,pPLA2G4C
DSC2,pDSC2
GJB1,pGJB1
RBP1,pRBP1
DUSP16,pDUSP16
DUSP1,pDUSP1
RASSF5,pRASSF5
NRD1,pNRD1
PPP1R13L,pPPP1R13L
ARL8B,pARL8B
BANK1,pBANK1
CCR3,pCCR3
LDHA,pLDHA
RNGTT,pRNGTT
IBTK,pIBTK
RGS14,pRGS14
HAND1,pHAND1
FBXO32,pFBXO32
PODXL,pPODXL
HOXB1,pHOXB1
ESRRG,pESRRG
SLAMF1,pSLAMF1
IRF8,pIRF8
NFKBIE,pNFKBIE
DSC3,pDSC3
APOBEC2,pAPOBEC2
NMB,pNMB
CDH15,pCDH15
PPP2R5A,pPPP2R5A
CLINT1,pCLINT1
PTPN21,pPTPN21
PATZ1,pPATZ1
TNFSF15,pTNFSF15
CREB5,pCREB5
AFP,pAFP
TWIST2,pTWIST2
MAP3K6,pMAP3K6
MAPK15,pMAPK15
NXF2,pNXF2
FBXO2,pFBXO2
NOD1,pNOD1
AIP,pAIP
CCNB3,pCCNB3
CD72,pCD72
LIG4,pLIG4
KCNJ5,pKCNJ5
TRIM3,pTRIM3
TIRAP,pTIRAP
ADRA2B,pADRA2B
ADRA2C,pADRA2C
TMBIM6,pTMBIM6
MAP2,pMAP2
GAN,pGAN
PAIP1,pPAIP1
PEG3,pPEG3
IREB2,pIREB2
SIGMAR1,pSIGMAR1
PPP2R4,pPPP2R4
NGEF,pNGEF
TNFRSF18,pTNFRSF18
NR0B1,pNR0B1
EPHB3,pEPHB3
EPHA4,pEPHA4
SERPINE1,pSERPINE1
SNRPE,pSNRPE
GLI1,pGLI1
APCS,pAPCS
BIRC7,pBIRC7
SCGB1A1,pSCGB1A1
PAK1IP1,pPAK1IP1
CD33,pCD33
C1R,pC1R
MASP1,pMASP1
PPP2R3A,pPPP2R3A
C4B,pC4B
IRF9,pIRF9
ZNF174,pZNF174
ZKSCAN8,pZKSCAN8
SF3A1,pSF3A1
TLK2,pTLK2
RAB22A,pRAB22A
CCR7,pCCR7
GRIN1,pGRIN1
SH2D3A,pSH2D3A
C6orf25,pC6orf25
MAPK13,pMAPK13
KLC3,pKLC3
HLA-DRB3,pHLA-DRB3
RRN3,pRRN3
CD59,pCD59
ERCC2,pERCC2
CD48,pCD48
ODF1,pODF1
MYO9B,pMYO9B
SYTL1,pSYTL1
TSN,pTSN
CFHR3,pCFHR3
CFHR4,pCFHR4
INPP5K,pINPP5K
ZDHHC17,pZDHHC17
PIGH,pPIGH
PARD6B,pPARD6B
ACVR1B,pACVR1B
ALOX12,pALOX12
MLLT1,pMLLT1
PVRL3,pPVRL3
ERN1,pERN1
CDH6,pCDH6
XAB2,pXAB2
BAG2,pBAG2
CLK4,pCLK4
KIR3DL2,pKIR3DL2
ADAM12,pADAM12
OPRM1,pOPRM1
MYLK,pMYLK
STAG1,pSTAG1
ANAPC1,pANAPC1
PDS5A,pPDS5A
IL18R1,pIL18R1
TCF7L2,pTCF7L2
CDK11B,pCDK11B
HUS1B,pHUS1B
CREG1,pCREG1
LAMTOR3,pLAMTOR3
HOXC8,pHOXC8
RALGPS1,pRALGPS1
RAB5B,pRAB5B
NLGN4X,pNLGN4X
SYNPO,pSYNPO
PPP4R4,pPPP4R4
CTTNBP2,pCTTNBP2
CTTNBP2NL,pCTTNBP2NL
STRIP1,pSTRIP1
PDCD10,pPDCD10
PPP2R1A,pPPP2R1A
STK26,pSTK26
SIKE1,pSIKE1
STRN,pSTRN
STRN3,pSTRN3
TRAF3IP3,pTRAF3IP3
PPP2CB,pPPP2CB
PPP2R2C,pPPP2R2C
PPP4R1,pPPP4R1
IGBP1,pIGBP1
TCP1,pTCP1
SMEK1,pSMEK1
TIPRL,pTIPRL
TNFRSF6B,pTNFRSF6B
CNN1,pCNN1
MATN2,pMATN2
FCGR1A,pFCGR1A
FCAR,pFCAR
CABLES2,pCABLES2
IRS4,pIRS4
DCX,pDCX
CNTNAP4,pCNTNAP4
CNTNAP3,pCNTNAP3
SGCA,pSGCA
CST5,pCST5
RIN1,pRIN1
APBA1,pAPBA1
VTI1A,pVTI1A
STX7,pSTX7
VAMP8,pVAMP8
GEMIN6,pGEMIN6
SERPINB8,pSERPINB8
HMMR,pHMMR
EIF4G2,pEIF4G2
EFNB1,pEFNB1
OPHN1,pOPHN1
LTA,pLTA
LAT2,pLAT2
RARS,pRARS
IL4,pIL4
SAG,pSAG
NPNT,pNPNT
ITGA8,pITGA8
TAF11,pTAF11
RDX,pRDX
MAG,pMAG
TGFB2,pTGFB2
COL10A1,pCOL10A1
CIZ1,pCIZ1
CASP8AP2,pCASP8AP2
MED12,pMED12
NOD2,pNOD2
TESK1,pTESK1
TESK2,pTESK2
IFNGR1,pIFNGR1
IFNGR2,pIFNGR2
RFX4,pRFX4
LGALS3,pLGALS3
SHC2,pSHC2
TIMP4,pTIMP4
PFKM,pPFKM
NFKBIZ,pNFKBIZ
PTK6,pPTK6
VIPR1,pVIPR1
CDH4,pCDH4
PTPN18,pPTPN18
TCEB2,pTCEB2
HP,pHP
CSF2RA,pCSF2RA
MPP5,pMPP5
NPHS2,pNPHS2
CLCA1,pCLCA1
CHST15,pCHST15
EPHA8,pEPHA8
INSL3,pINSL3
IL7R,pIL7R
HEY1,pHEY1
CCR6,pCCR6
TWSG1,pTWSG1
BMP1,pBMP1
FKBP1B,pFKBP1B
IL1R2,pIL1R2
EPB42,pEPB42
SYNRG,pSYNRG
ACVRL1,pACVRL1
CHM,pCHM
SLC6A1,pSLC6A1
LZTS1,pLZTS1
CLGN,pCLGN
RNF19A,pRNF19A
BDNF,pBDNF
SCAF11,pSCAF11
GLP1R,pGLP1R
NRL,pNRL
ADAM10,pADAM10
NISCH,pNISCH
WIPF2,pWIPF2
SOCS2,pSOCS2
GBP3,pGBP3
SREK1,pSREK1
WT1,pWT1
WTAP,pWTAP
CCNB2,pCCNB2
SENP2,pSENP2
NLRP1,pNLRP1
RAB33B,pRAB33B
LAMA5,pLAMA5
LAMA1,pLAMA1
EDA2R,pEDA2R
SGOL1,pSGOL1
KLK3,pKLK3
LAIR1,pLAIR1
PILRA,pPILRA
INHBE,pINHBE
MAP4K5,pMAP4K5
SLC7A7,pSLC7A7
FAM57A,pFAM57A
ACKR2,pACKR2
CCR1,pCCR1
PIK3CB,pPIK3CB
CD14,pCD14
MBP,pMBP
PMP22,pPMP22
MPZ,pMPZ
PVRL1,pPVRL1
OCRL,pOCRL
CSRP2,pCSRP2
CCKAR,pCCKAR
TAOK3,pTAOK3
STRAP,pSTRAP
GATA5,pGATA5
KLF2,pKLF2
UPK2,pUPK2
UPK3A,pUPK3A
MYOG,pMYOG
IL12A,pIL12A
TACR2,pTACR2
CDK16,pCDK16
PIGQ,pPIGQ
SYN2,pSYN2
TAF5,pTAF5
TFEC,pTFEC
RFX5,pRFX5
