Node_i,Node_j,edge_weight
l1700003F17Rik,pAGO4,1
l1700003F17Rik,pPABP1,1
l1700003F17Rik,pPou5f1,1
l1700003F17Rik,pRFOX2,1
l1700003F17Rik,pTTP,1
l1700003F17Rik,pTYY1,1
l1700006D18Rik,p-,1
l1700006D18Rik,pAGO1,1
l1700006D18Rik,pAGO2,1
l1700006D18Rik,pAGO4,1
l1700006D18Rik,pFMR1,1
l1700006D18Rik,pPtbp2,1
l1700006D18Rik,pRFOX2,1
l1700006D18Rik,pSFPQ,1
l1700006D18Rik,pTIA1,1
l1700006D18Rik,pTYY1,1
l1700006P19Rik,p-,1
l1700006P19Rik,pAGO1,1
l1700006P19Rik,pAGO2,1
l1700006P19Rik,pAGO4,1
l1700006P19Rik,pDAZL,1
l1700006P19Rik,pElavl1,1
l1700006P19Rik,pKPYM,1
l1700006P19Rik,pPABP1,1
l1700006P19Rik,pPtbp2,1
l1700006P19Rik,pRBM10,1
l1700006P19Rik,pRFOX2,1
l1700006P19Rik,pSFPQ,1
l1700006P19Rik,pTIA1,1
l1700006P19Rik,pTTP,1
l1700007K13Rik,pFus,2
l1700007K13Rik,pTdp43,1
l1700007L15Rik,pDAZL,1
l1700007L15Rik,pPABP1,1
l1700007L15Rik,pPSPC1,1
l1700007M16Rik,pRFOX2,1
l1700008O03Rik,pFus,2
l1700008O03Rik,pTdp43,1
l1700008O03Rik,pUpf1,1
l1700009P17Rik,pFus,1
l1700009P17Rik,pTdp43,1
l1700011J10Rik,pKPYM,1
l1700011J10Rik,pPABP1,1
l1700011J10Rik,pPou5f1,1
l1700011J10Rik,pRBM10,1
l1700011J10Rik,pSFPQ,1
l1700011J10Rik,pTIA1,1
l1700011J10Rik,pTYY1,1
l1700012C08Rik,pPtbp2,1
l1700012G19Rik,pMbnl1,1
l1700013F07Rik,pFus,2
l1700013F07Rik,pTdp43,1
l1700013G23Rik,pRFOX2,1
l1700015O11Rik,pPou5f1,1
l1700016G14Rik,pTdp43,1
l1700019B21Rik,pDAZL,1
l1700019B21Rik,pRFOX2,1
l1700019E08Rik,pRFOX2,1
l1700019G24Rik,p-,1
l1700019G24Rik,pFMRP,1
l1700019G24Rik,pFus,2
l1700019G24Rik,pPou5f1,1
l1700019G24Rik,pTdp43,1
l1700021F05Rik,pCelf1,2
l1700021F05Rik,pFus,2
l1700021F05Rik,pMbnl1,1
l1700021F05Rik,pTdp43,1
l1700021F05Rik,pUpf1,1
l1700021K19Rik,pUpf1,1
l1700021L23Rik,pPou5f1,1
l1700021L23Rik,pTYY1,1
l1700022A21Rik,pRANBP9,1
l1700022K14Rik,pPABP1,1
l1700022K14Rik,pPtbp2,1
l1700022K14Rik,pRFOX2,1
l1700022K14Rik,pSFPQ,1
l1700022N22Rik,pPtbp2,1
l1700022N22Rik,pRFOX2,1
l1700023I07Rik,pRFOX2,1
l1700024P03Rik,pDAZL,1
l1700024P03Rik,pPABP1,1
l1700024P03Rik,pPou5f1,1
l1700024P03Rik,pPtbp2,1
l1700024P03Rik,pQKI,1
l1700024P03Rik,pRFOX2,1
l1700024P03Rik,pSFPQ,1
l1700024P03Rik,pTIA1,1
l1700024P03Rik,pTYY1,1
l1700025G04Rik,pCelf1,2
l1700025G04Rik,pFMRP,1
l1700025G04Rik,pFus,2
l1700025G04Rik,pMbnl1,1
l1700025G04Rik,pTdp43,1
l1700025G04Rik,pUpf1,1
l1700025O08Rik,pRFOX2,1
l1700026J12Rik,pDAZL,1
l1700026J12Rik,pPou5f1,1
l1700026J12Rik,pPtbp2,1
l1700026J12Rik,pRFOX2,1
l1700026J12Rik,pTYY1,1
l1700026J12Rik,pVIGLN,1
l1700026J14Rik,pPou5f1,1
l1700027A07Rik,pElavl1,1
l1700027A07Rik,pPABP1,1
l1700027A07Rik,pRFOX2,1
l1700027A07Rik,pTIA1,1
l1700027A07Rik,pTTP,2
l1700028E10Rik,pDAZL,1
l1700028E10Rik,pPABP1,1
l1700028E10Rik,pPtbp2,1
l1700028E10Rik,pRFOX2,1
l1700028E10Rik,pVIGLN,1
l1700028K03Rik,pFus,2
l1700028K03Rik,pTdp43,1
l1700028P15Rik,pPou5f1,1
l1700029M20Rik,pDAZL,1
l1700029M20Rik,pPtbp2,1
l1700029M20Rik,pRFOX2,1
l1700030C12Rik,pRFOX2,1
l1700030G06Rik,p-,2
l1700030G06Rik,pAGO1,1
l1700030G06Rik,pAGO2,3
l1700030G06Rik,pAGO4,1
l1700030G06Rik,pCBX7,1
l1700030G06Rik,pDAZL,1
l1700030G06Rik,pElavl1,1
l1700030G06Rik,pKPYM,1
l1700030G06Rik,pPABP1,1
l1700030G06Rik,pPou5f1,1
l1700030G06Rik,pPtbp2,1
l1700030G06Rik,pQKI,1
l1700030G06Rik,pRBM10,1
l1700030G06Rik,pRFOX2,1
l1700030G06Rik,pSFPQ,1
l1700030G06Rik,pTIA1,1
l1700030G06Rik,pTTP,2
l1700030G06Rik,pTYY1,1
l1700030G06Rik,pVIGLN,1
l1700030K09Rik,pFus,1
l1700030K09Rik,pMbnl1,1
l1700030K09Rik,pUpf1,1
l1700034P13Rik,pDAZL,1
l1700034P13Rik,pElavl1,1
l1700034P13Rik,pKPYM,1
l1700034P13Rik,pPABP1,1
l1700034P13Rik,pPou5f1,1
l1700034P13Rik,pPtbp2,1
l1700034P13Rik,pQKI,1
l1700034P13Rik,pRFOX2,1
l1700034P13Rik,pSFPQ,1
l1700034P13Rik,pTTP,1
l1700034P13Rik,pTYY1,1
l1700034P13Rik,pVIGLN,1
l1700037C18Rik,pEzh2,1
l1700037C18Rik,pFMRP,1
l1700037C18Rik,pFus,2
l1700037C18Rik,pPABPC1,1
l1700037C18Rik,pTdp43,1
l1700037H04Rik,pEzh2,1
l1700037H04Rik,pFus,2
l1700037H04Rik,pTdp43,1
l1700037H04Rik,pUpf1,1
l1700040D17Rik,pDAZL,1
l1700040D17Rik,pFMR1,1
l1700040D17Rik,pPou5f1,1
l1700040D17Rik,pPtbp2,1
l1700040D17Rik,pRFOX2,1
l1700040D17Rik,pTYY1,1
l1700040E09Rik,pRbfox3,1
l1700040N02Rik,pAGO2,1
l1700040N02Rik,pKPYM,1
l1700040N02Rik,pPou5f1,1
l1700040N02Rik,pPtbp2,1
l1700040N02Rik,pQKI,1
l1700040N02Rik,pRFOX2,1
l1700040N02Rik,pSFPQ,1
l1700040N02Rik,pTTP,1
l1700040N02Rik,pTYY1,1
l1700045I19Rik,pPtbp2,1
l1700045I19Rik,pRFOX2,1
l1700046C09Rik,pAGO2,1
l1700046C09Rik,pFMR1,1
l1700046C09Rik,pPou5f1,1
l1700046C09Rik,pPtbp2,1
l1700046C09Rik,pRFOX2,1
l1700046C09Rik,pSFPQ,1
l1700049G17Rik,pFus,2
l1700049G17Rik,pTdp43,1
l1700057G04Rik,pFMRP,1
l1700057G04Rik,pRbfox3,1
l1700058G18Rik,pPou5f1,1
l1700058G18Rik,pTYY1,1
l1700060C16Rik,pAGO2,1
l1700060C16Rik,pPABP1,1
l1700060C16Rik,pPou5f1,1
l1700060C16Rik,pQKI,1
l1700060C16Rik,pRFOX2,1
l1700060C16Rik,pTYY1,1
l1700061E18Rik,pPou5f1,1
l1700061F12Rik,pRFOX2,1
l1700061H18Rik,pPABP1,1
l1700061H18Rik,pPou5f1,1
l1700061H18Rik,pPtbp2,1
l1700061H18Rik,pRFOX2,1
l1700061H18Rik,pSFPQ,1
l1700061H18Rik,pTIA1,1
l1700061H18Rik,pTYY1,1
l1700064E03Rik,pPABP1,1
l1700064E03Rik,pPSPC1,1
l1700064E03Rik,pRBM10,1
l1700064E03Rik,pRFOX2,1
l1700066J03Rik,pRFOX2,1
l1700066J24Rik,p-,1
l1700066J24Rik,pFMR1,1
l1700066J24Rik,pNova1,1
l1700066J24Rik,pPABP1,1
l1700066J24Rik,pSFPQ,1
l1700066O22Rik,pDAZL,1
l1700066O22Rik,pPou5f1,1
l1700066O22Rik,pPtbp2,1
l1700066O22Rik,pRFOX2,1
l1700066O22Rik,pTYY1,1
l1700069L16Rik,pUpf1,1
l1700081H22Rik,pElavl1,1
l1700081H22Rik,pPABP1,1
l1700081H22Rik,pPou5f1,1
l1700081H22Rik,pRFOX2,1
l1700081H22Rik,pTYY1,1
l1700085B03Rik,pPABP1,1
l1700085B03Rik,pPou5f1,1
l1700085B03Rik,pQKI,1
l1700085B03Rik,pRFOX2,1
l1700085B03Rik,pTYY1,1
l1700085D07Rik,pRbfox3,2
l1700086O06Rik,pAGO2,1
l1700086O06Rik,pPABP1,1
l1700086O06Rik,pRBM10,1
l1700086O06Rik,pRFOX2,1
l1700086O06Rik,pSFPQ,1
l1700086O06Rik,pTIA1,1
l1700091E21Rik,p-,1
l1700091E21Rik,pAGO1,1
l1700091E21Rik,pAGO2,2
l1700091E21Rik,pAGO4,1
l1700091E21Rik,pElavl1,1
l1700091E21Rik,pFMR1,1
l1700091E21Rik,pKPYM,1
l1700091E21Rik,pNova1,1
l1700091E21Rik,pPABP1,1
l1700091E21Rik,pPSPC1,1
l1700091E21Rik,pPou5f1,1
l1700091E21Rik,pPtbp2,1
l1700091E21Rik,pRFOX2,1
l1700091E21Rik,pSFPQ,1
l1700091E21Rik,pTYY1,1
l1700091E21Rik,pVIGLN,1
l1700092C02Rik,pRFOX2,1
l1700092C10Rik,pPou5f1,1
l1700092C17Rik,pRFOX2,1
l1700092E19Rik,pPtbp2,1
l1700092E19Rik,pRFOX2,1
l1700094C10Rik,p-,1
l1700094C10Rik,pElavl1,1
l1700094C10Rik,pPABP1,1
l1700094C10Rik,pRFOX2,1
l1700094C10Rik,pSFPQ,1
l1700094C10Rik,pTIA1,1
l1700094C10Rik,pTTP,1
l1700094C10Rik,pTYY1,1
l1700094C10Rik,pVIGLN,1
l1700099I09Rik,pTIA1,1
l1700102J08Rik,pRbfox3,2
l1700104A03Rik,pDAZL,1
l1700104A03Rik,pElavl1,1
l1700104A03Rik,pFMR1,1
l1700104A03Rik,pPou5f1,1
l1700104A03Rik,pPtbp2,1
l1700104A03Rik,pQKI,1
l1700104A03Rik,pRFOX2,1
l1700104A03Rik,pTYY1,1
l1700109F18Rik,pDAZL,1
l1700109F18Rik,pElavl1,1
l1700109F18Rik,pPABP1,1
l1700109F18Rik,pPtbp2,1
l1700109F18Rik,pRFOX2,1
l1700109F18Rik,pTYY1,1
l1700109F18Rik,pVIGLN,1
l1700109K24Rik,p-,1
l1700109K24Rik,pAGO2,1
l1700109K24Rik,pPou5f1,1
l1700109K24Rik,pRBM10,1
l1700109K24Rik,pRFOX2,1
l1700109K24Rik,pSFPQ,1
l1700109K24Rik,pTIA1,1
l1700112D23Rik,pAGO1,1
l1700112D23Rik,pAGO2,2
l1700112D23Rik,pAGO4,1
l1700112D23Rik,pDAZL,1
l1700112D23Rik,pFMRP,1
l1700112D23Rik,pFus,2
l1700112D23Rik,pJARID2,1
l1700112D23Rik,pPABP1,1
l1700112D23Rik,pPou5f1,1
l1700112D23Rik,pPtbp2,1
