protein,protein_id
Apex1,pApex1
Phf19,pPhf19
Tbx1,pTbx1
Prpf19,pPrpf19
Psmc5,pPsmc5
Jak1,pJak1
Jak3,pJak3
Pgr,pPgr
Atg5,pAtg5
Map1b,pMap1b
Atxn2,pAtxn2
Asrgl1,pAsrgl1
Satb2,pSatb2
Mybbp1a,pMybbp1a
Zbtb7c,pZbtb7c
Cbfb,pCbfb
H1fnt,pH1fnt
Actb,pActb
Cfl1,pCfl1
Vezf1,pVezf1
Vps36,pVps36
Poli,pPoli
Gjc1,pGjc1
Gja1,pGja1
Gjd3,pGjd3
Mysm1,pMysm1
Ehmt1,pEhmt1
Sox3,pSox3
Sox11,pSox11
Grin1,pGrin1
Nck1,pNck1
Fgr,pFgr
Spta1,pSpta1
Eps8,pEps8
Cblb,pCblb
Grin2b,pGrin2b
Tnk2,pTnk2
Cltc,pCltc
Tnfrsf11a,pTnfrsf11a
Sorbs1,pSorbs1
Serpinb9,pSerpinb9
Tnip3,pTnip3
Sh2b2,pSh2b2
E2f4,pE2f4
Pds5a,pPds5a
Sfpq,pSfpq
Syk,pSyk
Psme3,pPsme3
Polh,pPolh
Rev1,pRev1
Ppp2r3a,pPpp2r3a
Inppl1,pInppl1
Ptk2b,pPtk2b
Cav1,pCav1
Psmd10,pPsmd10
Nr3c2,pNr3c2
Nfatc1,pNfatc1
Cd247,pCd247
Cd4,pCd4
Rad21,pRad21
Tbk1,pTbk1
Map1lc3b,pMap1lc3b
Ubqln1,pUbqln1
Csf1r,pCsf1r
Git1,pGit1
Snx6,pSnx6
Dok3,pDok3
Slc25a13,pSlc25a13
Hgs,pHgs
Dmap1,pDmap1
Il17rc,pIl17rc
Il17ra,pIl17ra
Sod1,pSod1
Map1lc3a,pMap1lc3a
Ccnb1ip1,pCcnb1ip1
Fbxl2,pFbxl2
Siah1a,pSiah1a
Ntrk2,pNtrk2
Fau,pFau
Cacybp,pCacybp
Cish,pCish
Lamp2,pLamp2
Fbxl3,pFbxl3
Fbxw2,pFbxw2
Krt8,pKrt8
Epm2a,pEpm2a
Nhlrc1,pNhlrc1
Tollip,pTollip
Itgb2,pItgb2
Gbp2,pGbp2
Diap2,pDiap2
Adrbk1,pAdrbk1
Epor,pEpor
Csf2rb,pCsf2rb
Agap3,pAgap3
Gabra1,pGabra1
Usp14,pUsp14
Ppp1cb,pPpp1cb
Ppp1cc,pPpp1cc
Cul9,pCul9
Cul7,pCul7
Socs2,pSocs2
Prps1,pPrps1
Znrf1,pZnrf1
Nfatc2ip,pNfatc2ip
Akap1,pAkap1
Dnm1l,pDnm1l
Hipk1,pHipk1
Inpp5d,pInpp5d
Gsn,pGsn
Jup,pJup
Ptpn11,pPtpn11
Mafa,pMafa
Slit3,pSlit3
Erbb2,pErbb2
Yes1,pYes1
Ube2e1,pUbe2e1
Braf,pBraf
Ksr1,pKsr1
Brap,pBrap
Uimc1,pUimc1
Bean1,pBean1
Wbp1,pWbp1
Wbp2,pWbp2
Prrg2,pPrrg2
Litaf,pLitaf
Pmepa1,pPmepa1
Sh3kbp1,pSh3kbp1
Lppr4,pLppr4
Ptgr2,pPtgr2
Prkcsh,pPrkcsh
Trim67,pTrim67
Trim9,pTrim9
Csk,pCsk
Scnn1b,pScnn1b
Skil,pSkil
Irf2,pIrf2
Irf8,pIrf8
Sumo1,pSumo1
Casp3,pCasp3
Rnf6,pRnf6
Limk1,pLimk1
Cops4,pCops4
Trim33,pTrim33
Gria1,pGria1
Gria2,pGria2
Gria3,pGria3
Gps1,pGps1
Cdk9,pCdk9
Insr,pInsr
Aifm1,pAifm1
Bag6,pBag6
Gspt1,pGspt1
Zfp91,pZfp91
Rabl6,pRabl6
Eif3a,pEif3a
Trim24,pTrim24
H2afy,pH2afy
Spop,pSpop
Socs7,pSocs7
Pum2,pPum2
Mad2l2,pMad2l2
Rnf4,pRnf4
Gsc2,pGsc2
Zbtb17,pZbtb17
Pafah1b1,pPafah1b1
Rorc,pRorc
Chd4,pChd4
Ggn,pGgn
Slc6a3,pSlc6a3
Pax5,pPax5
Rabgef1,pRabgef1
Rb1cc1,pRb1cc1
Peli2,pPeli2
Cblc,pCblc
Traf4,pTraf4
Trim21,pTrim21
Cacna1h,pCacna1h
Tnfrsf13c,pTnfrsf13c
Gnb1,pGnb1
Ccng1,pCcng1
Vhl,pVhl
Socs6,pSocs6
Kit,pKit
Ube2e3,pUbe2e3
Akt2,pAkt2
Akt3,pAkt3
Cit,pCit
Myh9,pMyh9
Spag16,pSpag16
Spag6,pSpag6
Rab7,pRab7
Sorbs2,pSorbs2
Lcp1,pLcp1
Pls3,pPls3
Atp7b,pAtp7b
Clu,pClu
Spam1,pSpam1
Ripk2,pRipk2
Lrrk2,pLrrk2
Tor1a,pTor1a
Abi1,pAbi1
Dok1,pDok1
Dok2,pDok2
Gab2,pGab2
Nedd9,pNedd9
D8Ertd82e,pD8Ertd82e
Stam2,pStam2
Tnrc6b,pTnrc6b
Tnrc6c,pTnrc6c
Tubb4a,pTubb4a
Gch1,pGch1
Ywhaq,pYwhaq
Ywhah,pYwhah
Ywhag,pYwhag
Rab5b,pRab5b
Rab33b,pRab33b
Tcf12,pTcf12
Fas,pFas
Fasl,pFasl
Clta,pClta
Prame,pPrame
Ppp2cb,pPpp2cb
Dusp1,pDusp1
Itgb1,pItgb1
Itga5,pItga5
Bap1,pBap1
Prdm8,pPrdm8
Trim17,pTrim17
Gabarap,pGabarap
Mt1,pMt1
Kcnj11,pKcnj11
Tom1l1,pTom1l1
Myo6,pMyo6
Tardbp,pTardbp
Hist1h1e,pHist1h1e
Kdr,pKdr
Drd2,pDrd2
Ip6k2,pIp6k2
Efnb1,pEfnb1
Nck2,pNck2
Ocln,pOcln
Casp7,pCasp7
Atg7,pAtg7
Atg3,pAtg3
Kpnb1,pKpnb1
Slc2a4,pSlc2a4
Prnp,pPrnp
Aph1b,pAph1b
Aph1a,pAph1a
Mid1ip1,pMid1ip1
Lipc,pLipc
Vegfa,pVegfa
Acta1,pActa1
Syp,pSyp
Park7,pPark7
Mavs,pMavs
Zbtb16,pZbtb16
Rab3a,pRab3a
Chrna1,pChrna1
Trim63,pTrim63
Fzr1,pFzr1
Bax,pBax
Eya4,pEya4
Vangl1,pVangl1
Vangl2,pVangl2
Wbp11,pWbp11
Rps6ka5,pRps6ka5
Pcdhgb1,pPcdhgb1
Pcdhgb2,pPcdhgb2
Pcdhgb8,pPcdhgb8
Stmn2,pStmn2
Homer2,pHomer2
Sirt4,pSirt4
Lims1,pLims1
Ilk,pIlk
Parva,pParva
Asic1,pAsic1
Asic2,pAsic2
Flt3,pFlt3
Med21,pMed21
Pcdha1,pPcdha1
Fbxo15,pFbxo15
Sptan1,pSptan1
Ncam1,pNcam1
Sox8,pSox8
Ccnd3,pCcnd3
Rbx1,pRbx1
Chrna7,pChrna7
Bcl11b,pBcl11b
Dnaja3,pDnaja3
Polg,pPolg
Shh,pShh
Neu1,pNeu1
Ipp,pIpp
Atg12,pAtg12
Ppl,pPpl
Anxa1,pAnxa1
Anxa2,pAnxa2
Dysf,pDysf
Cacna1a,pCacna1a
Cacna1b,pCacna1b
Cdh5,pCdh5
Pole3,pPole3
Axl,pAxl
Bad,pBad
Hspd1,pHspd1
Tomm20,pTomm20
Gck,pGck
Il12rb1,pIl12rb1
Il12rb2,pIl12rb2
Rpl7,pRpl7
Rps3,pRps3
Wfikkn2,pWfikkn2
Phb2,pPhb2
Agtr1a,pAgtr1a
Il4ra,pIl4ra
Rheb,pRheb
Adra2a,pAdra2a
Sla,pSla
Homer1,pHomer1
Prkcq,pPrkcq
Hook1,pHook1
Ank3,pAnk3
Gins4,pGins4
Bcor,pBcor
Psme1,pPsme1
Rims1,pRims1
Rims2,pRims2
Ush2a,pUsh2a
Gpr98,pGpr98
Slc7a15,pSlc7a15
Mib1,pMib1
Psen2,pPsen2
Egr2,pEgr2
Pou4f1,pPou4f1
Ltbp3,pLtbp3
Nxt1,pNxt1
Nxt2,pNxt2
Nxf1,pNxf1
Nxf2,pNxf2
Catsper3,pCatsper3
Catsper4,pCatsper4
Catsper1,pCatsper1
Hoxa13,pHoxa13
Nrep,pNrep
Inhba,pInhba
Dand5,pDand5
Cer1,pCer1
Tmprss11e,pTmprss11e
Mapk3,pMapk3
Irs2,pIrs2
Acvrl1,pAcvrl1
Sorbs3,pSorbs3
Hist2h2be,pHist2h2be
Hist2h4,pHist2h4
Dmbx1,pDmbx1
Whsc1,pWhsc1
Epb4.1l1,pEpb4.1l1
Mapk10,pMapk10
Mapk9,pMapk9
Ryr2,pRyr2
Os9,pOs9
Cpne6,pCpne6
Olig2,pOlig2
Bag1,pBag1
Gnao1,pGnao1
Bloc1s3,pBloc1s3
Eif3i,pEif3i
Akip1,pAkip1
Gabbr1,pGabbr1
Gabbr2,pGabbr2
Stoml3,pStoml3
Adcy3,pAdcy3
Crlf2,pCrlf2
Lin7c,pLin7c
Lin7a,pLin7a
Apba1,pApba1
Cask,pCask
Abca1,pAbca1
Sptlc1,pSptlc1
Tifa,pTifa
Mtmr2,pMtmr2
Sbf2,pSbf2
Sla2,pSla2
Nploc4,pNploc4
Ufd1l,pUfd1l
Naca,pNaca
Hcn1,pHcn1
Tjp2,pTjp2
Dyrk1a,pDyrk1a
Pclo,pPclo
Plxnd1,pPlxnd1
Casp12,pCasp12
Casp9,pCasp9
Hps5,pHps5
Hps6,pHps6
Fem1a,pFem1a
Zfp369,pZfp369
Rad9a,pRad9a
Slc12a2,pSlc12a2
Mapk14,pMapk14
Stxbp4,pStxbp4
Stx4a,pStx4a
Prl2c2,pPrl2c2
Grik1,pGrik1
B4galt1,pB4galt1
Ube2q1,pUbe2q1
Myo1c,pMyo1c
Plekhb1,pPlekhb1
Myo7a,pMyo7a
Tbata,pTbata
Dlg1,pDlg1
Was,pWas
Tgfb1,pTgfb1
Col1a1,pCol1a1
Klc3,pKlc3
Anks4b,pAnks4b
Tex12,pTex12
Syce2,pSyce2
Hspb11,pHspb11
Ift20,pIft20
Cluap1,pCluap1
Ift80,pIft80
Ift172,pIft172
Ift81,pIft81
Ift57,pIft57
Ift52,pIft52
Ift46,pIft46
Ift74,pIft74
Ift27,pIft27
Ift22,pIft22
Sertad3,pSertad3
Gipc1,pGipc1
Plekhg5,pPlekhg5
Rhoa,pRhoa
Syne1,pSyne1
Syne2,pSyne2
Dnajc10,pDnajc10
Oas1a,pOas1a
Cdk5,pCdk5
Capn3,pCapn3
Ttn,pTtn
Chrdl2,pChrdl2
Sgca,pSgca
Utrn,pUtrn
Rassf5,pRassf5
Bmp4,pBmp4
Tgfb2,pTgfb2
Gdf5,pGdf5
Rasa1,pRasa1
Klrb1c,pKlrb1c
Rpl5,pRpl5
Itga6,pItga6
Lnx2,pLnx2
Trem3,pTrem3
Frs2,pFrs2
Alox5,pAlox5
Parp2,pParp2
Dchs1,pDchs1
Rapgef1,pRapgef1
Srr,pSrr
Syn1,pSyn1
Eri3,pEri3
Sirpa,pSirpa
Rad51,pRad51
Sema4f,pSema4f
Bsx,pBsx
Scarf1,pScarf1
Grasp,pGrasp
Zfp106,pZfp106
Fbxo6,pFbxo6
Dmd,pDmd
Itgb5,pItgb5
Stap1,pStap1
Zfp53,pZfp53
Zfp68,pZfp68
Sirt3,pSirt3
Reg1,pReg1
Fasn,pFasn
Dll1,pDll1
Dll4,pDll4
Usp44,pUsp44
Cetn2,pCetn2
Nod2,pNod2
Ddx41,pDdx41
Adcy8,pAdcy8
Slc12a1,pSlc12a1
Supt20,pSupt20
Fam175b,pFam175b
Hand2,pHand2
Ednra,pEdnra
Pkd1,pPkd1
Mdc1,pMdc1
Klf11,pKlf11
Vpreb1,pVpreb1
Spag9,pSpag9
Cdc20,pCdc20
Rarg,pRarg
Prlr,pPrlr
Sept4,pSept4
Gclc,pGclc
Tubb1,pTubb1
Ranbp10,pRanbp10
Rps2,pRps2
Rnf115,pRnf115
Pi4ka,pPi4ka
Ttc7b,pTtc7b
Efr3b,pEfr3b
Il17rb,pIl17rb
Csrp2bp,pCsrp2bp
Mbip,pMbip
Ndel1,pNdel1
Nefh,pNefh
Zhx2,pZhx2
Lama1,pLama1
Clec2i,pClec2i
Nrbp1,pNrbp1
Phactr2,pPhactr2
Rgs18,pRgs18
Kcnc1,pKcnc1
Kcnab2,pKcnab2
Kcna2,pKcna2
Vgll2,pVgll2
Casc3,pCasc3
Noxo1,pNoxo1
Nup62,pNup62
Scrib,pScrib
Hs1bp3,pHs1bp3
Wwox,pWwox
Pard3,pPard3
Pard6a,pPard6a
Cdc42,pCdc42
Dock11,pDock11
Dock9,pDock9
Dock10,pDock10
Zic2,pZic2
Il3ra,pIl3ra
Csf2rb2,pCsf2rb2
Cflar,pCflar
Adnp,pAdnp
Cd300lf,pCd300lf
Kcnb1,pKcnb1
Kl,pKl
Fgf23,pFgf23
Map2k4,pMap2k4
Snx9,pSnx9
Btla,pBtla
Tnfrsf14,pTnfrsf14
Tgfbr2,pTgfbr2
Lepr,pLepr
Rufy3,pRufy3
Vegfc,pVegfc
Arhgef2,pArhgef2
Card11,pCard11
Ferd3l,pFerd3l
Btk,pBtk
Plec,pPlec
Tbx6,pTbx6
Pdlim5,pPdlim5
Tmem204,pTmem204
Hap1,pHap1
Abr,pAbr
Bcr,pBcr
Ghrhr,pGhrhr
Tipin,pTipin
Rpa1,pRpa1
Mcm2,pMcm2
Pole,pPole
Pold1,pPold1
Sycp3,pSycp3
Smyd1,pSmyd1
AI464131,pAI464131
Hipk2,pHipk2
Nr4a1,pNr4a1
Tgif1,pTgif1
Dnajb6,pDnajb6
Styx,pStyx
Ralgapa1,pRalgapa1
Pola1,pPola1
Fiz1,pFiz1
Tcp1,pTcp1
Met,pMet
Muc20,pMuc20
Gab1,pGab1
Ptpn13,pPtpn13
Cyhr1,pCyhr1
Dlg3,pDlg3
Dync1h1,pDync1h1
Apbb2,pApbb2
Rps19,pRps19
Col3a1,pCol3a1
Col5a1,pCol5a1
Ccl2,pCcl2
Sept5,pSept5
Sept2,pSept2
Sept7,pSept7
Nrcam,pNrcam
Atp2b1,pAtp2b1
Adam10,pAdam10
Luc7l,pLuc7l
Rsrc1,pRsrc1
Abl2,pAbl2
Mpl,pMpl
Pus1,pPus1
Usp19,pUsp19
Mapk8ip1,pMapk8ip1
Vrk2,pVrk2
Vps4b,pVps4b
Chmp2a,pChmp2a
Pcbd2,pPcbd2
Ppp1r9b,pPpp1r9b
Twsg1,pTwsg1
Kcna1,pKcna1
Atg16l1,pAtg16l1
Rps6kb1,pRps6kb1
Dab2,pDab2
Tulp3,pTulp3
Vrk3,pVrk3
Dusp3,pDusp3
Magi1,pMagi1
Arhgap31,pArhgap31
Map2k3,pMap2k3
Map2k6,pMap2k6
Peli1,pPeli1
Mapk6,pMapk6
Fkbp1b,pFkbp1b
Dusp2,pDusp2
Fbxw4,pFbxw4
Grin2a,pGrin2a
Lnpep,pLnpep
Kitl,pKitl
Cacna1d,pCacna1d
Atxn7,pAtxn7
Pigf,pPigf
Ppm1a,pPpm1a
Capn2,pCapn2
Chd8,pChd8
Prkg1,pPrkg1
Gkap1,pGkap1
Mllt4,pMllt4
Arhgap10,pArhgap10
Bid,pBid
Tmsb4x,pTmsb4x
Serpina1a,pSerpina1a
Rtn4,pRtn4
Acvr1b,pAcvr1b
Acvr1c,pAcvr1c
Sos1,pSos1
Ltbr,pLtbr
Grid2ip,pGrid2ip
Bmper,pBmper
Arhgap33,pArhgap33
Rqcd1,pRqcd1
Mapkapk2,pMapkapk2
Mapkapk3,pMapkapk3
Tet1,pTet1
Tet2,pTet2
Gtf2b,pGtf2b
Ptpn1,pPtpn1
Eid3,pEid3
Smc6,pSmc6
Mlip,pMlip
Sh3bp2,pSh3bp2
Ss18,pSs18
Aurka,pAurka
Ahi1,pAhi1
Mks1,pMks1
Nphp1,pNphp1
Invs,pInvs
Nphp3,pNphp3
Nphp4,pNphp4
Iqcb1,pIqcb1
Cep290,pCep290
Rpgrip1l,pRpgrip1l
Tctn2,pTctn2
Rbbp5,pRbbp5
Twist1,pTwist1
Srsf1,pSrsf1
Pklr,pPklr
Prok2,pProk2
Rchy1,pRchy1
Trim26,pTrim26
Mark3,pMark3
Mark2,pMark2
Mark4,pMark4
Arhgef6,pArhgef6
Traf3ip2,pTraf3ip2
Ikbke,pIkbke
Itgb1bp2,pItgb1bp2
Zfand5,pZfand5
Gcn1l1,pGcn1l1
Ooep,pOoep
Sgcz,pSgcz
Rock2,pRock2
Tubg1,pTubg1
Phox2b,pPhox2b
Fgfrl1,pFgfrl1
Dnajc1,pDnajc1
Hyou1,pHyou1
Slit2,pSlit2
Klc1,pKlc1
Mapk8ip3,pMapk8ip3
Cyth3,pCyth3
Frmd4b,pFrmd4b
Rsbn1,pRsbn1
Ephb1,pEphb1
Epha2,pEpha2
Tiam1,pTiam1
Slc8a1,pSlc8a1
Atp1a1,pAtp1a1
Atp1a2,pAtp1a2
Rag1,pRag1
Cotl1,pCotl1
Rit1,pRit1
Rgl3,pRgl3
Tex11,pTex11
Sycp2,pSycp2
Il1b,pIl1b
Il33,pIl33
Fem1b,pFem1b
Nkx3-1,pNkx3-1
Sycp1,pSycp1
Syce1,pSyce1
Atp6v0a4,pAtp6v0a4
Fgf2,pFgf2
Hey2,pHey2
Hes5,pHes5
Ykt6,pYkt6
Pik3r2,pPik3r2
Sun2,pSun2
Pik3c2b,pPik3c2b
Iqgap1,pIqgap1
Sod3,pSod3
Slc1a3,pSlc1a3
Chek1,pChek1
Rab11fip3,pRab11fip3
Shank3,pShank3
Phf12,pPhf12
Asb6,pAsb6
Atp2a2,pAtp2a2
Calcoco1,pCalcoco1
Arnt,pArnt
Eif2a,pEif2a
Metap2,pMetap2
Ubr5,pUbr5
Rgs7bp,pRgs7bp
Mep1a,pMep1a
Stx3,pStx3
Rrm2,pRrm2
Nova1,pNova1
Nova2,pNova2
Tyr,pTyr
Rab27a,pRab27a
Fez1,pFez1
Fez2,pFez2
Magel2,pMagel2
Bbs4,pBbs4
Dpysl5,pDpysl5
Crmp1,pCrmp1
Gps2,pGps2
Rfx3,pRfx3
Hunk,pHunk
Nmrk2,pNmrk2
Tfdp1,pTfdp1
Phyh,pPhyh
Mdh2,pMdh2
Abhd5,pAbhd5
Diablo,pDiablo
Atp8b2,pAtp8b2
Vps11,pVps11
Vps16,pVps16
Vps18,pVps18
Spdef,pSpdef
Nrap,pNrap
L3mbtl2,pL3mbtl2
Lasp1,pLasp1
Acta2,pActa2
Pax2,pPax2
Swi5,pSwi5
Sfr1,pSfr1
Aqp2,pAqp2
Tbl1x,pTbl1x
Lamc2,pLamc2
Ddx4,pDdx4
Ranbp9,pRanbp9
Nrip2,pNrip2
Cntfr,pCntfr
Ctf2,pCtf2
Cntf,pCntf
Rfpl4,pRfpl4
Cabyr,pCabyr
Cd3e,pCd3e
Vav1,pVav1
Pim2,pPim2
Gng2,pGng2
Bub1b,pBub1b
Klhl24,pKlhl24
Pde6g,pPde6g
Trpm7,pTrpm7
Rph3al,pRph3al
Canx,pCanx
Coro1a,pCoro1a
Nppc,pNppc
Acvr2a,pAcvr2a
Magi2,pMagi2
Ptges3,pPtges3
Apoa1,pApoa1
Nr4a2,pNr4a2
Cdkn1c,pCdkn1c
Raver2,pRaver2
Ptbp1,pPtbp1
Pdcd6ip,pPdcd6ip
Jakmip1,pJakmip1
Fert2,pFert2
Myo5a,pMyo5a
Gdf7,pGdf7
Kras,pKras
Rtkn,pRtkn
Ccna1,pCcna1
Fcgr1,pFcgr1
Sdc1,pSdc1
Ulk1,pUlk1
Alk,pAlk
Hesx1,pHesx1
Myh10,pMyh10
Robo1,pRobo1
Apbb1,pApbb1
Svip,pSvip
Nsfl1c,pNsfl1c
Hpcal1,pHpcal1
Spry3,pSpry3
Skor1,pSkor1
Lbx1,pLbx1
Cacnb2,pCacnb2
Fgfbp1,pFgfbp1
Grik2,pGrik2
Grik3,pGrik3
Aplp1,pAplp1
Nos2,pNos2
Bcl2l2,pBcl2l2
Eln,pEln
Inha,pInha
Klhl17,pKlhl17
Cd300a,pCd300a
AF251705,pAF251705
Arid3a,pArid3a
Chrna5,pChrna5
Chrna4,pChrna4
Chrna3,pChrna3
Mul1,pMul1
Crx,pCrx
Nr2e3,pNr2e3
Igll1,pIgll1
Ptprc,pPtprc
Cdh17,pCdh17
Arhgap35,pArhgap35
Fkbp7,pFkbp7
Kndc1,pKndc1
Map2,pMap2
Stxbp3a,pStxbp3a
Limk2,pLimk2
Trpc4,pTrpc4
Itpr3,pItpr3
Nrip1,pNrip1
Nr2c1,pNr2c1
Kat6a,pKat6a
Atp6v1g1,pAtp6v1g1
Atp6v1g2,pAtp6v1g2
Atxn1,pAtxn1
Rora,pRora
Abt1,pAbt1
Nap1l2,pNap1l2
Nap1l1,pNap1l1
Nap1l4,pNap1l4
Rarb,pRarb
Tdg,pTdg
Aicda,pAicda
Gadd45a,pGadd45a
E130012A19Rik,pE130012A19Rik
Prkcb,pPrkcb
Otud7b,pOtud7b
Gas1,pGas1
Rpl11,pRpl11
Map2k1,pMap2k1
Mme,pMme
Ppp3ca,pPpp3ca
Als2,pAls2
Gas7,pGas7
Car1,pCar1
Stmn1,pStmn1
Dtnbp1,pDtnbp1
Txn1,pTxn1
Mfn1,pMfn1
Mfn2,pMfn2
Enah,pEnah
Fbxl7,pFbxl7
Ifi204,pIfi204
Sumf1,pSumf1
Sumf2,pSumf2
Usp42,pUsp42
Vps26a,pVps26a
Vps26b,pVps26b
Vps35,pVps35
Sox5,pSox5
Scg2,pScg2
Slamf1,pSlamf1
Adipoq,pAdipoq
Kcnk1,pKcnk1
Agap2,pAgap2
Ifngr1,pIfngr1
Fbxw8,pFbxw8
Ccr2,pCcr2
Ube2a,pUbe2a
Ube2b,pUbe2b
Hcst,pHcst
Fcer1g,pFcer1g
Cdt1,pCdt1
Arhgap1,pArhgap1
Sost,pSost
Rbm3,pRbm3
Rps6ka3,pRps6ka3
Phyhip,pPhyhip
Fmn1,pFmn1
Wbp4,pWbp4
Scn1a,pScn1a
Scn2a1,pScn2a1
Scn3a,pScn3a
Scn5a,pScn5a
Scn8a,pScn8a
Scn9a,pScn9a
Scn10a,pScn10a
Scnn1g,pScnn1g
Ccar1,pCcar1
Calm1,pCalm1
Scand1,pScand1
Cdh15,pCdh15
Uaca,pUaca
Pdlim7,pPdlim7
Sbds,pSbds
Rpl28,pRpl28
Cacng2,pCacng2
Mei4,pMei4
Sugt1,pSugt1
Mapk7,pMapk7
Eef1a2,pEef1a2
Srsf3,pSrsf3
Ace,pAce
Artn,pArtn
Drd3,pDrd3
Csnk2b,pCsnk2b
Trim11,pTrim11
Hnf1b,pHnf1b
Slc1a5,pSlc1a5
Slc38a3,pSlc38a3
Cxadr,pCxadr
Cdon,pCdon
Crocc,pCrocc
Klc2,pKlc2
Appbp2,pAppbp2
Nr2e1,pNr2e1
Clcn7,pClcn7
Ostm1,pOstm1
Shc2,pShc2
Shc3,pShc3
Anxa7,pAnxa7
Tle3,pTle3
Melk,pMelk
Pcgf1,pPcgf1
Trip12,pTrip12
Trpv5,pTrpv5
Fbxl12,pFbxl12
Camk1,pCamk1
Bcl2a1a,pBcl2a1a
March5,pMarch5
Sumo3,pSumo3
Senp6,pSenp6
Pik3c3,pPik3c3
Ptgs2,pPtgs2
Fbxl19,pFbxl19
Hsp90b1,pHsp90b1
Stip1,pStip1
Nrp1,pNrp1
Nos1,pNos1
Pla2g4a,pPla2g4a
Nutf2,pNutf2
Rnf180,pRnf180
Maoa,pMaoa
Trim72,pTrim72
Ube2h,pUbe2h
P2rx4,pP2rx4
Pctp,pPctp
Traf5,pTraf5
Traf3,pTraf3
Tec,pTec
Snta1,pSnta1
Hnrnpa0,pHnrnpa0
Myo5b,pMyo5b
Rab11fip2,pRab11fip2
Yap1,pYap1
Mpp5,pMpp5
Amot,pAmot
Ptgs1,pPtgs1
Snx27,pSnx27
Pnpla2,pPnpla2
Ptgir,pPtgir
Otub1,pOtub1
Arhgap22,pArhgap22
Trim25,pTrim25
Notch2,pNotch2
Notch3,pNotch3
Notch4,pNotch4
Fcgr2b,pFcgr2b
Ptger1,pPtger1
Drd1,pDrd1
Gzmb,pGzmb
Trpv1,pTrpv1
Grm5,pGrm5
Snap23,pSnap23
Sec61a1,pSec61a1
Eid1,pEid1
Ern2,pErn2
Znrf3,pZnrf3
Tpx2,pTpx2
Amph,pAmph
Gap43,pGap43
Trafd1,pTrafd1
Rnf20,pRnf20
Usp18,pUsp18
Usp1,pUsp1
Kcnmb1,pKcnmb1
Prdx1,pPrdx1
Smarcc1,pSmarcc1
Tmub1,pTmub1
Rnf168,pRnf168
Faf1,pFaf1
Asxl2,pAsxl2
Neil2,pNeil2
Igsf5,pIgsf5
Atg10,pAtg10
Homer3,pHomer3
Tube1,pTube1
Crls1,pCrls1
Hdac11,pHdac11
Pa2g4,pPa2g4
Pik3ca,pPik3ca
Herc2,pHerc2
Cpt1a,pCpt1a
Fbxl16,pFbxl16
Ppp2r2a,pPpp2r2a
Cd27,pCd27
Cd79a,pCd79a
Rnf25,pRnf25
Ube2d2a,pUbe2d2a
Havcr2,pHavcr2
Fbxo43,pFbxo43
Rhbdd3,pRhbdd3
Maged1,pMaged1
Ndnl2,pNdnl2
Vapb,pVapb
Lrp1,pLrp1
Hmbs,pHmbs
L1cam,pL1cam
Rnf128,pRnf128
Trim3,pTrim3
Hmg20a,pHmg20a
Numa1,pNuma1
Prdm1,pPrdm1
Dpp6,pDpp6
Socs5,pSocs5
Nav1,pNav1
Trio,pTrio
Becn1,pBecn1
Kmt2c,pKmt2c
Setd1a,pSetd1a
Setd1b,pSetd1b
Derl2,pDerl2
Ppp1r13b,pPpp1r13b
Klhl40,pKlhl40
Dtx1,pDtx1
Trim13,pTrim13
Sesn2,pSesn2
Optn,pOptn
Vti1a,pVti1a
Vti1b,pVti1b
Rasgrf1,pRasgrf1
Bach2,pBach2
Elf1,pElf1
Elf2,pElf2
Ephb3,pEphb3
Ephb4,pEphb4
Wdfy2,pWdfy2
Cidea,pCidea
Prkaa1,pPrkaa1
Prkab1,pPrkab1
Prkag1,pPrkag1
Ccdc88a,pCcdc88a
Mapkap1,pMapkap1
Klf2,pKlf2
Klf3,pKlf3
Sfn,pSfn
Trpc6,pTrpc6
Nphs2,pNphs2
Arrb2,pArrb2
Ppp2r2b,pPpp2r2b
Clip3,pClip3
Kcnma1,pKcnma1
Cidec,pCidec
Rhobtb3,pRhobtb3
Dynll1,pDynll1
Rer1,pRer1
Dffb,pDffb
Epn1,pEpn1
Epn2,pEpn2
Ddrgk1,pDdrgk1
Ascc1,pAscc1
Ifitm3,pIfitm3
Sox17,pSox17
Sox18,pSox18
Sox14,pSox14
Sox21,pSox21
Tlx1,pTlx1
Vim,pVim
Anp32a,pAnp32a
Ercc6,pErcc6
Fhl1,pFhl1
Gata2,pGata2
Ahrr,pAhrr
Mbd4,pMbd4
Mtm1,pMtm1
Rnf112,pRnf112
Fam65b,pFam65b
Oprm1,pOprm1
Clec16a,pClec16a
Rab11fip5,pRab11fip5
Snw1,pSnw1
Ring1,pRing1
Nedd8,pNedd8
Isg15,pIsg15
Sema4a,pSema4a
Psap,pPsap
Rab11a,pRab11a
Rbp1,pRbp1
Rlbp1,pRlbp1
Myf5,pMyf5
Hcn3,pHcn3
Kctd3,pKctd3
Siva1,pSiva1
Tnfrsf18,pTnfrsf18
Rad17,pRad17
Ctsd,pCtsd
Stt3b,pStt3b
Ctsb,pCtsb
Ctsl,pCtsl
Mt3,pMt3
Rpl23,pRpl23
Limd1,pLimd1
Snapin,pSnapin
Csnk1d,pCsnk1d
Kmt2b,pKmt2b
Unc5b,pUnc5b
Ppp2r1b,pPpp2r1b
