protein,protein_id
Smarca2,pSmarca2
Hnf4a,pHnf4a
Tcf7l2,pTcf7l2
E2f2,pE2f2
Mecp2,pMecp2
Atrx,pAtrx
Egr1,pEgr1
Rnf220,pRnf220
Smc1a,pSmc1a
Smc3,pSmc3
Ctcf,pCtcf
Ezh2,pEzh2
Eed,pEed
Jarid2,pJarid2
Suz12,pSuz12
Kdm5a,pKdm5a
Ash2l,pAsh2l
Ncoa1,pNcoa1
Rara,pRara
Itsn1,pItsn1
Egfr,pEgfr
Dnm1,pDnm1
Irak1,pIrak1
Malt1,pMalt1
Map3k7,pMap3k7
Amfr,pAmfr
Ngly1,pNgly1
Itch,pItch
Kif3a,pKif3a
Ppp1r15a,pPpp1r15a
Dot1l,pDot1l
Nfya,pNfya
Gata1,pGata1
Hdac2,pHdac2
Yy1,pYy1
Tcerg1,pTcerg1
Smn1,pSmn1
Prmt5,pPrmt5
Bmi1,pBmi1
Notch1,pNotch1
Rbpj,pRbpj
Nkx2-1,pNkx2-1
Prmt1,pPrmt1
Chtop,pChtop
Trim27,pTrim27
Rest,pRest
Sp3,pSp3
Nupr1,pNupr1
Ep300,pEp300
Ddx5,pDdx5
Crebzf,pCrebzf
Ppargc1a,pPpargc1a
Cbx3,pCbx3
Bahd1,pBahd1
Zfpm1,pZfpm1
Nr0b1,pNr0b1
Ppia,pPpia
Esr1,pEsr1
Smad4,pSmad4
Pparg,pPparg
Lrpprc,pLrpprc
Ctcfl,pCtcfl
Parp1,pParp1
Aebp1,pAebp1
Ahr,pAhr
Alx3,pAlx3
Alx4,pAlx4
Ar,pAr
Atf2,pAtf2
Atoh1,pAtoh1
Neurod4,pNeurod4
Neurog2,pNeurog2
Hnrnpd,pHnrnpd
Bard1,pBard1
Barx1,pBarx1
Barx2,pBarx2
Bcl6b,pBcl6b
Bcl6,pBcl6
Brca1,pBrca1
Brca2,pBrca2
Zfp36l1,pZfp36l1
Btg1,pBtg1
Btg2,pBtg2
Ciita,pCiita
Runx2,pRunx2
Runx1t1,pRunx1t1
Cdx1,pCdx1
Cdx2,pCdx2
Cdx4,pCdx4
Cebpa,pCebpa
Cebpd,pCebpd
Cebpg,pCebpg
Vsx2,pVsx2
Cited1,pCited1
Cops2,pCops2
Crebbp,pCrebbp
Ctbp1,pCtbp1
Dach1,pDach1
Dbp,pDbp
Pcbd1,pPcbd1
Ddit3,pDdit3
Dlx1,pDlx1
Dlx2,pDlx2
Dlx4,pDlx4
Dlx5,pDlx5
Dnmt1,pDnmt1
Dnmt3a,pDnmt3a
E4f1,pE4f1
Ebf1,pEbf1
Ebf3,pEbf3
Ehf,pEhf
Elf5,pElf5
Ell,pEll
Emx1,pEmx1
Emx2,pEmx2
Epas1,pEpas1
Nr2f6,pNr2f6
Erg,pErg
Esr2,pEsr2
Ewsr1,pEwsr1
Eya3,pEya3
Foxh1,pFoxh1
Fhl2,pFhl2
Foxn2,pFoxn2
Fmr1,pFmr1
Gata3,pGata3
Gata4,pGata4
Gata5,pGata5
Gata6,pGata6
Gfi1,pGfi1
Tsc22d3,pTsc22d3
Gli3,pGli3
Nr3c1,pNr3c1
Gsc,pGsc
Gsx1,pGsx1
Gsx2,pGsx2
Gtf2h1,pGtf2h1
Gtf2i,pGtf2i
Nkx6-2,pNkx6-2
Hand1,pHand1
Hcls1,pHcls1
Hdac5,pHdac5
