Node_i,Node_j,edge_weight
l1700003F17Rik,pPabpc1,1
l1700003F17Rik,pPou5f1,1
l1700003F17Rik,pRbfox2,1
l1700003F17Rik,pZfp36,1
l1700003F17Rik,pYy1,1
l1700006D18Rik,p-,1
l1700006D18Rik,pAgo1,1
l1700006D18Rik,pAgo2,1
l1700006D18Rik,pAgo4,1
l1700006D18Rik,pFmr1,1
l1700006D18Rik,pPtbp2,1
l1700006D18Rik,pRbfox2,1
l1700006D18Rik,pSfpq,1
l1700006D18Rik,pTia1,1
l1700006D18Rik,pYy1,1
l1700006P19Rik,p-,1
l1700006P19Rik,pAgo1,1
l1700006P19Rik,pAgo2,1
l1700006P19Rik,pAgo4,1
l1700006P19Rik,pDazl,1
l1700006P19Rik,pElavl1,1
l1700006P19Rik,pPkm,1
l1700006P19Rik,pPabpc1,1
l1700006P19Rik,pPtbp2,1
l1700006P19Rik,pRbm10,1
l1700006P19Rik,pRbfox2,1
l1700006P19Rik,pSfpq,1
l1700006P19Rik,pTia1,1
l1700006P19Rik,pZfp36,1
l1700007K13Rik,pFus,2
l1700007K13Rik,pTardbp,1
l1700007L15Rik,pDazl,1
l1700007L15Rik,pPabpc1,1
l1700007L15Rik,pPspc1,1
l1700007M16Rik,pRbfox2,1
l1700008O03Rik,pFus,2
l1700008O03Rik,pTardbp,1
l1700008O03Rik,pUpf1,1
l1700009P17Rik,pFus,1
l1700009P17Rik,pTardbp,1
l1700011J10Rik,pPkm,1
l1700011J10Rik,pPabpc1,1
l1700011J10Rik,pPou5f1,1
l1700011J10Rik,pRbm10,1
l1700011J10Rik,pSfpq,1
l1700011J10Rik,pTia1,1
l1700011J10Rik,pYy1,1
l1700012C08Rik,pPtbp2,1
l1700012G19Rik,pMbnl1,1
l1700013F07Rik,pFus,2
l1700013F07Rik,pTardbp,1
l1700013G23Rik,pRbfox2,1
l1700015O11Rik,pPou5f1,1
l1700016G14Rik,pTardbp,1
l1700019B21Rik,pDazl,1
l1700019B21Rik,pRbfox2,1
l1700019E08Rik,pRbfox2,1
l1700019G24Rik,p-,1
l1700019G24Rik,pFmr1,1
l1700019G24Rik,pFus,2
l1700019G24Rik,pPou5f1,1
l1700019G24Rik,pTardbp,1
l1700021F05Rik,pCelf1,2
l1700021F05Rik,pFus,2
l1700021F05Rik,pMbnl1,1
l1700021F05Rik,pTardbp,1
l1700021F05Rik,pUpf1,1
l1700021K19Rik,pUpf1,1
l1700021L23Rik,pPou5f1,1
l1700021L23Rik,pYy1,1
l1700022A21Rik,pIpo9,1
l1700022K14Rik,pPabpc1,1
l1700022K14Rik,pPtbp2,1
l1700022K14Rik,pRbfox2,1
l1700022K14Rik,pSfpq,1
l1700022N22Rik,pPtbp2,1
l1700022N22Rik,pRbfox2,1
l1700023I07Rik,pRbfox2,1
l1700024P03Rik,pDazl,1
l1700024P03Rik,pPabpc1,1
l1700024P03Rik,pPou5f1,1
l1700024P03Rik,pPtbp2,1
