samples_num_1,samples_num_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
5,10,0.8181818181818182,0.8863636363636364,0.8780487804878049,0.8470588235294119,0.8522727272727273,0.7061888179523477,0.9111570247933884,0.9075266529233734
5,15,0.8181818181818182,0.8863636363636364,0.8780487804878049,0.8470588235294119,0.8522727272727273,0.7061888179523477,0.9302685950413223,0.9425422879633034
5,20,0.8181818181818182,0.8863636363636364,0.8780487804878049,0.8470588235294119,0.8522727272727273,0.7061888179523477,0.9152892561983471,0.9327592293945153
5,25,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,0.8863636363636364,0.7727272727272727,0.9617768595041323,0.9679891090908326
10,10,0.8181818181818182,0.9318181818181818,0.9230769230769231,0.8674698795180724,0.875,0.754889867938268,0.9375,0.9541803718925177
10,15,0.9090909090909091,0.9545454545454546,0.9523809523809523,0.9302325581395349,0.9318181818181818,0.8645299348672512,0.9726239669421488,0.9813083210329742
10,20,0.8863636363636364,0.9090909090909091,0.9069767441860465,0.896551724137931,0.8977272727272727,0.7956600627155525,0.9602272727272727,0.9682755612295948
10,25,0.8636363636363636,0.9090909090909091,0.9047619047619048,0.8837209302325582,0.8863636363636364,0.7735267838285931,0.9457644628099173,0.9548024556731949
15,10,0.7954545454545454,0.8181818181818182,0.813953488372093,0.8045977011494252,0.8068181818181818,0.6137949055234262,0.9152892561983472,0.9309564351251517
15,15,0.8181818181818182,0.8409090909090909,0.8372093023255814,0.8275862068965518,0.8295454545454546,0.6592611948214577,0.9173553719008265,0.9255912887248939
15,20,0.8863636363636364,0.9090909090909091,0.9069767441860465,0.896551724137931,0.8977272727272727,0.7956600627155525,0.9442148760330579,0.9538217357719436
15,25,0.8863636363636364,0.9090909090909091,0.9069767441860465,0.896551724137931,0.8977272727272727,0.7956600627155525,0.9488636363636365,0.9309453280766566
20,10,0.8636363636363636,0.8863636363636364,0.8837209302325582,0.8735632183908046,0.875,0.7501937734175209,0.8997933884297521,0.8368152951425964
20,15,0.7954545454545454,0.8636363636363636,0.8536585365853658,0.8235294117647058,0.8295454545454546,0.6606282490521962,0.9478305785123967,0.9507334021937095
20,20,0.8863636363636364,0.9090909090909091,0.9069767441860465,0.896551724137931,0.8977272727272727,0.7956600627155525,0.9638429752066116,0.9676808815388425
20,25,0.8863636363636364,0.9318181818181818,0.9285714285714286,0.9069767441860465,0.9090909090909091,0.8190283593479222,0.9514462809917356,0.9532277670144627
