l7SK
lAARS
lAATF
lAATK
lABI2
lABL2
lABO
lAC003003.5
lAC004840.8
lAC005094.2
lAC005614.5
lAC008074.3
lAC018462.2
lAC074286.1
lACAT2
lACIN1
lACN9
lACOT9
lACSF2
lACSL4
lACTN1
lACTN4
lACVR2A
lADAM19
lADARB1
lADCY5
lADCY9
lADD1
lAFF4
lAGK
lAGPAT3
lAHDC1
lAHSA1
lAKAP13
lAKR1A1
lALDOA
lALG9
lAMBRA1
lAMFR
lAMZ1
lANAPC10
lANKH
lANKRA2
lANKRD10
lANKRD11
lANKRD13C
lANKRD28
lANKRD55
lANKUB1
lANLN
lANO10
lANP32A
lANXA11
lANXA2
lAP000320.7
lAP000721.4
lAP1G1
lAP2A2
lAP3B1
lAP3M1
lAP3M2
lAP3S1
lAPI5
lAQP4-AS1
lARF3
lARF4
lARFGEF1
lARHGAP21
lARHGEF1
lARHGEF3
lARIH1
lARIH2
lARL6IP6
lARPC1B
lASAP1
lASAP2
lATAD2
lATE1
lATF7
lATG7
lATL2
lATN1
lATP10A
lATP11A
lATP13A3
lATP1B3
lATP2A2
lATP2C1
lATP5A1
lATP5B
lATP5C1
lATP5F1
lATP6V1A
lATR
lATRNL1
lATXN1
lATXN7L1
lAUTS2
lAVL9
lAZIN1
lBAG4
lBAIAP2
lBANP
lBBX
lBCKDHA
lBCL6
lBICD1
lBIRC5
lBIRC6
lBRE
lBRWD1
lBSG
lBTBD1
lBTF3L4
lC11orf49
lC11orf65
lC12orf45
lC12orf65
lC15orf41
lC1D
lC1QBP
lC1orf112
lC1orf228
lC20orf24
lC20orf26
lC21orf58
lC2orf42
lC2orf69
lC2orf88
lC4orf45
lC5orf22
lC7orf60
lC8orf76
lCAAP1
lCABLES1
lCACNA1C
lCACNA2D1
lCACNB2
lCADM4
lCALD1
lCALM1
lCAMK1D
lCAMK4
lCAND1
lCANX
lCAPN2
lCAPN7
lCAPZB
lCARS
lCARS2
lCCAR1
lCCDC14
lCCDC150
lCCDC169
lCCDC91
lCCNB1
lCCND3
lCCNI
lCCNJL
lCCNY
lCCT5
lCD151
lCD164
lCD2AP
lCDC14B
lCDCA3
lCDH12
lCDH13
lCDIP1
lCDK6
lCDKN1B
lCENPK
lCENPV
lCEP170
lCEP72
lCEP85L
lCERS5
lCHCHD6
lCHD2
lCHEK1
lCHKA
lCHKB-CPT1B
lCHMP3
lCHP1
lCHST15
lCHSY3
lCICP7
lCIRH1A
lCIT
lCIZ1
lCKAP4
lCKMT2
lCLASP2
lCLIC4
lCLN6
lCLNS1A
lCLOCK
lCLTC
lCMSS1
lCMTM4
lCNIH4
lCNOT1
lCNOT10
lCNOT4
lCNOT6
lCNOT7
lCOG3
lCOG5
lCOL4A3
lCOL4A6
lCOLEC10
lCOPB1
lCOPS3
lCORO7
lCPEB4
lCPNE1
lCPNE8
lCPSF3L
lCPSF6
lCREB5
lCREBZF
lCREM
lCRIM1
lCRLF1
lCRLF3
lCRLS1
lCRNDE
lCROCCP3
lCRTC3
lCS
lCSMD1
lCSRP2
lCTB-96E2.3
lCTBP2
lCTBS
lCTD-2116N17.1
lCTD-3148I10.15
lCTDSPL2
lCTIF
lCTNNA1
lCTNND1
lCTNND2
lCTNS
lCTTN
lCWF19L1
lCYB5B
lCYB5R3
lCYTH1
lCYTH3
lDAG1
lDALRD3
lDARS
lDCAF10
lDCAF8
lDCBLD1
lDCBLD2
lDCP1A
lDCP2
lDDHD1
lDDX1
lDDX10
lDDX23
lDDX6
lDEDD
lDENND5A
lDENND5B-AS1
lDENR
lDESI1
lDHX15
lDHX30
lDLC1
lDLG1
lDLG2
lDLGAP4
lDMTF1
lDMXL2
lDNAJA1
lDNAJC1
lDNAJC2
lDNAJC6
lDNAJC7
lDNAJC9
lDNM1L
lDPF2
lDPP6
lDPY19L3
lDPYSL2
lDSN1
lDTNB
lDUSP16
lDYM
lDYNC1H1
lDYNC1I2
lDYRK1A
lDYRK2
lDYRK4
lEBF1
lEDA
lEEF1D
lEFCAB2
lEFCAB6
lEGFR
lEHBP1
lEHHADH
lEID1
lEIF2S3
lEIF3E
lEIF3H
lEIF4E
lEIF4EBP1
lEIF4G3
lEIF5
lEIF6
lELF2
lELMO1
lELOVL5
lELOVL6
lELP2
lEMB
lEML4
lEMP2
lENO1
lENSG00000103472
lENSG00000145075
lENSG00000171889
lENSG00000175061
lENSG00000177738
lENSG00000177822
lENSG00000178440
lENSG00000179743
lENSG00000196566
lENSG00000196696
lENSG00000196810
lENSG00000197332
lENSG00000203709
lENSG00000204380
lENSG00000204387
lENSG00000204929
lENSG00000207751
lENSG00000212719
lENSG00000214184
lENSG00000214783
lENSG00000215196
lENSG00000218018
lENSG00000223646
lENSG00000223732
lENSG00000223768
lENSG00000224078
lENSG00000224271
lENSG00000224481
lENSG00000224614
lENSG00000224905
lENSG00000225057
lENSG00000225339
lENSG00000225470
lENSG00000225506
lENSG00000225521
lENSG00000226239
lENSG00000226330
lENSG00000226465
lENSG00000226571
lENSG00000226851
lENSG00000227161
lENSG00000227193
lENSG00000227218
lENSG00000228060
lENSG00000228436
lENSG00000228506
lENSG00000228509
lENSG00000228526
lENSG00000228590
lENSG00000228649
lENSG00000228737
lENSG00000228925
lENSG00000229021
lENSG00000229205
lENSG00000229335
lENSG00000230010
lENSG00000230074
lENSG00000230084
lENSG00000230185
lENSG00000230186
lENSG00000230262
lENSG00000230490
lENSG00000230612
lENSG00000230773
lENSG00000230782
lENSG00000231170
lENSG00000231187
lENSG00000231332
lENSG00000231365
lENSG00000231367
lENSG00000231482
lENSG00000232729
lENSG00000233143
lENSG00000233420
lENSG00000233421
lENSG00000233611
lENSG00000233654
lENSG00000233860
lENSG00000234072
lENSG00000234147
lENSG00000234426
lENSG00000234464
lENSG00000235236
lENSG00000235244
lENSG00000235419
lENSG00000235481
lENSG00000236303
lENSG00000236364
lENSG00000236449
lENSG00000236869
lENSG00000237188
lENSG00000237491
lENSG00000238198
lENSG00000238221
lENSG00000238280
lENSG00000239213
lENSG00000240086
lENSG00000240240
lENSG00000242086
lENSG00000242288
lENSG00000242396
lENSG00000242553
lENSG00000242588
lENSG00000243620
lENSG00000244036
lENSG00000244513
lENSG00000245293
lENSG00000245322
lENSG00000245552
lENSG00000245904
lENSG00000246214
lENSG00000246250
lENSG00000247137
lENSG00000247199
lENSG00000247373
lENSG00000247498
lENSG00000247728
lENSG00000248932
lENSG00000249042
lENSG00000249236
lENSG00000249252
lENSG00000249592
lENSG00000249846
lENSG00000249906
lENSG00000250167
lENSG00000250195
lENSG00000250326
lENSG00000250337
lENSG00000250697
lENSG00000250903
lENSG00000250974
lENSG00000251026
lENSG00000251136
lENSG00000251326
lENSG00000251600
lENSG00000251637
lENSG00000251680
lENSG00000253133
lENSG00000253194
lENSG00000253374
lENSG00000253535
lENSG00000253618
lENSG00000253736
lENSG00000253948
lENSG00000254101
lENSG00000254409
lENSG00000254662
lENSG00000254859
lENSG00000254929
lENSG00000255008
lENSG00000255036
lENSG00000255139
lENSG00000255252
lENSG00000255308
lENSG00000255367
lENSG00000255422
lENSG00000255435
lENSG00000255652
lENSG00000256028
lENSG00000256632
lENSG00000257060
lENSG00000257285
lENSG00000257303
lENSG00000257337
lENSG00000257553
lENSG00000257636
lENSG00000257735
lENSG00000257815
lENSG00000257894
lENSG00000257913
lENSG00000258017
lENSG00000258086
lENSG00000258199
lENSG00000258210
lENSG00000258404
lENSG00000258526
lENSG00000258603
lENSG00000258654
lENSG00000258667
lENSG00000258782
lENSG00000258784
lENSG00000259001
lENSG00000259116
lENSG00000259138
lENSG00000259240
lENSG00000259410
lENSG00000259498
lENSG00000259768
lENSG00000259986
lENSG00000259992
lENSG00000260167
lENSG00000260803
lENSG00000260874
lENSG00000260971
lENSG00000261172
lENSG00000261404
lENSG00000261423
lENSG00000261487
lENSG00000261553
lENSG00000261771
lENSG00000261777
lENSG00000261879
lENSG00000262049
lENSG00000262136
lENSG00000262202
lENSG00000262728
lENSG00000262879
lENSG00000263272
lENSG00000263307
lENSG00000263718
lENSG00000263745
lENSG00000263766
lENSG00000263798
lENSG00000263917
lENSG00000264031
lENSG00000264808
lENSG00000264860
lENSG00000265218
lENSG00000265257
lENSG00000265451
lENSG00000265533
lENSG00000265794
lENSG00000266283
lENSG00000266903
lENSG00000266929
lENSG00000266969
lENSG00000266978
lENSG00000267009
lENSG00000267198
lENSG00000267216
lENSG00000267265
lENSG00000267302
lENSG00000267321
lENSG00000267394
lENSG00000267476
lENSG00000267519
lENSG00000267605
lENSG00000267633
lENSG00000267858
lENSG00000267871
lENSG00000268199
lENSG00000268575
lENSG00000269054
lENSG00000269289
lENSG00000269656
lENSG00000269707
lENSG00000269968
lENSG00000270022
lENSG00000270087
lENSG00000270820
lENSG00000271335
lENSG00000271727
lENSG00000271848
lENSG00000271913
lENSG00000272273
lENSG00000272288
lENSG00000272446
lENSG00000272690
lENSG00000272758
lENSG00000272980
lENSG00000273112
lENSG00000273118
lENSG00000273149
lENSG00000273184
lENSG00000273345
lENSG00000273433
lENSG00000273784
lENSG00000274259
lENSG00000276241
lENSG00000279168
lENSG00000279605
lENSG00000280195
lENSG00000280878
lENSG00000281880
lENSG00000282885
lENSG00000282917
lENSG00000283341
lENSG00000283360
lENSG00000283411
lENSG00000283518
lENSG00000283674
lENSG00000283743
lENSG00000284048
lENSG00000284052
lENSG00000284707
lENSG00000284738
lENSG00000284829
lENSG00000284879
lENSG00000285006
lENSG00000285080
lENSG00000285216
lENSG00000285280
lENSG00000285314
lENSG00000285367
lENSG00000285646
lENSG00000285677
lENSG00000285756
lENSG00000285783
lENSG00000285804
lENSG00000285851
lENSG00000286037
lENSG00000286162
lENSG00000286271
lENSG00000286340
lENSG00000286456
lENSG00000286458
lENSG00000286533
lENSG00000286895
lENSG00000287001
lENSG00000287045
lENSG00000287249
lENSG00000287299
lENSG00000287608
lENSG00000287862
lENSG00000288075
lENSG00000288473
lENSG00000288597
lENSG00000288632
lENSG00000288663
lENSG00000288700
lENSG00000288849
lENSG00000289376
lENSG00000289405
lENTPD1-AS1
lENY2
lEPB41
lEPB41L3
lEPC1
lEPHB1
lEPRS
lEPS15L1
lERC2
lERG
lESRRG
lETV6
lEXOC4
lEYA4
lFAM104A
lFAM111A
lFAM122C
lFAM135A
lFAM135B
lFAM151B
lFAM154A
lFAM179B
lFAM208A
lFAM210A
lFAM212B
lFAM220A
lFAM227A
lFAM227B
lFAM49B
lFANCA
lFANCC
lFANCI
lFAR2
lFBN2
lFBXL5
lFBXO16
lFBXO28
lFBXO34
lFBXO38
lFGD4
lFGGY
lFHIT
lFKBP3
lFLG-AS1
lFLVCR2
lFNIP2
lFNTA
lFOCAD
lFRYL
lFSTL1
lFUT8
lFUT9
lG2E3
lG3BP1
lGALNT11
lGALNT7
lGARNL3
lGATS
lGBAS
lGDAP1
lGFPT1
lGGA2
lGGA3
lGIT2
lGLB1
lGLYR1
lGMDS
lGNAO1
lGNB1
lGNB2L1
lGNPTG
lGOLGA3
lGPATCH2
lGPLD1
lGPR113
lGPR125
lGRAMD1C
lGRB10
lGRHPR
lGRIA3
lGRSF1
lGTDC1
lGTF2F2
lGUCY1A3
lH3F3B
lHAT1
lHCG18
lHDAC8
lHDLBP
lHECTD1
lHECW1
lHERC4
lHIF1A
lHM13
lHN1
lHNRNPC
lHNRNPH3
lHNRNPM
lHORMAD2
lHOXB3
lHPS4
lHSDL1
lHSF1
lHSPB7
lHUWE1
lHYOU1
lIARS
lID2
lIGF2BP2
lIGF2BP3
lIGF2R
lIL20RB
lILKAP
lIMMT
lING4
lINO80
lIP6K1
lIPO11
lIPO7
lIPPK
lIQCG
lIQGAP1
lIREB2
lIRF1
lISCU
lITGA1
lIWS1
lJMY
lJRK
lKAT7
lKCNAB1
lKCNC4
lKCNMB2
lKCTD19
lKDELR2
lKDM2A
lKDM4C
lKDM5A
lKDM5B
lKIAA0226
lKIAA0319L
lKIAA1524
lKIF13A
lKIF2A
lKLC1
lKLHL24
lKMT2B
lKNTC1
lKRTCAP2
lLA16c-306E5.3
lLARP1
lLARS
lLCOR
lLDLR
lLDLRAD3
lLHFPL2
lLIMCH1
lLINC00176
lLMBR1
lLONP2
lLPHN2
lLPHN3
lLPP
lLRR1
lLRRC49
lLRRN2
lLTBP4
lLUC7L
lLYPD5
lM1AP
lMACROD2
lMAGI2
lMAGI3
lMAMLD1
lMAN2A1
lMAP1LC3B
lMAP4
lMAPK1IP1L
lMAPK8IP3
lMAPKAPK5
lMAST2
lMBD3
lMCM3AP-AS1
lMCM7
lMDM4
lMED13L
lMED17
lMED24
lMETTL6
lMFF
lMFSD12
lMGAT5
lMGEA5
lMICU1
lMICU2
lMID1IP1-AS1
lMINOS1
lMKL2
lMKLN1
lMMS22L
lMOB1A
lMOK
lMPI
lMPPED2
lMRPL13
lMRPL17
lMRPL48
lMRPS27
lMSI2
lMTA3
lMTCH2
lMTFR1
lMTHFD1L
lMTMR2
lMTMR3
lMXD1
lMYCBP2
lMYL12A
lMYLK3
lMYO1E
lMYOM1
lMYSM1
lMYT1L
lNAA16
lNAA25
lNAA50
lNAB1
lNAPEPLD
lNAV2
lNCAM1
lNCK1
lNCKAP1
lNCKIPSD
lNEBL
lNEDD4
lNEDD9
lNEK1
lNELFCD
lNEO1
lNFAT5
lNFU1
lNFYC
lNHSL1
lNINJ2
lNISCH
lNKAIN2
lNKRF
lNLGN1
lNMD3
