lNONHSAG000008
lNONHSAG000017
lNONHSAG000027
lNONHSAG000046
lENSG00000237491
lNONHSAG000047
lNONHSAG000059
lNONHSAG000061
lNONHSAG000065
lAGRN
lNONHSAG000070
lNONHSAG000071
lNONHSAG000072
lNONHSAG000074
lNONHSAG000081
lNONHSAG000082
lENSG00000230415
lNONHSAG000092
lNONHSAG000096
lNONHSAG000098
lNONHSAG000101
lNONHSAG000102
lNONHSAG000104
lNONHSAG000108
lNONHSAG000110
lNONHSAG000111
lNONHSAG000113
lNONHSAG000117
lNONHSAG000118
lNONHSAG000124
lENSG00000268575
lNONHSAG000130
lNONHSAG000140
lMORN1
lNONHSAG000150
lRER1
lNONHSAG000154
lNONHSAG000156
lNONHSAG000157
lNONHSAG000159
lNONHSAG000163
lNONHSAG000166
lNONHSAG000181
lNONHSAG000183
lNONHSAG000187
lNONHSAG000190
lNONHSAG000194
lNONHSAG000195
lNONHSAG000199
lNONHSAG000202
lNONHSAG000217
lRPL22
lNONHSAG000236
lNONHSAG000238
lNONHSAG000241
lNONHSAG000256
lNONHSAG000261
lNONHSAG000262
lNONHSAG000272
lPER3
lENSG00000236266
lNONHSAG000279
lNONHSAG056106
lNONHSAG000292
lRERE
lENO1
lNONHSAG000303
lNONHSAG000306
lENSG00000228526
lNONHSAG000311
lNONHSAG000315
lNONHSAG000320
lNONHSAG000327
lNMNAT1
lNONHSAG000344
lNONHSAG000345
lNONHSAG000346
lENSG00000230337
lNONHSAG000367
lNONHSAG000374
lNONHSAG000383
lCLCN6
lNONHSAG000387
lNONHSAG000399
lNONHSAG000409
lNONHSAG000413
lNONHSAG000415
lNONHSAG000426
lNONHSAG000427
lNONHSAG000430
lNONHSAG000438
lNONHSAG000439
lDDI2
lNONHSAG000443
lNONHSAG000444
lENSG00000179743
lNONHSAG000465
lNONHSAG000466
lNONHSAG000467
lNONHSAG000469
lNECAP2
lCROCCP3
lENSG00000233421
lNONHSAG000477
lNONHSAG000484
lNONHSAG000487
lNONHSAG000496
lCROCC
lENSG00000238142
lNONHSAG000505
lNONHSAG000506
lNONHSAG000512
lNONHSAG000514
lIGSF21
