lXkr4
lNONMMUG000024
lNONMMUG000026
lNONMMUG000040
lNONMMUG000046
lSt18
lNONMMUG000053
lNONMMUG000071
lNONMMUG000072
lNONMMUG000077
lNONMMUG000100
lNONMMUG000110
lNONMMUG000117
lNONMMUG000132
lNONMMUG000133
lNONMMUG000142
lNONMMUG000155
lNONMMUG000167
lNONMMUG000171
lNONMMUG000182
lNONMMUG000185
lNONMMUG000186
lNONMMUG000187
lNONMMUG000191
lNONMMUG000195
lNONMMUG000210
lNONMMUG000233
lNONMMUG000236
lNONMMUG000237
lNONMMUG000258
lCol19a1
lNONMMUG000267
lNONMMUG000282
lNONMMUG000283
lNONMMUG000285
lNONMMUG000288
lNONMMUG000290
lNONMMUG000291
lNONMMUG000293
lNONMMUG000297
lNONMMUG000324
lNONMMUG000327
lNONMMUG000328
lNONMMUG000373
lNONMMUG000392
lNONMMUG000398
lNONMMUG000431
lMrpl30
lNONMMUG000451
lNONMMUG000474
lNONMMUG000483
lNONMMUG000494
lNONMMUG000501
lNONMMUG000504
lNONMMUG000507
lNONMMUG000508
lNONMMUG000515
lNONMMUG000532
lNONMMUG000537
lNONMMUG000539
lNONMMUG000541
lNONMMUG000542
lNONMMUG000543
lCol5a2
lENSMUSG00000100213
lNONMMUG000575
lNONMMUG000578
lENSMUSG00000099413
lGls
lNONMMUG000625
lNONMMUG000628
lNONMMUG000632
lNONMMUG000635
lNONMMUG000636
lNONMMUG000646
lNONMMUG000648
lENSMUSG00000099950
lNONMMUG000668
lNONMMUG000674
lNONMMUG000679
lNONMMUG000687
lNONMMUG000690
lENSMUSG00000099811
lNONMMUG000731
lNONMMUG000737
lNONMMUG000745
lNONMMUG000757
lNONMMUG000741
lNONMMUG000778
lNONMMUG000791
lPard3b
lNONMMUG000815
lNONMMUG000822
lENSMUSG00000086730
lNONMMUG000855
lNONMMUG000856
lNONMMUG000865
lNONMMUG000867
lNONMMUG000885
lNONMMUG000901
lErbb4
lENSMUSG00000101156
lNONMMUG000953
lNONMMUG000966
lNONMMUG000972
lNONMMUG000977
lNONMMUG000979
lNONMMUG000984
lNONMMUG000992
lNONMMUG001006
lNONMMUG001008
lNONMMUG001015
lPnkd
lNONMMUG001042
lNONMMUG001043
lNONMMUG001058
lNONMMUG001060
lNONMMUG001076
lENSMUSG00000100827
lNONMMUG001082
lNONMMUG001092
lNONMMUG001099
lNONMMUG001101
lNONMMUG001114
lNONMMUG001129
lNONMMUG001132
lNONMMUG001135
lNONMMUG001178
lNONMMUG001214
lNONMMUG001222
lNONMMUG001228
lNONMMUG001229
lNONMMUG001230
