lncRNA,score
lNONHSAG048159,2.0148973432009645e-05
lNONHSAG010779,2.0145907954965554e-05
lNONHSAG022057,2.0058630168283444e-05
lNONHSAG005734,2.0036663320864594e-05
lNONHSAG053586,1.999871592361428e-05
lNONHSAG052609,1.99828220755708e-05
lNONHSAG048616,1.9948303497850464e-05
lNONHSAG036047,1.994633953054867e-05
lNONHSAG031145,1.993990020157979e-05
lNONHSAG035677,1.9912751890405418e-05
lNONHSAG043250,1.9748841970628887e-05
lNONHSAG022651,1.9743596296653108e-05
lNONHSAG015097,1.970002786732972e-05
lNONHSAG044916,1.968935114730989e-05
lNONHSAG037420,1.95308151512807e-05
lNONHSAG052523,1.948366732566296e-05
lNONHSAG017882,1.9423827972185395e-05
lNONHSAG034873,1.942218682326602e-05
lNONHSAG036713,1.930837646002999e-05
lNONHSAG056025,1.9280980582612835e-05
lNONHSAG020390,1.927444836051636e-05
lNONHSAG037765,1.9272210733928677e-05
lNONHSAG053814,1.91483781207673e-05
lNONHSAG029596,1.9103866719989486e-05
lNONHSAG050514,1.9026974819779684e-05
lNONHSAG050980,1.8982880535788627e-05
lNONHSAG018387,1.891494619173655e-05
lNONHSAG033495,1.882905816956092e-05
lNONHSAG040870,1.8770337685381693e-05
lNONHSAG047466,1.87637644116008e-05
lNONHSAG049421,1.873060169292321e-05
lNONHSAG027049,1.871572781480314e-05
lNONHSAG014852,1.8695066937443767e-05
lNONHSAG018392,1.8604210546144806e-05
lNONHSAG034519,1.8585781239905042e-05
lNONHSAG007888,1.8552466994044266e-05
l7SK,1.8522213064312084e-05
lNONHSAG006598,1.849193346438129e-05
lNONHSAG030407,1.8485068463832033e-05
lNONHSAG036736,1.8477645708007685e-05
lNONHSAG047319,1.8451278300318347e-05
lNONHSAG032682,1.8450485929893523e-05
lNONHSAG055450,1.8439319341293668e-05
lNONHSAG001242,1.841767106406574e-05
lNONHSAG021874,1.8207148746196093e-05
lNONHSAG027840,1.8153760029917877e-05
lNONHSAG023635,1.8082339208912025e-05
lNONHSAG010405,1.804041473344408e-05
lNONHSAG041431,1.789148851426522e-05
lENSG00000282740,1.7860509462654235e-05
lNONHSAG006824,1.7850398073529984e-05
lNONHSAG029873,1.7835809140596574e-05
lNONHSAG048639,1.780315372694174e-05
lNONHSAG040784,1.7731609757369888e-05
lNONHSAG004197,1.7707122012573715e-05
lNONHSAG052155,1.7615971148982697e-05
lNONHSAG025700,1.7550467241718e-05
lNONHSAG017136,1.7529587188176196e-05
lNONHSAG027451,1.74823994332269e-05
lNONHSAG038350,1.7471486208923274e-05
lNONHSAG035364,1.744938251879539e-05
lNONHSAG051275,1.7441473538937193e-05
lNONHSAG052554,1.7437088630840083e-05
lNONHSAG027692,1.740938403780018e-05
lNONHSAG025649,1.7358436467632712e-05
lNONHSAG050962,1.7346630984481065e-05
lNONHSAG042989,1.7239054073017313e-05
lNONHSAG043303,1.7219665509308146e-05
lNONHSAG027549,1.7167231190408526e-05
lNONHSAG020361,1.7105297529824013e-05
lNONHSAG042968,1.7105296816064623e-05
lNONHSAG012367,1.7090176422188155e-05
lNONHSAG026925,1.7044641538010373e-05
lNONHSAG053123,1.7042632326376132e-05
lNONHSAG007631,1.6939906603616685e-05
lNONHSAG055855,1.6900866635675052e-05
lNONHSAG032503,1.6867597344154253e-05
lNONHSAG013090,1.6855606509513145e-05
lNONHSAG034348,1.684240861496868e-05
lNONHSAG038964,1.6827303382679452e-05
lNONHSAG014414,1.677430858799795e-05
lNONHSAG025379,1.6733572086402133e-05
lNONHSAG103817,1.6720247797661025e-05
lNONHSAG041529,1.6693189870374398e-05
lNONHSAG037522,1.6633762580717978e-05
lNONHSAG031750,1.6627400745368227e-05
lNONHSAG030522,1.660833626738638e-05
lNONHSAG012505,1.6602206399802348e-05
lNONHSAG055210,1.6591825121649538e-05
lNONHSAG029906,1.657918227496391e-05
lNONHSAG023752,1.656420953123809e-05
lNONHSAG034063,1.6559251721387026e-05
lNONHSAG032772,1.6536595481951013e-05
lNONHSAG006756,1.6482805827507873e-05
lNONHSAG041334,1.64552423030796e-05
lNONHSAG017417,1.643507584677639e-05
lNONHSAG031703,1.640456921280842e-05
lNONHSAG013431,1.6332938579906235e-05
lNONHSAG036567,1.6311626042996232e-05
lNONHSAG006678,1.6303782350653794e-05
lNONHSAG003896,1.6288311928424605e-05
lNONHSAG039927,1.6259542772560148e-05
lNONHSAG051255,1.624746906425025e-05
lNONHSAG041990,1.6170965272351778e-05
lENSG00000282143,1.613176388905244e-05
lNONHSAG026838,1.611962155714746e-05
lNONHSAG005237,1.6068033241016896e-05
lNONHSAG034341,1.6048504610012696e-05
lNONHSAG042927,1.6027106864138135e-05
lNONHSAG014875,1.601845193834193e-05
lNONHSAG029042,1.6009019887405845e-05
lNONHSAG029377,1.6003053354797667e-05
lNONHSAG032190,1.5978424865007842e-05
lNONHSAG040472,1.5912607590218758e-05
lNONHSAG032018,1.5893040126602567e-05
lNONHSAG017589,1.588321049834967e-05
lNONHSAG029503,1.5827361137792566e-05
lNONHSAG051063,1.5798799270272485e-05
lNONHSAG031452,1.578258160693216e-05
lNONHSAG016861,1.5763781853992964e-05
lNONHSAG041519,1.5753406789000142e-05
lNONHSAG025583,1.573283030711814e-05
lNONHSAG017952,1.5712193784470202e-05
lNONHSAG055187,1.5682368646696543e-05
lNONHSAG020474,1.5672903006603074e-05
lNONHSAG047097,1.5581091897640246e-05
lNONHSAG054937,1.5570860717045232e-05
lNONHSAG014947,1.5562451133224437e-05
lNONHSAG020957,1.5548778311322646e-05
lNONHSAG009822,1.5500415850443667e-05
lNONHSAG043770,1.54951916918623e-05
lNONHSAG053763,1.5492095763002383e-05
lSEC22B,1.5476149053681292e-05
lNONHSAG055145,1.5443405464512088e-05
lNONHSAG031248,1.5439389547610998e-05
lNONHSAG051789,1.5373252798129618e-05
lNONHSAG029985,1.530167461064782e-05
lENSG00000262202,1.5252090506248176e-05
lNONHSAG042138,1.5241688691554094e-05
lNONHSAG029996,1.5216425104365297e-05
lENSG00000283360,1.5194379997353803e-05
lNONHSAG050548,1.5133067459859424e-05
lNONHSAG003074,1.5060606872256436e-05
lNONHSAG033348,1.5045186112003624e-05
lNONHSAG024065,1.5036522771698341e-05
lNONHSAG038930,1.5030900291873761e-05
lNONHSAG013702,1.498033379919474e-05
lNONHSAG032461,1.4937049742835106e-05
lNONHSAG028595,1.4902915784972265e-05
lNONHSAG017672,1.4892291728896217e-05
lNONHSAG041002,1.4885718292367489e-05
lNONHSAG035314,1.4845184865247426e-05
lNONHSAG032604,1.4832681506824108e-05
lNONHSAG002949,1.4831513977985483e-05
lNONHSAG026386,1.4809385938462839e-05
lNONHSAG048977,1.4783617907062982e-05
lNONHSAG013786,1.4749221865310558e-05
lNONHSAG020070,1.4672277653591184e-05
lNONHSAG010745,1.4603808383420725e-05
lNONHSAG010197,1.457611719125256e-05
lNONHSAG007033,1.4573413559925711e-05
lNONHSAG048460,1.4567716610236738e-05
lNONHSAG019123,1.4560158452091757e-05
lNONHSAG041317,1.4547243826435755e-05
lNONHSAG032733,1.4547217377731446e-05
lNONHSAG005487,1.4543909187322882e-05
lNONHSAG044484,1.453170093982547e-05
lNONHSAG005689,1.4525217862466746e-05
lNONHSAG049041,1.449278027737119e-05
lNONHSAG014083,1.4483383876288967e-05
lENSG00000286016,1.4469407616557083e-05
lNONHSAG024695,1.4437082891554788e-05
lNONHSAG015179,1.4409767533401106e-05
lNONHSAG044070,1.4407904832076487e-05
lNONHSAG055437,1.4396034721249471e-05
lNONHSAG019363,1.4351339875868687e-05
lNONHSAG009706,1.435084279139805e-05
lNONHSAG007652,1.4338419246234616e-05
lNONHSAG044346,1.4337211700345705e-05
lNONHSAG052805,1.4310450099396285e-05
lNONHSAG014331,1.4290188263464141e-05
lNONHSAG081583,1.4254799488527032e-05
lNONHSAG031060,1.4230206385321794e-05
lNONHSAG014722,1.4227706398765787e-05
lNONHSAG025555,1.4224142219267445e-05
lNONHSAG099742,1.4181819611644521e-05
lNONHSAG027675,1.416246992817322e-05
lNONHSAG055665,1.4153165659872487e-05
lNONHSAG039707,1.4131940822519128e-05
lNONHSAG044893,1.4110688205043946e-05
lNONHSAG034827,1.4069099885025305e-05
lNONHSAG036555,1.403053926645531e-05
lNONHSAG033657,1.4021420919374293e-05
lNONHSAG010237,1.3983197420568721e-05
lNONHSAG022152,1.397969013472252e-05
lNONHSAG050493,1.3963027118092128e-05
lNONHSAG034613,1.3958759779099498e-05
lNONHSAG011928,1.393661723040665e-05
lNONHSAG073025,1.3924260987897901e-05
