FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.6136363636363636
0.022727272727272728,0.6136363636363636
0.022727272727272728,0.7954545454545454
0.09090909090909091,0.7954545454545454
0.09090909090909091,0.8409090909090909
0.13636363636363635,0.8409090909090909
0.13636363636363635,0.8636363636363636
0.18181818181818182,0.8636363636363636
0.18181818181818182,0.8863636363636364
0.20454545454545456,0.8863636363636364
0.20454545454545456,0.9090909090909091
0.25,0.9090909090909091
0.25,0.9318181818181818
0.3181818181818182,0.9318181818181818
0.3181818181818182,0.9545454545454546
0.3409090909090909,0.9545454545454546
0.3409090909090909,0.9772727272727273
0.36363636363636365,0.9772727272727273
0.36363636363636365,1.0
1.0,1.0
