lncRNA_id,identifier,gene_name,gene_id
lNONMMUG008182,NONMMUG008182,Gm11745,NONMMUG008182
lNONMMUG008183,NONMMUG008183,NONMMUG008183,NONMMUG008183
lNONMMUG008184,NONMMUG008184,NONMMUG008184,NONMMUG008184
lNONMMUG008185,NONMMUG008185,NONMMUG008185,NONMMUG008185
lNONMMUG008187,NONMMUG008187,Gm16045,NONMMUG008187
lNONMMUG008188,NONMMUG008188,NONMMUG008188,NONMMUG008188
lNONMMUG008189,NONMMUG008189,NONMMUG008189,NONMMUG008189
lNONMMUG008194,NONMMUG008194,Gm11732,NONMMUG008194
lNONMMUG008197,NONMMUG008197,NONMMUG008197,NONMMUG008197
lNONMMUG008198,NONMMUG008198,Gm11734,NONMMUG008198
lNONMMUG008199,NONMMUG008199,NONMMUG008199,NONMMUG008199
lNONMMUG008200,NONMMUG008200,NONMMUG008200,NONMMUG008200
lNONMMUG008201,NONMMUG008201,2900041M22Rik,NONMMUG008201
lNONMMUG008202,NONMMUG008202,NONMMUG008202,NONMMUG008202
lNONMMUG008203,NONMMUG008203,NONMMUG008203,NONMMUG008203
lNONMMUG008204,NONMMUG008204,NONMMUG008204,NONMMUG008204
lNONMMUG008205,NONMMUG008205,NONMMUG008205,NONMMUG008205
lNONMMUG008211,NONMMUG008211,NONMMUG008211,NONMMUG008211
lNONMMUG008214,NONMMUG008214,NONMMUG008214,NONMMUG008214
lNONMMUG008216,NONMMUG008216,Gm11725,NONMMUG008216
lNONMMUG008224,NONMMUG008224,Gm11738,NONMMUG008224
lNONMMUG008225,NONMMUG008225,NONMMUG008225,NONMMUG008225
lNONMMUG008226,NONMMUG008226,Gm11737,NONMMUG008226
lNONMMUG008229,NONMMUG008229,NONMMUG008229,NONMMUG008229
lNONMMUG008231,NONMMUG008231,Gm11747,NONMMUG008231
lNONMMUG008232,NONMMUG008232,Gm11748,NONMMUG008232
lNONMMUG008233,NONMMUG008233,NONMMUG008233,NONMMUG008233
lNONMMUG008234,NONMMUG008234,NONMMUG008234,NONMMUG008234
lNONMMUG008235,NONMMUG008235,NONMMUG008235,NONMMUG008235
lNONMMUG008236,NONMMUG008236,Gm11750,NONMMUG008236
lNONMMUG008243,NONMMUG008243,NONMMUG008243,NONMMUG008243
lNONMMUG008244,NONMMUG008244,NONMMUG008244,NONMMUG008244
lNONMMUG008245,NONMMUG008245,AL662835.2,NONMMUG008245
lNONMMUG008247,NONMMUG008247,Gm11755,NONMMUG008247
lNONMMUG008248,NONMMUG008248,NONMMUG008248,NONMMUG008248
lNONMMUG008249,NONMMUG008249,NONMMUG008249,NONMMUG008249
lNONMMUG008250,NONMMUG008250,AL662835.1,NONMMUG008250
lNONMMUG008251,NONMMUG008251,Gm11753,NONMMUG008251
lNONMMUG008252,NONMMUG008252,Gm11752,NONMMUG008252
lNONMMUG008254,NONMMUG008254,NONMMUG008254,NONMMUG008254
lNONMMUG008258,NONMMUG008258,NONMMUG008258,NONMMUG008258
lNONMMUG008259,NONMMUG008259,NONMMUG008259,NONMMUG008259
lNONMMUG008260,NONMMUG008260,NONMMUG008260,NONMMUG008260
lNONMMUG008261,NONMMUG008261,NONMMUG008261,NONMMUG008261
lNONMMUG008263,NONMMUG008263,RPI002_013096,NONMMUG008263
lNONMMUG008264,NONMMUG008264,Gm11762,NONMMUG008264
lNONMMUG008265,NONMMUG008265,NONMMUG008265,NONMMUG008265
lNONMMUG008266,NONMMUG008266,Gm11761,NONMMUG008266
lNONMMUG008267,NONMMUG008267,NONMMUG008267,NONMMUG008267
lNONMMUG008268,NONMMUG008268,A430071A18Rik,NONMMUG008268
lNONMMUG008269,NONMMUG008269,NONMMUG008269,NONMMUG008269
lNONMMUG008270,NONMMUG008270,NONMMUG008270,NONMMUG008270
lNONMMUG008272,NONMMUG008272,Gm11767,NONMMUG008272
lNONMMUG008275,NONMMUG008275,NONMMUG008275,NONMMUG008275
lNONMMUG008281,NONMMUG008281,Slc38a10,NONMMUG008281
lNONMMUG008282,NONMMUG008282,Gm11769,NONMMUG008282
lNONMMUG008283,NONMMUG008283,NONMMUG008283,NONMMUG008283
lNONMMUG008284,NONMMUG008284,RPI002_009331,NONMMUG008284
lNONMMUG008285,NONMMUG008285,2810410L24Rik,NONMMUG008285
lNONMMUG008286,NONMMUG008286,Gm11770,NONMMUG008286
lNONMMUG008287,NONMMUG008287,2900052L18Rik,NONMMUG008287
lNONMMUG008288,NONMMUG008288,Gm11772,NONMMUG008288
lNONMMUG008296,NONMMUG008296,NONMMUG008296,NONMMUG008296
lNONMMUG008300,NONMMUG008300,Ccdc137,NONMMUG008300
lNONMMUG008302,NONMMUG008302,AL669855.1,NONMMUG008302
lNONMMUG008303,NONMMUG008303,Gm11788,NONMMUG008303
lNONMMUG008305,NONMMUG008305,NONMMUG008305,NONMMUG008305
lNONMMUG008306,NONMMUG008306,Gm11789,NONMMUG008306
lNONMMUG008308,NONMMUG008308,NONMMUG008308,NONMMUG008308
lNONMMUG008310,NONMMUG008310,RPI002_008688,NONMMUG008310
lNONMMUG008311,NONMMUG008311,RPI002_010170,NONMMUG008311
lNONMMUG008313,NONMMUG008313,NONMMUG008313,NONMMUG008313
lNONMMUG008320,NONMMUG008320,Mafg,NONMMUG008320
lNONMMUG008321,NONMMUG008321,NONMMUG008321,NONMMUG008321
lNONMMUG008323,NONMMUG008323,AL663030.1,NONMMUG008323
lNONMMUG008324,NONMMUG008324,NONMMUG008324,NONMMUG008324
lNONMMUG008325,NONMMUG008325,NONMMUG008325,NONMMUG008325
lNONMMUG008328,NONMMUG008328,Gm11768,NONMMUG008328
lNONMMUG008329,NONMMUG008329,4732444A12Rik,NONMMUG008329
lNONMMUG008331,NONMMUG008331,Gm17178,NONMMUG008331
lNONMMUG008338,NONMMUG008338,NONMMUG008338,NONMMUG008338
lNONMMUG008340,NONMMUG008340,Gm11773,NONMMUG008340
lNONMMUG008342,NONMMUG008342,NONMMUG008342,NONMMUG008342
lNONMMUG008343,NONMMUG008343,NONMMUG008343,NONMMUG008343
lNONMMUG008347,NONMMUG008347,NONMMUG008347,NONMMUG008347
lNONMMUG008348,NONMMUG008348,NONMMUG008348,NONMMUG008348
lNONMMUG008349,NONMMUG008349,NONMMUG008349,NONMMUG008349
lNONMMUG008357,NONMMUG008357,Gm11790,NONMMUG008357
lNONMMUG008359,NONMMUG008359,NONMMUG008359,NONMMUG008359
lNONMMUG008360,NONMMUG008360,NONMMUG008360,NONMMUG008360
lNONMMUG008361,NONMMUG008361,NONMMUG008361,NONMMUG008361
lNONMMUG008362,NONMMUG008362,Foxk2,NONMMUG008362
lNONMMUG008364,NONMMUG008364,NONMMUG008364,NONMMUG008364
lNONMMUG008365,NONMMUG008365,NONMMUG008365,NONMMUG008365
