lncRNA_id,protein,edge_weight
l1700006D18Rik,AGO1,1
l1700006D18Rik,AGO2,1
l1700006D18Rik,AGO4,1
l1700006D18Rik,FMR1,1
l1700006D18Rik,Ptbp2,1
l1700006D18Rik,RFOX2,1
l1700006D18Rik,SFPQ,1
l1700006D18Rik,TIA1,1
l1700006D18Rik,TYY1,1
l1700006P19Rik,-,1
l1700006P19Rik,AGO1,1
l1700006P19Rik,AGO2,1
l1700006P19Rik,AGO4,1
l1700006P19Rik,DAZL,1
l1700006P19Rik,Elavl1,1
l1700006P19Rik,KPYM,1
l1700006P19Rik,PABP1,1
l1700006P19Rik,Ptbp2,1
l1700006P19Rik,RBM10,1
l1700006P19Rik,RFOX2,1
l1700006P19Rik,SFPQ,1
l1700006P19Rik,TIA1,1
l1700006P19Rik,TTP,1
l1700007K13Rik,Fus,2
l1700007K13Rik,Tdp43,1
l1700007L15Rik,DAZL,1
l1700007L15Rik,PABP1,1
l1700007L15Rik,PSPC1,1
l1700007M16Rik,RFOX2,1
l1700008O03Rik,Fus,2
l1700008O03Rik,Tdp43,1
l1700008O03Rik,Upf1,1
l1700009P17Rik,Fus,1
l1700009P17Rik,Tdp43,1
l1700011J10Rik,KPYM,1
l1700011J10Rik,PABP1,1
l1700011J10Rik,Pou5f1,1
l1700011J10Rik,RBM10,1
l1700011J10Rik,SFPQ,1
l1700011J10Rik,TIA1,1
l1700011J10Rik,TYY1,1
l1700012C08Rik,Ptbp2,1
l1700012G19Rik,Mbnl1,1
l1700013F07Rik,Fus,2
l1700013F07Rik,Tdp43,1
l1700013G23Rik,RFOX2,1
l1700015O11Rik,Pou5f1,1
l1700016G14Rik,Tdp43,1
l1700019B21Rik,DAZL,1
l1700019B21Rik,RFOX2,1
l1700019E08Rik,RFOX2,1
l1700019G24Rik,-,1
l1700019G24Rik,FMRP,1
l1700019G24Rik,Fus,2
l1700019G24Rik,Pou5f1,1
l1700019G24Rik,Tdp43,1
l1700021F05Rik,Celf1,2
l1700021F05Rik,Fus,2
l1700021F05Rik,Mbnl1,1
l1700021F05Rik,Tdp43,1
l1700021F05Rik,Upf1,1
l1700021K19Rik,Upf1,1
l1700021L23Rik,Pou5f1,1
l1700021L23Rik,TYY1,1
l1700022A21Rik,RANBP9,1
l1700022K14Rik,PABP1,1
l1700022K14Rik,Ptbp2,1
l1700022K14Rik,RFOX2,1
l1700022K14Rik,SFPQ,1
l1700022N22Rik,Ptbp2,1
l1700022N22Rik,RFOX2,1
l1700023I07Rik,RFOX2,1
l1700024P03Rik,DAZL,1
l1700024P03Rik,PABP1,1
l1700024P03Rik,Pou5f1,1
l1700024P03Rik,Ptbp2,1
l1700024P03Rik,QKI,1
l1700024P03Rik,RFOX2,1
l1700024P03Rik,SFPQ,1
l1700024P03Rik,TIA1,1
l1700024P03Rik,TYY1,1
l1700025G04Rik,Celf1,2
l1700025G04Rik,FMRP,1
l1700025G04Rik,Fus,2
l1700025G04Rik,Mbnl1,1
l1700025G04Rik,Tdp43,1
l1700025G04Rik,Upf1,1
l1700025O08Rik,RFOX2,1
l1700026J12Rik,DAZL,1
l1700026J12Rik,Pou5f1,1
l1700026J12Rik,Ptbp2,1
l1700026J12Rik,RFOX2,1
l1700026J12Rik,TYY1,1
l1700026J12Rik,VIGLN,1
l1700026J14Rik,Pou5f1,1
l1700027A07Rik,Elavl1,1
l1700027A07Rik,PABP1,1
l1700027A07Rik,RFOX2,1
l1700027A07Rik,TIA1,1
l1700027A07Rik,TTP,2
l1700028E10Rik,DAZL,1
l1700028E10Rik,PABP1,1
l1700028E10Rik,Ptbp2,1
l1700028E10Rik,RFOX2,1
l1700028E10Rik,VIGLN,1
l1700028K03Rik,Fus,2
l1700028K03Rik,Tdp43,1
