lncRNA_id,protein,edge_weight
lENSMUSG00000104251,LIN28B,1
lENSMUSG00000104261,Rnps1,1
lENSMUSG00000104265,Ago2,3
lENSMUSG00000104266,Ago2,1
lENSMUSG00000104274,Igf2bp3,1
lENSMUSG00000104274,LIN28A,1
lENSMUSG00000104274,LIN28B,1
lENSMUSG00000104283,Ago2,4
lENSMUSG00000104283,Dazl,1
lENSMUSG00000104283,Elav1,1
lENSMUSG00000104283,Igf2bp3,1
lENSMUSG00000104283,LIN28A,1
lENSMUSG00000104283,LIN28B,1
lENSMUSG00000104283,Nova,1
lENSMUSG00000104283,PUM2,1
lENSMUSG00000104283,Ythdf1,1
lENSMUSG00000104283,hnRNP H,1
lENSMUSG00000104283,m6A,1
lENSMUSG00000104284,Dazl,1
lENSMUSG00000104284,Elav1,1
lENSMUSG00000104284,FMRP,1
lENSMUSG00000104284,LIN28A,1
lENSMUSG00000104284,LIN28B,1
lENSMUSG00000104295,Dazl,1
lENSMUSG00000104302,Ago2,5
lENSMUSG00000104302,CELF6,1
lENSMUSG00000104302,Dazl,1
lENSMUSG00000104302,Elav1,1
lENSMUSG00000104302,FMRP,1
lENSMUSG00000104302,Igf2bp3,1
lENSMUSG00000104302,LIN28A,1
lENSMUSG00000104302,LIN28B,1
lENSMUSG00000104302,PUM2,1
lENSMUSG00000104302,Pum2,1
lENSMUSG00000104302,SOX2,1
lENSMUSG00000104302,Sfpq,1
lENSMUSG00000104302,Smchd1,1
lENSMUSG00000104302,hnRNP H,1
lENSMUSG00000104302,m6A,1
lENSMUSG00000104309,Ago2,4
lENSMUSG00000104326,Rnps1,1
lENSMUSG00000104328,Ago2,1
lENSMUSG00000104328,Dazl,1
lENSMUSG00000104328,LIN28A,1
lENSMUSG00000104336,Igf2bp3,1
lENSMUSG00000104336,LIN28A,1
lENSMUSG00000104336,LIN28B,1
lENSMUSG00000104337,Ago2,1
lENSMUSG00000104337,LIN28B,1
lENSMUSG00000104340,Dazl,1
lENSMUSG00000104340,LIN28A,1
lENSMUSG00000104341,Dazl,1
lENSMUSG00000104341,FMRP,1
lENSMUSG00000104341,Rnps1,1
lENSMUSG00000104341,Srsf1,1
lENSMUSG00000104349,Ago2,1
lENSMUSG00000104354,Ago2,1
lENSMUSG00000104354,Igf2bp3,1
lENSMUSG00000104361,Dazl,1
lENSMUSG00000104367,Ago2,1
lENSMUSG00000104368,Ago2,2
lENSMUSG00000104375,Igf2bp3,1
lENSMUSG00000104375,LIN28A,1
lENSMUSG00000104375,LIN28B,1
lENSMUSG00000104377,Dazl,1
lENSMUSG00000104377,LIN28A,1
lENSMUSG00000104390,Dazl,1
lENSMUSG00000104399,Ago2,1
lENSMUSG00000104399,Dazl,2
lENSMUSG00000104399,Igf2bp3,1
lENSMUSG00000104399,LIN28A,1
lENSMUSG00000104399,SOX2,1
lENSMUSG00000104401,Dazl,2
lENSMUSG00000104401,Igf2bp3,1
lENSMUSG00000104401,LIN28A,1
lENSMUSG00000104401,LIN28B,1
lENSMUSG00000104401,Spen,1
lENSMUSG00000104401,hnRNPL,1
lENSMUSG00000104411,Igf2bp3,1
lENSMUSG00000104413,Ago2,1
lENSMUSG00000104413,Dazl,2
lENSMUSG00000104413,Igf2bp3,1
lENSMUSG00000104413,LIN28A,1
lENSMUSG00000104413,LIN28B,1
lENSMUSG00000104413,Srsf11,1
lENSMUSG00000104414,Ago2,1
lENSMUSG00000104414,CELF6,1
lENSMUSG00000104414,Nova,1
lENSMUSG00000104417,Ago2,1
lENSMUSG00000104417,Dazl,1
lENSMUSG00000104417,Igf2bp3,1
lENSMUSG00000104417,LIN28A,1
lENSMUSG00000104417,LIN28B,1
lENSMUSG00000104417,Pum2,1
lENSMUSG00000104417,SOX2,1
lENSMUSG00000104434,CSDE1,1
lENSMUSG00000104434,Dazl,1
lENSMUSG00000104434,LIN28A,1
lENSMUSG00000104435,Ago2,6
lENSMUSG00000104435,Dazl,1
lENSMUSG00000104435,Ythdf1,1
lENSMUSG00000104435,m6A,1
lENSMUSG00000104436,Ago2,1
lENSMUSG00000104436,Elav1,1
lENSMUSG00000104441,Dazl,1
lENSMUSG00000104441,LIN28A,1
lENSMUSG00000104441,LIN28B,1
lENSMUSG00000104444,Ago2,1
lENSMUSG00000104444,LIN28A,1
lENSMUSG00000104444,Rnps1,1
lENSMUSG00000104448,Ago2,3
lENSMUSG00000104448,Dazl,1
lENSMUSG00000104448,FMRP,1
lENSMUSG00000104448,Igf2bp3,1
lENSMUSG00000104448,LIN28A,1
lENSMUSG00000104448,LIN28B,1
lENSMUSG00000104448,Rnps1,1
lENSMUSG00000104448,Smchd1,1
lENSMUSG00000104448,Ythdf1,1
lENSMUSG00000104448,m6A,1
lENSMUSG00000104477,Igf2bp3,1
lENSMUSG00000104482,Igf2bp3,1
lENSMUSG00000104482,LIN28B,1
lENSMUSG00000104482,PUM2,1
lENSMUSG00000104487,Igf2bp3,1
lENSMUSG00000104487,LIN28A,1
lENSMUSG00000104489,Igf2bp3,1
lENSMUSG00000104491,Ago2,2
lENSMUSG00000104507,Ago2,1
lENSMUSG00000104507,Ythdf1,1
lENSMUSG00000104507,hnRNP H,1
lENSMUSG00000104507,m6A,1
lENSMUSG00000104509,Ago2,1
lENSMUSG00000104509,Igf2bp3,1
lENSMUSG00000104513,Srsf1,1
lENSMUSG00000104514,Ago2,1
lENSMUSG00000104514,Elav1,1
lENSMUSG00000104514,Rnps1,1
lENSMUSG00000104517,Ago2,1
lENSMUSG00000104520,Ago2,2
lENSMUSG00000104520,Dazl,1
lENSMUSG00000104520,Igf2bp3,1
lENSMUSG00000104520,LIN28A,1
lENSMUSG00000104520,LIN28B,1
lENSMUSG00000104523,Ago2,3
lENSMUSG00000104523,Elav1,1
lENSMUSG00000104523,SOX2,1
lENSMUSG00000104523,m6A,1
lENSMUSG00000104529,LIN28B,1
lENSMUSG00000104529,Ptbp2,1
lENSMUSG00000104531,Ago2,1
lENSMUSG00000104531,Dazl,2
lENSMUSG00000104531,IDH1,1
lENSMUSG00000104531,Igf2bp3,1
lENSMUSG00000104531,LIN28A,1
lENSMUSG00000104531,LIN28B,1
lENSMUSG00000104531,PUM2,1
lENSMUSG00000104531,Pum2,1
lENSMUSG00000104534,Ago2,1
lENSMUSG00000104534,LIN28A,1
lENSMUSG00000104538,Ago2,1
lENSMUSG00000104538,Dazl,1
lENSMUSG00000104538,Igf2bp3,1
lENSMUSG00000104538,LIN28B,1
lENSMUSG00000104539,Rnps1,1
lENSMUSG00000104543,Ago2,3
lENSMUSG00000104543,Dazl,3
lENSMUSG00000104543,Igf2bp3,1
lENSMUSG00000104543,LIN28A,1
lENSMUSG00000104543,LIN28B,1
lENSMUSG00000104543,Pum2,1
lENSMUSG00000104543,SOX2,1
lENSMUSG00000104543,Smchd1,1
lENSMUSG00000104544,Ago2,1
lENSMUSG00000104544,Dazl,1
lENSMUSG00000104544,Igf2bp3,1
lENSMUSG00000104544,LIN28A,1
lENSMUSG00000104544,LIN28B,1
lENSMUSG00000104553,FMRP,1
lENSMUSG00000104553,Igf2bp3,1
lENSMUSG00000104553,LIN28A,1
lENSMUSG00000104553,Pum2,1
lENSMUSG00000104554,Ago2,1
lENSMUSG00000104554,Dazl,2
lENSMUSG00000104554,LIN28A,1
lENSMUSG00000104554,LIN28B,1
lENSMUSG00000104555,Ago2,1
lENSMUSG00000104555,FMRP,1
lENSMUSG00000104559,Ago2,2
lENSMUSG00000104559,Elav1,2
lENSMUSG00000104559,Ythdf1,1
lENSMUSG00000104559,m6A,1
lENSMUSG00000104560,Igf2bp3,1
lENSMUSG00000104572,Ago2,2
lENSMUSG00000104572,Dazl,1
lENSMUSG00000104572,Igf2bp3,1
lENSMUSG00000104572,LIN28A,1
lENSMUSG00000104574,Ago2,5
lENSMUSG00000104574,Dazl,1
lENSMUSG00000104574,Igf2bp3,1
lENSMUSG00000104574,LIN28A,1
lENSMUSG00000104574,LIN28B,1
lENSMUSG00000104574,Pum2,1
lENSMUSG00000104574,Sfpq,1
lENSMUSG00000104574,Srsf1,1
lENSMUSG00000104575,LIN28A,1
lENSMUSG00000104575,LIN28B,1
lENSMUSG00000104577,LIN28A,1
lENSMUSG00000104577,LIN28B,1
lENSMUSG00000104580,Ago2,4
lENSMUSG00000104580,Dazl,1
lENSMUSG00000104580,Igf2bp3,1
lENSMUSG00000104583,Ago2,1
lENSMUSG00000104585,Ago2,7
lENSMUSG00000104585,Dazl,1
lENSMUSG00000104585,Elav1,1
lENSMUSG00000104585,Igf2bp3,1
lENSMUSG00000104585,LIN28A,1
lENSMUSG00000104585,LIN28B,1
lENSMUSG00000104585,PUM2,1
lENSMUSG00000104585,Pum2,1
lENSMUSG00000104585,Smchd1,1
lENSMUSG00000104585,hnRNP H,1
lENSMUSG00000104586,Dazl,1
lENSMUSG00000104586,Elav1,1
lENSMUSG00000104586,Igf2bp3,1
lENSMUSG00000104586,LIN28A,1
lENSMUSG00000104586,LIN28B,1
lENSMUSG00000104586,Trim71,1
lENSMUSG00000104588,Ago2,2
lENSMUSG00000104588,CELF6,1
lENSMUSG00000104588,Dazl,2
lENSMUSG00000104588,Igf2bp3,1
lENSMUSG00000104588,LIN28A,1
lENSMUSG00000104588,LIN28B,1
lENSMUSG00000104588,Nova,1
lENSMUSG00000104588,Pum2,1
lENSMUSG00000104588,Rnps1,1
lENSMUSG00000104588,SOX2,1
lENSMUSG00000104588,Sfpq,1
lENSMUSG00000104588,Smchd1,1
lENSMUSG00000104588,Srsf1,1
lENSMUSG00000104588,Srsf11,1
lENSMUSG00000104588,hnRNPL,1
lENSMUSG00000104597,Ago2,7
lENSMUSG00000104597,Elav1,1
lENSMUSG00000104597,Igf2bp3,1
lENSMUSG00000104597,LIN28A,1
lENSMUSG00000104597,LIN28B,1
lENSMUSG00000104597,PUM2,1
lENSMUSG00000104597,m6A,1
lENSMUSG00000104600,LIN28A,1
lENSMUSG00000104600,hnRNP H,1
lENSMUSG00000104601,Dazl,1
lENSMUSG00000104602,Dazl,1
lENSMUSG00000104607,Dazl,1
lENSMUSG00000104607,LIN28B,1
lENSMUSG00000104609,Ago2,1
lENSMUSG00000104610,Dazl,1
lENSMUSG00000104610,Igf2bp3,1
lENSMUSG00000104610,LIN28A,1
lENSMUSG00000104610,LIN28B,1
lENSMUSG00000104614,Dazl,2
lENSMUSG00000104614,FMRP,1
lENSMUSG00000104614,Igf2bp3,1
lENSMUSG00000104614,LIN28A,1
lENSMUSG00000104614,LIN28B,1
lENSMUSG00000104614,Pum2,1
lENSMUSG00000104614,SOX2,1
lENSMUSG00000104614,Srsf1,1
lENSMUSG00000104623,Ago2,1
lENSMUSG00000104624,LIN28A,1
lENSMUSG00000104624,LIN28B,1
lENSMUSG00000104631,Ago2,1
lENSMUSG00000104637,Srsf1,1
lENSMUSG00000104638,Ago2,1
lENSMUSG00000104638,Dazl,1
lENSMUSG00000104638,Igf2bp3,1
lENSMUSG00000104638,LIN28A,1
lENSMUSG00000104638,LIN28B,1
lENSMUSG00000104639,Ago2,2
lENSMUSG00000104639,CELF6,1
lENSMUSG00000104639,Dazl,1
lENSMUSG00000104639,Igf2bp3,1
lENSMUSG00000104639,LIN28A,1
lENSMUSG00000104639,LIN28B,1
lENSMUSG00000104639,YTHDC2,1
lENSMUSG00000104640,Ago2,1
lENSMUSG00000104642,Ago2,1
lENSMUSG00000104642,Igf2bp3,1
lENSMUSG00000104642,LIN28B,1
lENSMUSG00000104645,Ago2,1
lENSMUSG00000104645,LIN28A,1
lENSMUSG00000104646,Ago2,1
lENSMUSG00000104649,Ago2,2
lENSMUSG00000104649,Dazl,1
lENSMUSG00000104653,Ago2,3
lENSMUSG00000104653,Igf2bp3,1
lENSMUSG00000104653,LIN28A,1
lENSMUSG00000104653,LIN28B,1
lENSMUSG00000104659,FMRP,1
lENSMUSG00000104663,Pum2,1
lENSMUSG00000104667,Ago2,1
lENSMUSG00000104667,CELF6,1
lENSMUSG00000104667,DAZL,1
lENSMUSG00000104667,Dazl,3
lENSMUSG00000104667,Igf2bp3,1
lENSMUSG00000104667,LIN28A,2
lENSMUSG00000104667,LIN28B,1
lENSMUSG00000104667,Sfpq,1
lENSMUSG00000104668,Dazl,1
lENSMUSG00000104669,Ago2,1
lENSMUSG00000104669,Dazl,2
lENSMUSG00000104669,Igf2bp3,1
lENSMUSG00000104669,LIN28B,1
lENSMUSG00000104670,Ago2,1
lENSMUSG00000104671,Ago2,2
lENSMUSG00000104674,Ago2,1
lENSMUSG00000104674,Dazl,1
lENSMUSG00000104674,Igf2bp3,1
lENSMUSG00000104674,LIN28A,1
lENSMUSG00000104674,LIN28B,1
lENSMUSG00000104675,Dazl,1
lENSMUSG00000104677,Ago2,5
lENSMUSG00000104677,CELF6,1
lENSMUSG00000104677,Dazl,2
lENSMUSG00000104677,Elav1,1
lENSMUSG00000104677,Igf2bp3,1
lENSMUSG00000104677,LIN28A,1
lENSMUSG00000104677,LIN28B,1
lENSMUSG00000104677,Sfpq,1
lENSMUSG00000104677,Ythdf1,1
lENSMUSG00000104678,YTHDC2,1
lENSMUSG00000104680,LIN28B,1
lENSMUSG00000104680,Srsf1,1
lENSMUSG00000104681,Ago2,1
lENSMUSG00000104684,Ago2,1
lENSMUSG00000104684,CELF6,1
lENSMUSG00000104685,Dazl,1
lENSMUSG00000104688,Igf2bp3,1
lENSMUSG00000104691,PUM2,1
lENSMUSG00000104693,Ago2,1
lENSMUSG00000104693,Elav1,1
lENSMUSG00000104693,LIN28B,1
lENSMUSG00000104699,Ago2,1
lENSMUSG00000104699,CSDE1,1
lENSMUSG00000104699,Igf2bp3,1
lENSMUSG00000104699,LIN28A,2
lENSMUSG00000104699,LIN28B,1
lENSMUSG00000104710,Ago2,5
lENSMUSG00000104710,Dazl,3
lENSMUSG00000104710,Igf2bp3,1
lENSMUSG00000104710,LIN28A,1
lENSMUSG00000104710,LIN28B,1
lENSMUSG00000104710,PUM2,1
lENSMUSG00000104710,Pum2,1
lENSMUSG00000104710,SOX2,1
lENSMUSG00000104710,Smchd1,1
lENSMUSG00000104710,Trim71,1
lENSMUSG00000104716,LIN28A,1
lENSMUSG00000104717,Ago2,1
lENSMUSG00000104717,Dazl,1
lENSMUSG00000104717,Igf2bp3,1
lENSMUSG00000104717,LIN28A,1
lENSMUSG00000104717,LIN28B,1
lENSMUSG00000104717,Pum2,1
lENSMUSG00000104717,Trim71,1
lENSMUSG00000104718,Ago2,1
lENSMUSG00000104718,LIN28B,1
lENSMUSG00000104718,Smchd1,1
lENSMUSG00000104720,Ago2,1
lENSMUSG00000104720,Dazl,1
lENSMUSG00000104720,Igf2bp3,1
lENSMUSG00000104720,LIN28A,1
lENSMUSG00000104723,Ago2,2
lENSMUSG00000104723,LIN28A,1
lENSMUSG00000104727,SOX2,1
lENSMUSG00000104731,LIN28A,1
lENSMUSG00000104732,LIN28B,1
lENSMUSG00000104732,Pum2,1
lENSMUSG00000104736,Ago2,1
lENSMUSG00000104736,LIN28B,1
lENSMUSG00000104737,Dazl,1
lENSMUSG00000104739,LIN28A,1
lENSMUSG00000104739,LIN28B,1
lENSMUSG00000104744,Ago2,1
lENSMUSG00000104756,Dazl,1
lENSMUSG00000104763,Ago2,2
lENSMUSG00000104763,Dazl,1
lENSMUSG00000104763,Igf2bp3,1
lENSMUSG00000104763,LIN28A,1
lENSMUSG00000104763,LIN28B,1
lENSMUSG00000104763,PUM2,1
lENSMUSG00000104763,Pum2,1
lENSMUSG00000104766,Ago2,3
lENSMUSG00000104766,CELF6,1
lENSMUSG00000104766,Dazl,2
lENSMUSG00000104766,Igf2bp3,1
lENSMUSG00000104766,LIN28A,1
lENSMUSG00000104766,LIN28B,1
lENSMUSG00000104766,PTBP3,1
lENSMUSG00000104766,Pum2,1
lENSMUSG00000104766,Sfpq,1
lENSMUSG00000104766,hnRNP H,1
lENSMUSG00000104768,Ago2,1
lENSMUSG00000104768,Dazl,1
lENSMUSG00000104768,Igf2bp3,1
lENSMUSG00000104776,Ago2,3
lENSMUSG00000104776,Dazl,2
lENSMUSG00000104776,FMRP,1
lENSMUSG00000104776,Igf2bp3,1
lENSMUSG00000104776,LIN28A,2
lENSMUSG00000104776,LIN28B,1
lENSMUSG00000104776,Pum2,1
lENSMUSG00000104776,hnRNP H,1
lENSMUSG00000104777,Ago2,1
lENSMUSG00000104777,Smchd1,1
lENSMUSG00000104784,Ago2,6
lENSMUSG00000104784,Elav1,1
lENSMUSG00000104784,Igf2bp3,1
lENSMUSG00000104784,LIN28A,1
lENSMUSG00000104784,LIN28B,1
lENSMUSG00000104784,Srsf1,1
lENSMUSG00000104784,m6A,1
lENSMUSG00000104785,Ago2,2
lENSMUSG00000104785,CSDE1,1
lENSMUSG00000104785,Dazl,2
lENSMUSG00000104785,Igf2bp3,1
lENSMUSG00000104785,LIN28A,1
lENSMUSG00000104785,LIN28B,1
lENSMUSG00000104785,PUM2,1
lENSMUSG00000104785,Pum2,1
lENSMUSG00000104785,SOX2,1
lENSMUSG00000104785,YTHDC2,1
lENSMUSG00000104786,Ago2,3
lENSMUSG00000104786,Dazl,1
lENSMUSG00000104786,Igf2bp3,1
lENSMUSG00000104786,LIN28A,1
lENSMUSG00000104786,LIN28B,1
lENSMUSG00000104786,m6A,1
lENSMUSG00000104787,Ago2,1
lENSMUSG00000104790,Dazl,1
lENSMUSG00000104791,Ago2,2
lENSMUSG00000104791,CSDE1,1
lENSMUSG00000104791,Igf2bp3,1
lENSMUSG00000104791,LIN28A,1
lENSMUSG00000104791,LIN28B,1
lENSMUSG00000104791,PUM2,1
lENSMUSG00000104791,Pum2,1
lENSMUSG00000104798,Ago2,1
lENSMUSG00000104798,Igf2bp3,1
lENSMUSG00000104799,Ago2,1
lENSMUSG00000104799,Dazl,1
lENSMUSG00000104799,LIN28A,1
lENSMUSG00000104799,LIN28B,1
lENSMUSG00000104799,Pum2,1
lENSMUSG00000104800,Dazl,2
lENSMUSG00000104800,Igf2bp3,1
lENSMUSG00000104800,LIN28A,1
lENSMUSG00000104800,LIN28B,1
lENSMUSG00000104800,Pum2,1
lENSMUSG00000104802,DDX18,1
lENSMUSG00000104805,Dazl,1
lENSMUSG00000104805,Igf2bp3,1
lENSMUSG00000104805,LIN28A,1
lENSMUSG00000104805,LIN28B,1
lENSMUSG00000104807,Ago2,1
lENSMUSG00000104807,Igf2bp3,1
lENSMUSG00000104807,LIN28B,1
lENSMUSG00000104811,Dazl,1
lENSMUSG00000104811,Pum2,1
lENSMUSG00000104818,Ago2,1
lENSMUSG00000104818,CELF6,1
lENSMUSG00000104818,Dazl,2
lENSMUSG00000104818,Igf2bp3,1
lENSMUSG00000104818,LIN28A,1
lENSMUSG00000104818,LIN28B,1
lENSMUSG00000104818,hnRNPL,1
lENSMUSG00000104819,Ago2,1
lENSMUSG00000104825,Dazl,1
lENSMUSG00000104825,LIN28A,1
lENSMUSG00000104825,LIN28B,1
lENSMUSG00000104826,Igf2bp3,1
lENSMUSG00000104826,LIN28A,1
lENSMUSG00000104826,LIN28B,1
lENSMUSG00000104829,Dazl,1
lENSMUSG00000104829,LIN28A,1
lENSMUSG00000104829,LIN28B,1
lENSMUSG00000104830,Sfpq,1
lENSMUSG00000104834,Dazl,1
lENSMUSG00000104835,Ago2,1
lENSMUSG00000104843,Dazl,1
lENSMUSG00000104845,Igf2bp3,1
lENSMUSG00000104845,LIN28A,1
lENSMUSG00000104850,Ago2,2
lENSMUSG00000104850,Dazl,1
lENSMUSG00000104850,SOX2,1
lENSMUSG00000104855,Rnps1,1
lENSMUSG00000104864,Ago2,3
lENSMUSG00000104865,Ago2,1
lENSMUSG00000104865,Igf2bp3,1
lENSMUSG00000104866,AID,1
lENSMUSG00000104866,Ago2,3
lENSMUSG00000104866,CSDE1,1
lENSMUSG00000104866,Dazl,2
lENSMUSG00000104866,Igf2bp3,1
lENSMUSG00000104866,LIN28A,1
lENSMUSG00000104866,LIN28B,1
lENSMUSG00000104866,NPM1,1
lENSMUSG00000104866,Rnps1,1
lENSMUSG00000104866,Sfpq,1
lENSMUSG00000104866,Srsf1,1
lENSMUSG00000104866,Srsf11,1
lENSMUSG00000104866,Trim71,1
lENSMUSG00000104866,hnRNPL,1
lENSMUSG00000104867,Ago2,1
lENSMUSG00000104867,Igf2bp3,1
lENSMUSG00000104867,LIN28A,1
lENSMUSG00000104867,LIN28B,1
lENSMUSG00000104867,Pum2,1
lENSMUSG00000104870,Igf2bp3,1
lENSMUSG00000104870,LIN28B,1
lENSMUSG00000104872,Ago2,1
lENSMUSG00000104872,Dazl,1
lENSMUSG00000104882,Ago2,1
lENSMUSG00000104886,Ago2,2
lENSMUSG00000104886,Igf2bp3,1
lENSMUSG00000104887,Ago2,3
lENSMUSG00000104887,CSDE1,1
lENSMUSG00000104887,Dazl,2
lENSMUSG00000104887,EZH2,1
lENSMUSG00000104887,IDH1,1
lENSMUSG00000104887,Igf2bp3,1
lENSMUSG00000104887,LIN28A,1
lENSMUSG00000104887,LIN28B,1
lENSMUSG00000104887,Pum2,1
lENSMUSG00000104887,SOX2,1
lENSMUSG00000104887,hnRNP H,1
lENSMUSG00000104887,hnRNPL,1
lENSMUSG00000104887,m6A,1
lENSMUSG00000104891,Ago2,2
lENSMUSG00000104891,LIN28A,1
lENSMUSG00000104892,Ago2,1
lENSMUSG00000104894,Ago2,4
lENSMUSG00000104894,Igf2bp3,1
lENSMUSG00000104894,LIN28A,1
lENSMUSG00000104894,LIN28B,1
lENSMUSG00000104898,Dazl,1
lENSMUSG00000104900,Ago2,1
lENSMUSG00000104900,Elav1,1
lENSMUSG00000104900,LIN28A,1
lENSMUSG00000104903,Ago2,1
lENSMUSG00000104903,LIN28A,1
lENSMUSG00000104908,Ago2,1
lENSMUSG00000104908,Dazl,1
lENSMUSG00000104908,LIN28A,1
lENSMUSG00000104909,Ago2,1
lENSMUSG00000104909,Dazl,2
lENSMUSG00000104909,Igf2bp3,1
lENSMUSG00000104909,LIN28A,1
lENSMUSG00000104909,LIN28B,1
lENSMUSG00000104909,Rnps1,1
lENSMUSG00000104909,Srrm4,1
lENSMUSG00000104909,Srsf1,1
lENSMUSG00000104910,Ago2,2
lENSMUSG00000104920,Igf2bp3,1
lENSMUSG00000104920,LIN28B,1
lENSMUSG00000104923,Ago2,2
lENSMUSG00000104923,Dazl,1
lENSMUSG00000104925,Ago2,3
lENSMUSG00000104925,Elav1,1
lENSMUSG00000104925,Igf2bp3,1
lENSMUSG00000104928,Dazl,1
lENSMUSG00000104928,Igf2bp3,1
lENSMUSG00000104928,LIN28A,1
lENSMUSG00000104928,LIN28B,1
lENSMUSG00000104932,Ago2,2
lENSMUSG00000104932,CELF6,1
lENSMUSG00000104932,Dazl,3
lENSMUSG00000104932,Igf2bp3,1
lENSMUSG00000104932,LIN28A,1
lENSMUSG00000104932,LIN28B,1
lENSMUSG00000104932,Nova,1
lENSMUSG00000104932,Srsf1,1
lENSMUSG00000104932,YTHDC2,1
lENSMUSG00000104934,Igf2bp3,1
lENSMUSG00000104937,Dazl,2
lENSMUSG00000104937,Igf2bp3,1
lENSMUSG00000104939,Dazl,1
lENSMUSG00000104939,LIN28A,1
lENSMUSG00000104939,LIN28B,1
lENSMUSG00000104941,Igf2bp3,1
lENSMUSG00000104941,LIN28A,1
lENSMUSG00000104941,LIN28B,1
lENSMUSG00000104941,Pum2,1
lENSMUSG00000104945,Ago2,2
lENSMUSG00000104945,Dazl,1
lENSMUSG00000104945,Igf2bp3,1
lENSMUSG00000104945,LIN28A,1
lENSMUSG00000104945,LIN28B,1
lENSMUSG00000104946,Ago2,1
lENSMUSG00000104946,Igf2bp3,1
lENSMUSG00000104946,LIN28B,1
lENSMUSG00000104950,Ago2,2
lENSMUSG00000104950,Dazl,1
lENSMUSG00000104950,Igf2bp3,1
lENSMUSG00000104950,LIN28A,1
lENSMUSG00000104950,LIN28B,1
lENSMUSG00000104956,Ago2,1
lENSMUSG00000104956,Dazl,3
lENSMUSG00000104956,Igf2bp3,1
lENSMUSG00000104956,LIN28A,1
lENSMUSG00000104956,LIN28B,1
lENSMUSG00000104956,Pum2,1
lENSMUSG00000104956,Srsf1,1
lENSMUSG00000104956,YTHDC2,1
lENSMUSG00000104960,Ago2,4
lENSMUSG00000104960,Elav1,2
lENSMUSG00000104968,Ago2,3
lENSMUSG00000104969,Ago2,1
lENSMUSG00000104969,Dazl,1
lENSMUSG00000104970,Ago2,1
lENSMUSG00000104973,Ago2,1
lENSMUSG00000104980,Ago2,1
lENSMUSG00000104982,Dazl,1
lENSMUSG00000104985,Ago2,3
lENSMUSG00000104985,CELF6,1
lENSMUSG00000104985,Elav1,1
lENSMUSG00000104985,Igf2bp3,1
lENSMUSG00000104985,LIN28A,1
lENSMUSG00000104985,LIN28B,1
lENSMUSG00000104985,Nova,1
lENSMUSG00000104985,PUM2,1
lENSMUSG00000104985,QK-6,1
lENSMUSG00000104985,YTHDC2,1
lENSMUSG00000104985,hnRNP H,1
lENSMUSG00000104987,Ago2,3
lENSMUSG00000104987,Elav1,1
lENSMUSG00000104987,Igf2bp3,1
lENSMUSG00000104987,LIN28A,1
lENSMUSG00000104987,PUM2,1
lENSMUSG00000105003,Dazl,1
lENSMUSG00000105003,LIN28A,1
lENSMUSG00000105003,LIN28B,1
lENSMUSG00000105005,Ago2,1
lENSMUSG00000105006,Ago2,1
lENSMUSG00000105007,LIN28A,1
lENSMUSG00000105007,LIN28B,1
lENSMUSG00000105012,Ago2,1
lENSMUSG00000105012,Dazl,1
lENSMUSG00000105012,Igf2bp3,1
lENSMUSG00000105012,LIN28A,1
lENSMUSG00000105012,LIN28B,1
lENSMUSG00000105012,Sfpq,1
lENSMUSG00000105012,TET2,1
lENSMUSG00000105013,LIN28A,1
lENSMUSG00000105015,Igf2bp3,1
lENSMUSG00000105020,Ago2,4
lENSMUSG00000105020,Dazl,3
lENSMUSG00000105020,FMRP,1
lENSMUSG00000105020,Igf2bp3,1
lENSMUSG00000105020,LIN28A,2
lENSMUSG00000105020,LIN28B,1
lENSMUSG00000105020,Nova,1
lENSMUSG00000105020,PUM2,1
lENSMUSG00000105020,Pum2,1
lENSMUSG00000105020,Rnps1,1
lENSMUSG00000105020,TET2,1
lENSMUSG00000105023,Ago2,2
lENSMUSG00000105023,LIN28A,1
lENSMUSG00000105024,Dazl,1
lENSMUSG00000105026,LIN28B,1
lENSMUSG00000105031,Dazl,1
lENSMUSG00000105034,Ago2,1
lENSMUSG00000105034,Igf2bp3,1
lENSMUSG00000105034,LIN28A,1
lENSMUSG00000105034,LIN28B,1
lENSMUSG00000105034,Srsf1,1
lENSMUSG00000105035,Igf2bp3,1
lENSMUSG00000105035,LIN28A,1
lENSMUSG00000105035,LIN28B,1
lENSMUSG00000105039,Ago2,1
lENSMUSG00000105039,Dazl,2
lENSMUSG00000105039,Igf2bp3,1
lENSMUSG00000105039,LIN28A,1
lENSMUSG00000105039,LIN28B,1
lENSMUSG00000105039,Srsf1,1
lENSMUSG00000105047,Ago2,1
lENSMUSG00000105054,YTHDC2,1
lENSMUSG00000105055,Ago2,2
lENSMUSG00000105055,Elav1,1
lENSMUSG00000105055,LIN28A,1
lENSMUSG00000105057,Ago2,2
lENSMUSG00000105057,Dazl,2
lENSMUSG00000105057,IDH1,1
lENSMUSG00000105057,LIN28A,1
lENSMUSG00000105057,LIN28B,1
lENSMUSG00000105057,hnRNP H,1
lENSMUSG00000105068,Ago2,3
lENSMUSG00000105068,Dazl,1
lENSMUSG00000105068,Elav1,1
lENSMUSG00000105068,FMRP,1
lENSMUSG00000105068,Igf2bp3,1
lENSMUSG00000105068,LIN28A,1
lENSMUSG00000105068,LIN28B,1
lENSMUSG00000105068,PUM2,1
lENSMUSG00000105068,Pum2,1
