tissue,total_essential_with_score,retained_top50pct,percent_retained,BC_threshold_80th_percentile
heart,9205,4660,50.624660510592065,8.080862268495756e-07
lung,10468,5301,50.640045854031335,5.660200859984686e-07
brain,10397,5201,50.02404539771088,4.755685141995602e-07
