raw,std
BMSCs,BMSC
CD4+ T cells,CD4+ T
G9a−/−,G9a-/-
GC1-spg cells,GC-1 spg
HG-SV40 MES13,HG-SV40 MES13
HL-1,HL-1
HeLa,HeLa
Hepa1-6,Hepa1-6
Hippocampal tissue,Hippocampus
Mouse Embryonic Fibroblasts,MEF
N2A cells,Neuro-2a
N2a,Neuro-2a
Neuro2a,Neuro-2a
N2a,Neuro-2a
Testes,testis
embryonic stem cells,mESC
Mouse Embryonic Stem Cells,mESC
mESCs,mESC
mouse brain,brain
mouse embryonic stem cells,mESC
mouse testes,testis
testes,testis
