lncRNA_id,Score
lNONHSAG005672,0.9750933828106154
lNONHSAG005669,0.974400384445501
lENSG00000280011,0.9721604606164724
lNONHSAG005661,0.9694501066492962
lNONHSAG000647,0.9616352686222679
lNONHSAG019489,0.929537249741145
lNONHSAG033547,0.8950657010850007
lNONHSAG005868,0.8948832935440951
lNONHSAG005660,0.8948786296823537
lNONHSAG020037,0.8923408720786163
lNONHSAG028270,0.8876021364510815
lENSG00000289049,0.8858393824386787
lNONHSAG021207,0.8711362900375698
lNONHSAG018135,0.8679142962307321
lNONHSAG003893,0.8667671432747285
lNONHSAG019744,0.8661080312139129
lNONHSAG005668,0.8643798126015239
lNONHSAG021162,0.8619930907762565
lNONHSAG006432,0.8525990099742264
lNONHSAG006856,0.8517028345959146
lNONHSAG007981,0.8463997462576056
lNONHSAG002310,0.8364487224018954
lNONHSAG018554,0.8324195292985209
lNONHSAG029334,0.8221089985043659
lENSG00000289388,0.8220880181044619
lNONHSAG020711,0.820903471211193
lNONHSAG007363,0.8127864937623586
lNONHSAG002234,0.81111100746349
lNONHSAG005659,0.802723897130205
lNONHSAG022201,0.8027112179575793
lENSG00000288827,0.8012453803505666
lNONHSAG021176,0.7932969535377637
lNONHSAG019059,0.7907554272851305
lNONHSAG020223,0.7878535823154897
lNONHSAG020731,0.78758885433197
lNONHSAG002325,0.782651061628361
lNONHSAG028019,0.7823946235498457
lNONHSAG021013,0.7786211175084926
lNONHSAG021662,0.7783414092409331
lNONHSAG006535,0.7748346684697586
lENSG00000288012,0.7742343607088287
lNONHSAG007330,0.7736323607083548
lNONHSAG029675,0.7735799388998064
lENSG00000289307,0.769410011217321
lNONHSAG027640,0.7678063341760941
lNONHSAG018220,0.7607645607233664
lNONHSAG020263,0.7575960925646349
lNONHSAG003610,0.7568873848347787
lNONHSAG029351,0.7544910125105457
lNONHSAG022348,0.753240686229103
lNONHSAG020237,0.752984318666336
lNONHSAG022400,0.7519276515768334
lENSG00000288662,0.7498973887369997
lNONHSAG005903,0.7498899938767122
lNONHSAG005662,0.7439282624307388
lNONHSAG020736,0.7424749516275064
lENSG00000288877,0.741372826595533
lNONHSAG007236,0.7395392944418456
lNONHSAG007219,0.7373902474984442
lNONHSAG004528,0.7366011830932385
lNONHSAG029655,0.736236269487322
lNONHSAG006136,0.7338866216071227
lNONHSAG007411,0.731154167472009
lNONHSAG022639,0.730608447237872
lNONHSAG001168,0.7297986526195813
lENSG00000289590,0.7274812548334616
lNONHSAG020358,0.7243565910000062
lNONHSAG029272,0.7243189585858193
lENSG00000289438,0.7213836771289335
lNONHSAG000714,0.7201522434947724
lNONHSAG029471,0.7179992734454419
lNONHSAG000399,0.7166189879298943
lNONHSAG030095,0.7112600577507192
lNONHSAG020655,0.7103978443985315
lNONHSAG001862,0.7096926218688261
lNONHSAG020411,0.7061931840117406
lNONHSAG030000,0.7039316027334487
lNONHSAG004300,0.7024031028055422
lNONHSAG000500,0.699638757582488
lNONHSAG007759,0.6963302384075971
lENSG00000289614,0.6961080992986427
lNONHSAG006566,0.694702549652456
