lncRNA_id,Score,Pre_Label
lNONHSAG008670,0.99974858072762,1
lNONHSAG008675,1.2106063652534167,1
lNONHSAG003504,1.5369423775767745,1
lNONHSAG008552,1.1502986172353085,1
lNONHSAG000835,0.9640690825452535,1
lNONHSAG052119,0.9663062485350117,1
lNONHSAG031696,0.7125411565335747,1
lNONHSAG073025,0.8237327300022826,1
lNONHSAG036783,0.9841544816881352,1
lNONHSAG044283,0.9730323610104216,1
lNONHSAG031749,0.9689028131994638,1
lNONHSAG013515,1.2700406287736778,1
lNONHSAG000840,0.9555999176455369,1
lNONHSAG028093,1.0366114426223447,1
lNONHSAG053806,1.3636514644429978,1
lNONHSAG054780,1.442283892511783,1
lNONHSAG050423,1.2092950791654449,1
lNONHSAG043403,0.3460530310746729,1
lNONHSAG034006,0.7961477048976228,1
lNONHSAG016639,1.1574897924932515,1
lNONHSAG048464,1.000035041097759,1
lNONHSAG031102,1.0308299395435339,1
lNONHSAG034508,0.9620662812232451,1
lNONHSAG037936,1.4508591799413177,1
lNONHSAG023844,1.1989437626950181,1
lNONHSAG103817,1.000330752653909,1
lNONHSAG097344,1.5472499628050955,1
lNONHSAG055008,1.1362530421275183,1
lNONHSAG022078,0.7953279069315621,1
lNONHSAG015798,1.1050095138798595,1
lNONHSAG010200,1.188280248892228,1
lNONHSAG020759,1.29766543885043,1
lNONHSAG017952,0.6190565220777363,1
lNONHSAG034935,0.9908865971630479,1
lNONHSAG038728,0.9831614839258599,1
lNONHSAG055499,1.0083280602865674,1
lNONHSAG002530,0.8985061605325512,1
lNONHSAG000498,1.2112618128122277,1
lNONHSAG002378,0.9774686758903758,1
lNONHSAG022845,1.1123362377844956,1
lNONHSAG022327,1.2191817588156888,1
lNONHSAG015097,1.060578092620379,1
lNONHSAG056025,1.2841438815624038,1
lNONHSAG017913,0.871524457319968,1
lNONHSAG009372,1.085581097914611,1
lNONHSAG081583,0.8913295270709246,1
lNONHSAG068402,0.541799763110601,1
lNONHSAG013413,1.0475516852012348,1
lNONHSAG001812,0.5848881565029717,1
lPVT1,0.7648544780492629,1
lNONHSAG007431,1.0581775972502583,1
lNONHSAG031557,0.6964438785932646,1
lNONHSAG054635,0.8843419418000878,1
lNONHSAG025906,1.0054148027021226,1
lNONHSAG021882,0.8411228878980112,1
lNONHSAG031790,0.8872106167570014,1
lNONHSAG033480,0.8537870943911862,1
lNONHSAG020957,1.4206519788752434,1
lNONHSAG033611,1.0003415155374227,1
lNONHSAG033691,1.4350587477026444,1
lNONHSAG021309,1.0385231935990995,1
lNONHSAG040958,1.094448564373125,1
lNONHSAG085327,1.0036994681335996,1
lNONHSAG037320,1.1432408332288486,1
lNONHSAG023185,1.0961555040563398,1
lNONHSAG002086,1.1933117264667792,1
lNONHSAG041241,1.1206730038293338,1
lNONHSAG054779,1.0081010810779762,1
lNONHSAG029956,0.9567198513964869,1
lNONHSAG011286,1.4559232289890773,1
lNONHSAG015674,1.3869092551754814,1
lNONHSAG034063,1.6633312441012738,1
lNONHSAG000670,1.4169436433610283,1
lNONHSAG038927,0.8912705985459529,1
lNONHSAG055315,1.146704494230367,1
lNONHSAG020671,0.9888368144928429,1
lNONHSAG012555,1.2714059433190603,1
lNONHSAG044666,1.2399257396991192,1
lNONHSAG022510,1.1359711938424306,1
lNONHSAG061429,0.8228652133753026,1
lNONHSAG103259,1.0558036115883422,1
lNONHSAG014362,1.6337663296839202,1
lNONHSAG027432,0.849299756944509,1
lNONHSAG073380,0.7323700078303695,1
lNONHSAG006198,0.9025757593499838,1
lNONHSAG034873,1.3604124893938234,1
lNONHSAG088395,0.7521750870896621,1
lNONHSAG007646,1.31287759393342,1
lNONHSAG055329,1.1212391783955344,1
lNONHSAG076451,1.2871417725198024,1
lNONHSAG036615,1.5116827510567616,1
lNONHSAG031079,1.1528573748095998,1
lNONHSAG022655,1.7507820289767513,1
lNONHSAG016861,1.3421399519165846,1
lNONHSAG099742,0.6003636484515483,1
lNONHSAG031415,1.118912439599638,1
lNONHSAG041692,0.8562103595199556,1
lNONHSAG053814,1.0553171586059875,1
lNONHSAG042000,1.2164720802323061,1
lNONHSAG023635,0.7783939964665313,1
lNONHSAG001765,0.846944648227809,1
lNONHSAG020869,0.9034099206025478,1
lNONHSAG004975,1.1176064022068726,1
lENSG00000283360,-0.3411341598220855,0
lENSG00000282740,0.05634760461212318,1
lNONHSAG051015,0.7830622217545354,1
lNONHSAG009343,1.0016348055536652,1
lNONHSAG017136,1.1605826760526718,1
lNONHSAG041905,1.4442450200437515,1
lNONHSAG018624,1.2675640730390825,1
lNONHSAG037225,1.3483866531014224,1
lNONHSAG038091,1.0003898480556557,1
lNONHSAG016307,1.3687975653898405,1
lNONHSAG021471,1.5583645511071667,1
lNONHSAG006341,1.0590713747350216,1
lNONHSAG006598,1.5764607964367618,1
lNONHSAG005321,1.1800849156400455,1
lNONHSAG048817,1.592628359847419,1
lNONHSAG023837,1.3963908212945615,1
lNONHSAG077527,1.8444755653197888,1
lNONHSAG000920,1.1460583780882798,1
lNONHSAG041023,1.2846167149345393,1
lNONHSAG014502,1.1868371145849674,1
lNONHSAG041236,0.8190311982962614,1
lNONHSAG003938,1.1455074316744591,1
lNONHSAG033121,1.2448679446730169,1
lENSG00000286016,-0.44540454586368816,0
lNONHSAG018523,0.9196009612371793,1
lNONHSAG053417,1.2991967064931638,1
lNONHSAG050809,0.6951949662134297,1
lNONHSAG007898,1.0507092266273923,1
lNONHSAG011211,1.1621808004311704,1
lNONHSAG042357,1.0094655289722465,1
lNONHSAG030407,1.1197666577978365,1
lNONHSAG019051,1.365378699278741,1
lNONHSAG049268,1.43215996656886,1
lNONHSAG042500,1.312616616891658,1
lU2,1.0991651851561617,1
lENSG00000282143,0.04295304869421024,1
lNONHSAG014331,1.043170340032196,1
lNONHSAG022495,1.215465845482139,1
lNONHSAG032018,1.0272753705776911,1
lNONHSAG011084,1.2931730197453133,1
lNONHSAG034519,1.0526812569649575,1
lNONHSAG004027,1.3471701810794854,1
lNONHSAG021094,1.3611356656800315,1
lNONHSAG019693,1.3225185801633992,1
lNONHSAG026599,1.3109138540545846,1
lNONHSAG045089,1.271910419535185,1
lNONHSAG031145,1.0441390192183673,1
lNONHSAG019779,1.435891826153469,1
lNONHSAG012367,2.039778153648056,1
lENSG00000282885,-0.4006467261419211,0
lNONHSAG050712,1.1167834639918373,1
lNONHSAG090577,1.117444326123747,1
lNONHSAG031703,1.5071687224489558,1
lNONHSAG101229,0.8340146479404956,1
lENSG00000262202,-0.07858682736495448,0
lNONHSAG042949,1.376841290952295,1
lNONHSAG030059,1.4043783726784582,1
lNONHSAG000642,1.583868143671035,1
lNONHSAG053586,1.4567023137032504,1
lNONHSAG002460,1.127374938497463,1
lNONHSAG072707,1.0187752079168972,1
lNONHSAG000579,1.1973173462084246,1
lNONHSAG014414,0.718013611177236,1
lNONHSAG019967,1.2889454079748983,1
lNONHSAG036047,1.1790176861121875,1
lNONHSAG021914,1.4373402348934388,1
lNONHSAG069030,1.8700718674222685,1
lENSG00000236449,-0.2532141125224395,0
lNONHSAG010307,1.4095544382066238,1
lNONHSAG011090,1.4810582464107735,1
lRP11-119K6.6,1.2910354143163758,1
lNONHSAG022046,1.3545335575738946,1
lNONHSAG000967,1.3009566749964518,1
lNONHSAG023207,1.4287675038037633,1
lNONHSAG041293,1.2813549798050414,1
lNONHSAG013555,0.963894105970268,1
lNONHSAG026129,1.517441885819642,1
lNONHSAG000536,1.5224256189219707,1
lNONHSAG001242,1.0092839148364612,1
lNONHSAG022057,1.4674356185519168,1
lNONHSAG040870,1.1224685583625726,1
lNONHSAG061460,0.7777157604003962,1
lNONHSAG048354,1.219353492886735,1
lNONHSAG028194,1.2309870073272613,1
lNONHSAG027882,1.3129314041583457,1
lNONHSAG009210,1.1081351075526356,1
lNONHSAG041473,1.0922568134731656,1
lNONHSAG077706,0.8175894589335576,1
lNONHSAG033142,1.1706610973253353,1
lNONHSAG025583,0.9976894187404549,1
lNONHSAG050845,1.3667121947391019,1
lNONHSAG012505,1.0914208926065516,1
lNONHSAG048886,1.2678178766136408,1
lNONHSAG020774,1.4994006391964025,1
lENSG00000288632,-0.18722322940300118,0
lNONHSAG015489,1.5247607439190602,1
lNONHSAG013524,0.7273339009626988,1
lNONHSAG018999,1.3149063464610187,1
lNONHSAG011364,1.376832567524886,1
lNONHSAG029130,1.4724836119227511,1
lNONHSAG001121,1.307736413771595,1
lNONHSAG022953,1.4244425494863342,1
lNONHSAG043250,0.8302247271452584,1
lNONHSAG044006,1.436074094394764,1
lNONHSAG035305,0.9781530700458972,1
lNONHSAG031616,1.2524890706970542,1
lNONHSAG005548,1.0563041808565639,1
lNONHSAG001351,0.8862193481707711,1
lNONHSAG010989,1.5549775840416649,1
lNONHSAG006038,0.998194419501392,1
lSEC22B,1.536914108477494,1
lNONHSAG009779,1.4236587773195226,1
lNONHSAG011351,1.2923571962190001,1
lNONHSAG014515,1.202730628317605,1
lNONHSAG017322,0.8701839363125184,1
lNONHSAG031645,1.3216719828315093,1
lNONHSAG020361,1.1967867432449615,1
lNONHSAG047507,1.1205670663376517,1
lNONHSAG015182,1.3121523557632693,1
lNONHSAG035369,1.3477120680370387,1
lNONHSAG017882,1.2700889450847619,1
lNONHSAG000046,1.5162395931567878,1
lNONHSAG000484,1.2762881678179667,1
lNONHSAG017074,1.2830566891476698,1
lNONHSAG002205,1.4477312482967148,1
lNONHSAG011870,1.266625221788912,1
lNONHSAG031581,0.9837284068959277,1
lENSG00000264772,-0.22447858640671403,0
lNONHSAG000648,1.052300367424043,1
lNONHSAG012025,1.2394080416671,1
lNONHSAG017245,1.0157361263506504,1
lNONHSAG026480,1.3064119651859243,1
lNONHSAG027894,1.5031886413316329,1
lNONHSAG053631,1.387406928310734,1
lNONHSAG031750,1.103068822033066,1
lNONHSAG018392,1.1294556794219672,1
lSNORA67,1.2013039306553406,1
lNONHSAG006756,1.1782727745363628,1
lENSG00000270022,-0.09541907216906031,0
lNONHSAG048073,1.275366289348829,1
