lncRNA_id,protein_id
l1700057G04Rik,pFmr1
l1700057G04Rik,pRbfox3
l1700060C16Rik,pAgo2
l1700060C16Rik,pPabpc1
l1700060C16Rik,pPou5f1
l1700060C16Rik,pQki
l1700060C16Rik,pRbfox2
l1700060C16Rik,pYy1
l1700061E18Rik,pPou5f1
l1700061F12Rik,pRbfox2
l1700061H18Rik,pPabpc1
l1700061H18Rik,pPou5f1
l1700061H18Rik,pPtbp2
l1700061H18Rik,pRbfox2
l1700061H18Rik,pSfpq
l1700061H18Rik,pTia1
l1700061H18Rik,pYy1
l1700066J03Rik,pRbfox2
l1700066O22Rik,pDazl
l1700066O22Rik,pPou5f1
l1700066O22Rik,pPtbp2
l1700066O22Rik,pRbfox2
l1700066O22Rik,pYy1
l1700069L16Rik,pUpf1
l1700085D07Rik,pRbfox3
l1700086O06Rik,pAgo2
l1700086O06Rik,pPabpc1
l1700086O06Rik,pRbm10
l1700086O06Rik,pRbfox2
l1700086O06Rik,pSfpq
l1700086O06Rik,pTia1
l1700092C02Rik,pRbfox2
l1700092C10Rik,pPou5f1
l1700092C17Rik,pRbfox2
l1700092E19Rik,pPtbp2
l1700092E19Rik,pRbfox2
l1700099I09Rik,pTia1
l1700109K24Rik,pAgo2
l1700109K24Rik,pPou5f1
l1700109K24Rik,pRbm10
l1700109K24Rik,pRbfox2
l1700109K24Rik,pSfpq
l1700109K24Rik,pTia1
l1700112D23Rik,pAgo1
l1700112D23Rik,pAgo2
l1700112D23Rik,pAgo4
l1700112D23Rik,pDazl
l1700112D23Rik,pFmr1
l1700112D23Rik,pFus
l1700112D23Rik,pJarid2
l1700112D23Rik,pPabpc1
l1700112D23Rik,pPou5f1
l1700112D23Rik,pPtbp2
l1700112D23Rik,pRbfox2
l1700112D23Rik,pSfpq
l1700112D23Rik,pZfp36
l1700112D23Rik,pYy1
l1700112D23Rik,pTardbp
l1700112D23Rik,pUpf1
l1700112D23Rik,pHdlbp
l1700112E06Rik,pEzh2
l1700112E06Rik,pFus
l1700112E06Rik,pMbnl1
l1700112E06Rik,pRbfox3
l1700112E06Rik,pTardbp
l1700112E06Rik,pUpf1
l1700112J16Rik,pAgo2
l1700112J16Rik,pPou5f1
l1700112J16Rik,pPtbp2
l1700112J16Rik,pRbfox2
l1700113A16Rik,pAgo1
l1700113A16Rik,pAgo2
l1700113A16Rik,pAgo4
l1700113A16Rik,pPabpc1
l1700113A16Rik,pRbfox2
l1700113A16Rik,pSfpq
l1700113A16Rik,pZfp36
l1700122E12Rik,pPabpc1
l1700125G22Rik,pPou5f1
l1700125G22Rik,pRbfox2
l1700128E19Rik,pAgo1
l1700128E19Rik,pAgo2
l1700128E19Rik,pAgo4
l1810010H24Rik,pPabpc1
l1810010K12Rik,pPkm
l1810010K12Rik,pRbfox2
l1810014B01Rik,pAgo1
l1810014B01Rik,pAgo2
l1810014B01Rik,pAgo4
l1810014B01Rik,pDazl
l1810014B01Rik,pElavl1
l1810014B01Rik,pPkm
l1810014B01Rik,pMsi2
l1810014B01Rik,pPabpc1
l1810014B01Rik,pPspc1
l1810014B01Rik,pPtbp2
l1810014B01Rik,pRbm10
l1810014B01Rik,pRbfox2
l1810014B01Rik,pSfpq
l1810014B01Rik,pTia1
l1810014B01Rik,pZfp36
l1810019D21Rik,pTia1
l1810019D21Rik,pYy1
l1810019N24Rik,pElavl1
l1810019N24Rik,pPabpc1
l1810019N24Rik,pPtbp2
l1810019N24Rik,pRbfox2
l1810019N24Rik,pZfp36
l1810019N24Rik,pHdlbp
l1810020O05Rik,pPou5f1
l1810020O05Rik,pPtbp2
l1810020O05Rik,pRbfox2
l1810024B03Rik,pFus
l1810032O08Rik,pCpsf6
l1810032O08Rik,pFus
l1810032O08Rik,pJarid2
l1810034E14Rik,pAgo1
l1810034E14Rik,pAgo2
l1810034E14Rik,pAgo4
l1810034E14Rik,pPou5f1
l1810034E14Rik,pRbfox2
l1810034E14Rik,pSfpq
l1810034E14Rik,pZfp36
l1810034E14Rik,pYy1
l1810043G02Rik,pFmr1
l1810043G02Rik,pFus
l1810043G02Rik,pTardbp
l2010015M23Rik,pDazl
l2010015M23Rik,pPabpc1
l2010015M23Rik,pSfpq
l2010015M23Rik,pZfp36
l2010015M23Rik,pHdlbp
l2010107G23Rik,pTardbp
l2010110K18Rik,pPabpc1
l2010110K18Rik,pPou5f1
l2010110K18Rik,pYy1
l2010110K18Rik,pHdlbp
l2010300F17Rik,pElavl1
l2010300F17Rik,pRbfox2
l2010300F17Rik,pYy1
l2010300F17Rik,pHdlbp
l2200002D01Rik,pUpf1
l2210016L21Rik,pFus
l2210417A02Rik,pPabpc1
l2310001H17Rik,pAgo1
l2310001H17Rik,pAgo2
l2310001H17Rik,pAgo4
l2310001H17Rik,pPkm
l2310001H17Rik,pPabpc1
l2310001H17Rik,pPou5f1
l2310001H17Rik,pRbfox2
l2310001H17Rik,pZfp36
l2310001H17Rik,pYy1
l2310001H17Rik,pHdlbp
l2310002F09Rik,pAgo2
l2310002F09Rik,pFmr1
l2310002F09Rik,pMsi2
l2310002F09Rik,pPabpc1
l2310002F09Rik,pPspc1
l2310002F09Rik,pQki
l2310002F09Rik,pRbfox2
l2310002F09Rik,pTia1
l2310002F09Rik,pYy1
l2310002F09Rik,pHdlbp
l2310002L09Rik,pCelf1
l2310010G23Rik,pPabpc1
l2310010J17Rik,pPabpc1
l2310010J17Rik,pZfp36
l2310015A10Rik,pPabpc1
l2310015A10Rik,pRbfox2
l2310015A10Rik,pSfpq
l2310015A10Rik,pZfp36
l2310026I22Rik,pPtbp2
l2310026I22Rik,pRbfox2
l2310031A07Rik,pDazl
l2310031A07Rik,pFmr1
l2310031A07Rik,pPabpc1
l2310031A07Rik,pPou5f1
l2310031A07Rik,pQki
l2310031A07Rik,pTia1
l2310043M15Rik,pPou5f1
l2310043M15Rik,pRbfox2
l2310043M15Rik,pSfpq
l2310061I04Rik,pFus
l2310061I04Rik,pTardbp
l2310069G16Rik,pFmr1
l2310069G16Rik,pPou5f1
l2310069G16Rik,pPtbp2
l2310069G16Rik,pRbfox2
l2310069G16Rik,pSfpq
l2310081O03Rik,pPkm
l2310081O03Rik,pSfpq
l2410089E03Rik,pFmr1
l2410089E03Rik,pFus
l2410089E03Rik,pMbnl1
l2410089E03Rik,pNova1
l2410089E03Rik,pTardbp
l2410089E03Rik,pUpf1
l2500002B13Rik,pAgo2
l2500002B13Rik,pPkm
l2500002B13Rik,pPabpc1
l2500002B13Rik,pPou5f1
l2500002B13Rik,pRbm10
l2500002B13Rik,pRbfox2
l2500002B13Rik,pSfpq
l2500002B13Rik,pYy1
l2510002D24Rik,pFus
l2510002D24Rik,pTardbp
l2610005L07Rik,pAgo1
l2610005L07Rik,pAgo2
l2610005L07Rik,pAgo4
l2610005L07Rik,pDazl
l2610005L07Rik,pElavl1
l2610005L07Rik,pFmr1
l2610005L07Rik,pPkm
l2610005L07Rik,pPabpc1
l2610005L07Rik,pPspc1
l2610005L07Rik,pPou5f1
l2610005L07Rik,pPtbp2
l2610005L07Rik,pQki
l2610005L07Rik,pRbm10
l2610005L07Rik,pRbfox2
l2610005L07Rik,pSfpq
l2610005L07Rik,pTia1
l2610005L07Rik,pZfp36
l2610005L07Rik,pYy1
l2610005L07Rik,pHdlbp
l2610020C07Rik,pAgo1
l2610020C07Rik,pAgo2
l2610020C07Rik,pAgo4
l2610020C07Rik,pDazl
l2610020C07Rik,pElavl1
l2610020C07Rik,pPkm
l2610020C07Rik,pPabpc1
l2610020C07Rik,pPspc1
l2610020C07Rik,pPtbp2
l2610020C07Rik,pRbm10
l2610020C07Rik,pRbfox2
l2610020C07Rik,pSfpq
l2610020C07Rik,pTia1
l2610020C07Rik,pZfp36
l2610020H08Rik,pFus
l2610020H08Rik,pJarid2
l2610020H08Rik,pUpf1
l2610037D02Rik,pAgo1
l2610037D02Rik,pAgo2
l2610037D02Rik,pAgo4
l2610037D02Rik,pDazl
l2610037D02Rik,pElavl1
l2610037D02Rik,pPkm
l2610037D02Rik,pPspc1
l2610037D02Rik,pPou5f1
l2610037D02Rik,pQki
l2610037D02Rik,pRbfox2
l2610037D02Rik,pSfpq
l2610037D02Rik,pZfp36
l2610037D02Rik,pYy1
l2610037D02Rik,pHdlbp
l2610203C20Rik,pCpsf6
l2610203C20Rik,pFmr1
l2610203C20Rik,pFus
l2610203C20Rik,pNova1
l2610203C20Rik,pRbfox3
l2610203C20Rik,pTardbp
l2610203C20Rik,pUpf1
l2610301B20Rik,pCelf1
l2610301B20Rik,pFus
l2610301B20Rik,pMbnl1
l2610301B20Rik,pTardbp
l2610305D13Rik,pJarid2
l2610316D01Rik,pElavl1
l2610316D01Rik,pFmr1
l2610316D01Rik,pPabpc1
l2610316D01Rik,pPou5f1
l2610316D01Rik,pRbfox2
l2610316D01Rik,pYy1
l2610316D01Rik,pHdlbp
l2610507B11Rik,pFmr1
l2610507B11Rik,pFus
l2610507B11Rik,pJarid2
l2610507B11Rik,pMbnl1
l2610507B11Rik,pTardbp
l2610507B11Rik,pUpf1
l2700016F22Rik,pAgo2
l2700016F22Rik,pDazl
l2700016F22Rik,pElavl1
l2700016F22Rik,pPkm
l2700016F22Rik,pPabpc1
l2700016F22Rik,pPspc1
l2700016F22Rik,pRbfox2
l2700016F22Rik,pSfpq
l2700016F22Rik,pTia1
l2700016F22Rik,pZfp36
l2700038G22Rik,pAgo1
l2700038G22Rik,pAgo2
l2700038G22Rik,pAgo4
l2700038G22Rik,pPkm
l2700038G22Rik,pMsi2
l2700038G22Rik,pPabpc1
l2700038G22Rik,pPspc1
l2700038G22Rik,pPou5f1
l2700038G22Rik,pRbm10
l2700038G22Rik,pRbfox2
l2700038G22Rik,pSfpq
l2700038G22Rik,pSuz12
l2700038G22Rik,pTia1
l2700038G22Rik,pYy1
l2700046G09Rik,pPabpc1
l2700094K13Rik,pUpf1
l2700099C18Rik,pMbnl3
l2810417H13Rik,pCelf1
l2810417H13Rik,pCpsf6
l2810417H13Rik,pTardbp
l2810417H13Rik,pUpf1
l2810425M01Rik,pAgo1
l2810425M01Rik,pAgo2
l2810425M01Rik,pAgo4
l2810425M01Rik,pElavl1
l2810425M01Rik,pPkm
l2810425M01Rik,pPabpc1
l2810425M01Rik,pPou5f1
l2810425M01Rik,pPtbp2
l2810425M01Rik,pRbfox2
l2810425M01Rik,pSfpq
l2810425M01Rik,pZfp36
l2810428I15Rik,pFmr1
l2810428I15Rik,pFus
l2810428I15Rik,pPabpc1
l2810429I04Rik,pPabpc1
l2810429I04Rik,pRbfox2
l2810429I04Rik,pSfpq
l2810474O19Rik,pFus
l2810474O19Rik,pUpf1
l2900076A07Rik,pAgo1
l2900076A07Rik,pAgo2
l2900076A07Rik,pAgo4
l2900076A07Rik,pMsi2
l2900076A07Rik,pPabpc1
l2900076A07Rik,pRbm10
l2900076A07Rik,pRbfox2
l2900076A07Rik,pSfpq
l2900076A07Rik,pTia1
l2900076A07Rik,pZfp36
l3000002C10Rik,pPabpc1
l3000002C10Rik,pPspc1
l3000002C10Rik,pRbfox2
l3010003L21Rik,pElavl1
l3010003L21Rik,pPkm
l3010003L21Rik,pPabpc1
l3010003L21Rik,pPspc1
l3010003L21Rik,pRbfox2
l3010003L21Rik,pSfpq
l3110009E18Rik,pFus
l3110009E18Rik,pMbnl1
l3110009E18Rik,pTardbp
l3110040N11Rik,pFus
l3110040N11Rik,pTardbp
l3110043O21Rik,pFmr1
l3110043O21Rik,pFus
l3110043O21Rik,pMbnl1
l3110043O21Rik,pTardbp
l3110043O21Rik,pUpf1
l3110045C21Rik,pPabpc1
l3110045C21Rik,pTia1
l3110053B16Rik,pAgo1
l3110053B16Rik,pAgo2
l3110053B16Rik,pAgo4
l3110053B16Rik,pElavl1
l3110053B16Rik,pPkm
l3110053B16Rik,pPspc1
l3110053B16Rik,pRbfox2
l3110053B16Rik,pSfpq
l3110053B16Rik,pHdlbp
l3110062M04Rik,pCelf1
l3110062M04Rik,pFus
l3110083C13Rik,pDazl
l3110083C13Rik,pPabpc1
l3110083C13Rik,pPtbp2
l3110083C13Rik,pRbfox2
l3110083C13Rik,pSfpq
l3300002I08Rik,pCelf1
l3300002I08Rik,pFmr1
l3300002I08Rik,pFus
l3300002I08Rik,pTardbp
l3300002I08Rik,pUpf1
l3632451O06Rik,pCelf1
l3632451O06Rik,pFus
l3632451O06Rik,pTardbp
l4631405K08Rik,pAgo2
l4631405K08Rik,pMsi2
l4631405K08Rik,pHdlbp
l4632411P08Rik,pYy1
l4632427E13Rik,pAgo1
l4632427E13Rik,pAgo2
l4632427E13Rik,pAgo4
l4632427E13Rik,pCpsf6
l4632427E13Rik,pElavl1
l4632427E13Rik,pFmr1
l4632427E13Rik,pFus
l4632427E13Rik,pRbm10
l4632427E13Rik,pRbfox2
l4632427E13Rik,pSfpq
l4632427E13Rik,pTia1
l4632427E13Rik,pZfp36
l4632427E13Rik,pTardbp
l4632427E13Rik,pUpf1
l4632428C04Rik,pQki
l4632428C04Rik,pRbfox2
l4632428C04Rik,pHdlbp
l4731419I09Rik,pAgo1
l4731419I09Rik,pAgo2
l4731419I09Rik,pAgo4
l4731419I09Rik,pPabpc1
l4731419I09Rik,pRbm10
l4731419I09Rik,pRbfox2
l4731419I09Rik,pSfpq
l4731419I09Rik,pTia1
l4732419C18Rik,pPou5f1
l4732419C18Rik,pSfpq
l4732419C18Rik,pYy1
l4732463B04Rik,pPkm
l4732463B04Rik,pPabpc1
l4732463B04Rik,pRbfox2
l4732487G21Rik,pPabpc1
l4732487G21Rik,pRbfox2
l4732487G21Rik,pTia1
l4732487G21Rik,pZfp36
l4732490B19Rik,pRbfox2
l4732491K20Rik,pPabpc1
l4732491K20Rik,pRbfox2
l4831440D22Rik,pRbfox3
l4831440E17Rik,pPou5f1
l4831440E17Rik,pRbfox2
l4833407H14Rik,pFmr1
l4833407H14Rik,pPou5f1
l4833407H14Rik,pRbfox2
l4833407H14Rik,pYy1
l4833412C05Rik,pRbfox2
l4833412C05Rik,pYy1
l4833413E03Rik,pPou5f1
l4833413E03Rik,pRbfox2
l4833413E03Rik,pYy1
l4833422M21Rik,pDazl
l4833422M21Rik,pRbfox2
l4833428L15Rik,pRbfox2
l4833428L15Rik,pSfpq
l4921504A21Rik,pPabpc1
l4921504A21Rik,pPou5f1
l4921504A21Rik,pPtbp2
l4921504A21Rik,pRbfox2
l4921504A21Rik,pYy1
l4921507G05Rik,pPabpc1
l4921507G05Rik,pZfp36
l4921509A06Rik,pPou5f1
l4921509A06Rik,pYy1
l4921514A10Rik,pAgo1
l4921514A10Rik,pAgo2
l4921514A10Rik,pAgo4
l4921514A10Rik,pPabpc1
l4921514A10Rik,pPspc1
l4921514A10Rik,pSfpq
l4921514A10Rik,pTia1
l4921514A10Rik,pHdlbp
l4921518K17Rik,pFus
l4921518K17Rik,pPabpc1
l4921518K17Rik,pPou5f1
l4921518K17Rik,pPtbp2
l4921518K17Rik,pRbfox2
l4921518K17Rik,pYy1
l4921518K17Rik,pTardbp
l4930401G09Rik,pPou5f1
l4930401G09Rik,pRbfox2
l4930401O12Rik,pRbfox2
l4930402H24Rik,pEzh2
l4930402H24Rik,pFmr1
l4930403D09Rik,pAgo1
l4930403D09Rik,pAgo2
l4930403D09Rik,pAgo4
l4930403D09Rik,pPabpc1
l4930403D09Rik,pPou5f1
l4930403D09Rik,pRbfox2
l4930403D09Rik,pYy1
l4930404N11Rik,pFus
l4930406D18Rik,pFmr1
l4930406D18Rik,pPou5f1
l4930406D18Rik,pRbfox2
l4930406D18Rik,pYy1
l4930407G08Rik,pRbfox2
l4930414F18Rik,pRbfox3
l4930415F15Rik,pPabpc1
l4930415F15Rik,pTardbp
l4930415F15Rik,pUpf1
l4930417O22Rik,pPou5f1
l4930417O22Rik,pRbfox2
l4930417O22Rik,pYy1
l4930423M02Rik,pFmr1
l4930423M02Rik,pYy1
l4930426D05Rik,pRbfox2
l4930426I24Rik,pRbfox2
l4930428N03Rik,pPtbp2
l4930428N03Rik,pRbfox2
l4930428N03Rik,pYy1
l4930430E12Rik,pAgo2
l4930430E12Rik,pQki
l4930430E12Rik,pRbfox2
l4930431P03Rik,pRbfox2
l4930432B10Rik,pPabpc1
l4930432B10Rik,pPtbp2
l4930432B10Rik,pQki
l4930432B10Rik,pRbfox2
l4930432B10Rik,pSfpq
l4930432B10Rik,pHdlbp
l4930441J16Rik,pPtbp2
l4930444M15Rik,pPtbp2
l4930448D08Rik,pRbfox2
l4930448E22Rik,pPou5f1
l4930448H16Rik,pZfp36
l4930448N21Rik,pAgo2
l4930448N21Rik,pFmr1
l4930448N21Rik,pPou5f1
l4930448N21Rik,pPtbp2
l4930448N21Rik,pRbfox2
l4930448N21Rik,pSfpq
l4930448N21Rik,pYy1
l4930448N21Rik,pHdlbp
l4930453H23Rik,pAgo2
l4930453H23Rik,pRbfox2
l4930453H23Rik,pHdlbp
l4930453N24Rik,pFmr1
l4930453N24Rik,pFus
l4930453N24Rik,pTardbp
l4930453N24Rik,pUpf1
l4930455D15Rik,pElavl1
l4930455D15Rik,pFmr1
l4930455D15Rik,pPkm
l4930455D15Rik,pPou5f1
l4930455D15Rik,pPtbp2
l4930455D15Rik,pRbm10
l4930455D15Rik,pRbfox2
l4930455D15Rik,pTia1
l4930455D15Rik,pZfp36
l4930455D15Rik,pYy1
l4930455D15Rik,pHdlbp
l4930458A03Rik,pRbfox3
l4930461G14Rik,pPkm
l4930461G14Rik,pPabpc1
l4930461G14Rik,pPou5f1
l4930461G14Rik,pRbfox2
l4930463O16Rik,pDazl
l4930463O16Rik,pFmr1
l4930463O16Rik,pPabpc1
l4930463O16Rik,pQki
l4930463O16Rik,pRbfox2
l4930463O16Rik,pHdlbp
l4930465M20Rik,pRbfox2
l4930467D21Rik,pDazl
l4930467D21Rik,pFmr1
l4930467D21Rik,pPkm
l4930467D21Rik,pPabpc1
l4930467D21Rik,pPou5f1
l4930467D21Rik,pPtbp2
l4930467D21Rik,pQki
l4930467D21Rik,pRbfox2
l4930467D21Rik,pSuz12
l4930467D21Rik,pZfp36
l4930467D21Rik,pYy1
l4930467D21Rik,pHdlbp
l4930467K11Rik,pRbfox2
l4930469G21Rik,pRbfox2
l4930469G21Rik,pSfpq
l4930469G21Rik,pHdlbp
l4930471M09Rik,pFmr1
l4930471M09Rik,pRbfox2
l4930478K11Rik,pRbfox2
l4930478K11Rik,pSfpq
l4930480K23Rik,pPabpc1
l4930480K23Rik,pQki
l4930480K23Rik,pRbfox2
l4930505K14Rik,pDazl
l4930505N22Rik,pAgo1
l4930505N22Rik,pAgo2
l4930505N22Rik,pAgo4
l4930505N22Rik,pDazl
l4930505N22Rik,pPabpc1
l4930505N22Rik,pPou5f1
l4930505N22Rik,pRbfox2
l4930505N22Rik,pSfpq
l4930505N22Rik,pZfp36
l4930505N22Rik,pYy1
l4930507D10Rik,pPou5f1
l4930507D10Rik,pPtbp2
l4930507D10Rik,pRbfox2
l4930507D10Rik,pYy1
l4930509E16Rik,pPabpc1
l4930509E16Rik,pPspc1
l4930509E16Rik,pPou5f1
l4930509E16Rik,pRbfox2
l4930509G22Rik,pDazl
l4930509G22Rik,pPabpc1
l4930509G22Rik,pPtbp2
l4930509G22Rik,pRbfox2
l4930509K18Rik,pRbfox2
l4930511O05Rik,pRbfox2
l4930515L19Rik,pElavl1
l4930515L19Rik,pFmr1
l4930515L19Rik,pPtbp2
l4930515L19Rik,pRbfox2
l4930515L19Rik,pYy1
l4930516K23Rik,pAgo1
l4930516K23Rik,pAgo2
l4930516K23Rik,pAgo4
l4930516K23Rik,pFmr1
l4930516K23Rik,pPou5f1
l4930516K23Rik,pPtbp2
l4930516K23Rik,pQki
l4930516K23Rik,pRbfox2
l4930516K23Rik,pSfpq
l4930516K23Rik,pZfp36
l4930516K23Rik,pYy1
l4930516K23Rik,pHdlbp
l4930518C09Rik,pFus
l4930518C09Rik,pRbfox2
l4930518C09Rik,pSfpq
l4930518C09Rik,pTardbp
l4930519A11Rik,pPou5f1
l4930519A11Rik,pRbfox2
l4930519A11Rik,pYy1
l4930519D14Rik,pRbfox2
l4930519F09Rik,pAgo2
l4930519F09Rik,pDazl
l4930519F09Rik,pPabpc1
l4930519F09Rik,pPspc1
l4930519F09Rik,pPou5f1
l4930519F09Rik,pRbfox2
l4930519F09Rik,pTia1
l4930519F09Rik,pZfp36
l4930519F09Rik,pYy1
l4930522O17Rik,pPtbp2
l4930522O17Rik,pRbfox2
l4930522O17Rik,pYy1
l4930525G20Rik,pPou5f1
l4930525G20Rik,pRbfox2
l4930525G20Rik,pYy1
l4930526A20Rik,pAgo2
l4930526A20Rik,pDazl
l4930526A20Rik,pElavl1
l4930526A20Rik,pPabpc1
l4930526A20Rik,pRbfox2
l4930526A20Rik,pSfpq
l4930526A20Rik,pYy1
l4930526L06Rik,pElavl1
l4930526L06Rik,pPabpc1
l4930526L06Rik,pPou5f1
l4930526L06Rik,pPtbp2
l4930526L06Rik,pQki
l4930526L06Rik,pRbfox2
l4930526L06Rik,pYy1
l4930528D03Rik,pPspc1
l4930528D03Rik,pQki
l4930528D03Rik,pRbfox2
l4930528D03Rik,pTia1
l4930528P14Rik,pPou5f1
l4930528P14Rik,pRbfox2
l4930528P14Rik,pYy1
l4930533I22Rik,pCelf1
l4930533I22Rik,pFmr1
l4930533I22Rik,pFus
l4930533I22Rik,pTardbp
