lncRNA_id,Score,Pre Label
lNONMMUG045569,1.5481153318306653,1
lNONMMUG002215,1.3133414131280219,1
lD230017M19Rik,1.3391368711927285,1
lNONMMUG027333,1.2805027430519473,1
lNONMMUG026340,1.2598959032778154,1
l9330185C12Rik,1.2435403033414545,1
lENSMUSG00000096958,1.1564245050117776,1
lNONMMUG016294,1.3739429717288445,1
lENSMUSG00000097469,1.0826360819902376,1
lNONMMUG025750,1.3343016905789469,1
lENSMUSG00000097554,1.0843207947156586,1
lNONMMUG006378,1.3437561223756163,1
lENSMUSG00000086220,1.1037846454490747,1
lNONMMUG016370,1.384810412081201,1
lENSMUSG00000097213,1.1536396423012363,1
lNONMMUG009962,0.999827189900806,1
lENSMUSG00000097122,1.0650979851155213,1
lENSMUSG00000044471,1.0903775075547557,1
lENSMUSG00000100826,1.1457851643478918,1
lNONMMUG020672,1.4298854168773474,1
lENSMUSG00000097365,1.0373070807297253,1
lENSMUSG00000096972,1.0921278195786996,1
lNONMMUG030863,1.3098279806916437,1
lENSMUSG00000106407,1.4022019012879312,1
lENSMUSG00000097479,1.0286622132436989,1
lNONMMUG005124,1.4117223122284699,1
lENSMUSG00000102437,1.1652386953791805,1
lENSMUSG00000079011,1.0602808982633078,1
lENSMUSG00000105552,1.1956444387390874,1
lENSMUSG00000097922,1.1543953788906194,1
lNONMMUG018153,1.229173285600801,1
lENSMUSG00000084950,1.0889127977026973,1
lENSMUSG00000106218,1.024643987287483,1
lENSMUSG00000085438,1.0033244309558498,1
lENSMUSG00000078684,1.0169184485408138,1
lENSMUSG00000102923,1.2176355041853455,1
lENSMUSG00000085885,1.0311697866435807,1
lNONMMUG010475,1.3860133284209795,1
lENSMUSG00000085891,1.0523804902058984,1
lENSMUSG00000097393,1.4774609439958013,1
lNONMMUG027814,1.4435862890846423,1
lENSMUSG00000085264,1.1628639252684891,1
lENSMUSG00000031325,1.0900245897575687,1
lNONMMUG017485,1.3244593771802826,1
lNONMMUG013779,1.4484100305091872,1
lENSMUSG00000101640,1.0046988404884516,1
lENSMUSG00000089964,1.1686802780552412,1
lNONMMUG024327,1.4001390645498688,1
lTtc28,1.1684928405263904,1
lENSMUSG00000101585,1.0300332535878098,1
lENSMUSG00000085715,1.0651960496830455,1
lNONMMUG030662,1.4025520868538521,1
lENSMUSG00000086368,1.503097474067566,1
lENSMUSG00000097060,1.064110786572222,1
lENSMUSG00000098302,1.0311099615255088,1
lENSMUSG00000086451,0.9449759970760638,1
lNONMMUG041573,1.154799210736364,1
lENSMUSG00000097168,1.0691460796505439,1
lNONMMUG009283,1.2597246906904687,1
lENSMUSG00000043340,1.0402077091462374,1
lNONMMUG008008,1.2973911066221078,1
l5430416N02Rik,1.288054365820777,1
lENSMUSG00000107799,1.0647537263777238,1
lENSMUSG00000097207,1.0631037484915922,1
lNONMMUG042236,1.3825621861099293,1
lENSMUSG00000086273,1.5115585851711941,1
lENSMUSG00000085573,0.9354022786274285,1
lNONMMUG034044,1.2885593119714471,1
lENSMUSG00000109125,1.1214235533393762,1
lNONMMUG007538,1.3108767893463735,1
lNONMMUG031589,1.3437744180712272,1
lENSMUSG00000073147,1.0683529996557368,1
lENSMUSG00000085631,1.1055689884851958,1
lENSMUSG00000097661,1.0425670171992252,1
lENSMUSG00000078143,1.0530071981274247,1
lENSMUSG00000086417,1.5194880339534862,1
lENSMUSG00000085376,1.111629836708211,1
lENSMUSG00000074415,1.045817581060156,1
lENSMUSG00000084799,0.9838709662277196,1
lENSMUSG00000087142,1.3687452210637403,1
lENSMUSG00000053714,1.0405215914856925,1
lNONMMUG019605,1.6029992956609576,1
lNONMMUG010559,1.291960769194496,1
lENSMUSG00000093436,1.0309844637658827,1
lFtx,1.32629650957562,1
lENSMUSG00000085667,1.6148098248669456,1
lENSMUSG00000072929,1.0181169000882093,1
lNONMMUG019995,1.2293602687593292,1
lENSMUSG00000085284,1.0074420834891313,1
lENSMUSG00000085465,1.0772353070067098,1
lENSMUSG00000091908,1.0241573657063228,1
lENSMUSG00000099519,1.087978611115311,1
lNONMMUG044532,1.1918947924047458,1
lENSMUSG00000097816,0.9852956941054245,1
lNONMMUG032146,1.4286459382292307,1
lNONMMUG022934,0.9461777355150289,1
lNONMMUG007448,1.254369136440694,1
lENSMUSG00000099869,1.1122988530787055,1
lNONMMUG007197,1.4028699029945173,1
lNONMMUG035674,1.486839696174762,1
lNONMMUG025318,1.5053633137438496,1
lENSMUSG00000086414,1.0841470832087694,1
lNONMMUG029850,1.3113562774370777,1
lNONMMUG018236,1.3658098783698946,1
lNONMMUG038955,1.2419159918136486,1
lENSMUSG00000097631,0.9715943484664749,1
lENSMUSG00000102558,1.0191756276253656,1
lNONMMUG021267,1.215169236140163,1
lENSMUSG00000108546,1.1253802303879539,1
lENSMUSG00000098768,1.4119064017781753,1
lENSMUSG00000087366,0.9977598527592519,1
lENSMUSG00000032443,1.1022794868344974,1
lENSMUSG00000067835,1.0460224412206642,1
lENSMUSG00000107427,1.0806080712944848,1
lENSMUSG00000086429,0.991693993776714,1
lNONMMUG034679,1.3969838316838477,1
lENSMUSG00000097191,1.1184315625104446,1
lNONMMUG040034,1.3172572382276755,1
lNONMMUG034674,1.3038771865884442,1
lENSMUSG00000086080,1.001754439850039,1
lNONMMUG003412,1.3095702683071764,1
lENSMUSG00000109532,1.0232352277085042,1
lENSMUSG00000084771,1.162186829879282,1
lENSMUSG00000086219,1.0676785847906771,1
lNONMMUG041125,1.4121888499693611,1
lENSMUSG00000086544,1.068115648014249,1
lENSMUSG00000079671,1.0306800447682534,1
lENSMUSG00000085931,1.1874783373475921,1
lENSMUSG00000108112,1.036497445478524,1
lNONMMUG005099,1.3379331135020536,1
lMalat1,1.3505827050214734,1
lENSMUSG00000055897,1.1337005711732004,1
lNONMMUG011548,1.2871147884072442,1
lNONMMUG028613,1.239893800364122,1
lENSMUSG00000099706,1.0884841681009974,1
lNONMMUG040688,1.427714515790349,1
lNONMMUG030868,1.592296153896875,1
lGm12680,1.3218833217722405,1
lNONMMUG009216,1.6798709681047015,1
lENSMUSG00000084808,1.097041276898203,1
