samples_num_1,samples_num_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
5,10,0.8631578947368421,0.8117283950617284,0.8204826368452031,0.8412794206397104,0.837403400309119,0.6757438143609442,0.9045036884149371,0.8952404908573798
5,15,0.8613003095975232,0.8419753086419753,0.8445658773527626,0.8528510116492949,0.8516228748068007,0.7033917709498557,0.9167901234567901,0.9129781780795679
5,20,0.8569659442724458,0.8253086419753086,0.8302339532093581,0.8433881779402802,0.841112828438949,0.6825934809172681,0.9151293811871728,0.9145031566621686
5,25,0.8551083591331269,0.8450617283950618,0.8462009803921569,0.8506313520172467,0.8500772797527048,0.7001973862040486,0.9193353208729886,0.9171887880903287
10,10,0.8798761609907121,0.8475308641975309,0.8519184652278178,0.8656716417910449,0.863678516228748,0.7277609360748976,0.9296907846959446,0.9284970573340317
10,15,0.8730650154798761,0.8524691358024692,0.8550636749545178,0.8639705882352942,0.8627511591962905,0.7256709052743706,0.9281519703397929,0.9243365418359863
10,20,0.8829721362229103,0.8512345679012345,0.8554289142171566,0.8689823278488726,0.8670788253477589,0.7345498718296195,0.9295428658792951,0.9296030305303252
10,25,0.8755417956656347,0.841358024691358,0.8461998803111909,0.8606208155812538,0.8584234930448222,0.7172914313536571,0.9275648817031688,0.9246963244846476
15,10,0.8860681114551083,0.8592592592592593,0.8625678119349005,0.8741600488698839,0.8726429675425038,0.7455719166884338,0.9330329090700608,0.9328215868301474
15,15,0.8891640866873065,0.8401234567901235,0.8471976401179941,0.8676737160120845,0.8646058732612055,0.7301252275848126,0.9291495623590567,0.9261988296119
15,20,0.8835913312693499,0.8438271604938271,0.8494047619047619,0.8661608497723824,0.863678516228748,0.7279612635645066,0.9286882238275429,0.9276700628786263
15,25,0.8792569659442725,0.832716049382716,0.8397397989355411,0.8590441621294617,0.855950540958269,0.7127083589967471,0.9232320452547491,0.9217238155263847
20,10,0.8879256965944272,0.8487654320987654,0.8540798094103633,0.8706739526411658,0.8683153013910355,0.737223323092502,0.931296869625043,0.9287692745680367
20,15,0.8842105263157894,0.85,0.8545780969479354,0.8691418137553256,0.8670788253477589,0.7346115933935143,0.9317658525398463,0.9309400368621231
20,20,0.8854489164086687,0.8450617283950618,0.8506841165972635,0.8677184466019418,0.8652241112828439,0.7310733544501083,0.9303845124794559,0.9285171976979362
20,25,0.8860681114551083,0.8604938271604938,0.8636089318044659,0.8746943765281173,0.8732612055641422,0.7467837546021622,0.9309421702404159,0.9282907056025895
