C,Precision,Recall,Specificity,F1,Accuracy,MCC,roc_auc,pr_auc
100,0.868118572292801,0.8885448916408669,0.865015479876161,0.8782129742962056,0.8767801857585139,0.7537690561988232,0.9346467425164624,0.9339052991895462
10,0.8641304347826086,0.8860681114551083,0.8606811145510835,0.8749617853867317,0.8733746130030959,0.7469899821810286,0.9330847607089112,0.9326333919764325
1,0.8505338078291815,0.8879256965944272,0.8439628482972136,0.8688276279915177,0.8659442724458204,0.7325968439881265,0.9294792435468566,0.9300481783653916
