lncRNA_id,identifier,gene_name,gene_id
lAC004967.11,AC004967.11,AC004967.11,NONHSAG048281
lAC005013.5,AC005013.5,AC005013.5,NONHSAG047227
lAC005027.3,AC005027.3,AC005027.3,NONHSAG047430
lAC005041.17,AC005041.17,AC005041.17,NONHSAG028223
lAC005041.9,AC005041.9,AC005041.9,
lAC005094.2,AC005094.2,AC005094.2,NONHSAG047215;NONHSAG047217;NONHSAG047216
lAC005152.2,AC005152.2,AC005152.2,NONHSAG022654
lAC005262.2,AC005262.2,AC005262.2,NONHSAG024466
lAC005301.5,AC005301.5,AC005301.5,
lAC005307.1,AC005307.1,AC005307.1,NONHSAG025391
lAC005307.3,AC005307.3,AC005307.3,NONHSAG025392
lAC005394.1,AC005394.1,AC005394.1,NONHSAT064049
lAC005484.5,AC005484.5,AC005484.5,
lAC005534.9,AC005534.9,AC005534.9,NONHSAG049274
lAC005559.2,AC005559.2,AC005559.2,
lAC005586.2,AC005586.2,AC005586.2,
lAC005592.1,AC005592.1,AC005592.1,NONHSAG041807
lAC005592.2,AC005592.2,AC005592.2,NONHSAG041795
lAC005592.3,AC005592.3,AC005592.3,NONHSAG041804
lAC005614.5,AC005614.5,AC005614.5,
lAC005616.1,AC005616.1,AC005616.1,NONHSAG025393
lAC005682.5-001,AC005682.5-001,AC005682.5-001,
lAC005682.8,AC005682.8,AC005682.8,NONHSAG047100
lAC005688.1,AC005688.1,AC005688.1,
lAC005726.6,AC005726.6,AC005726.6,
lAC005789.11,AC005789.11,AC005789.11,
lAC005831.1,AC005831.1,AC005831.1,NONHSAG010221
lAC005884.1,AC005884.1,AC005884.1,NONHSAG022401
lAC005943.4,AC005943.4,AC005943.4,
lAC005943.5,AC005943.5,AC005943.5,
lAC005971.3,AC005971.3,AC005971.3,
lAC006014.7,AC006014.7,AC006014.7,NONHSAG048001
lAC006026.13,AC006026.13,AC006026.13,
lAC006042.7,AC006042.7,AC006042.7,NONHSAG046918
lAC006116.1,AC006116.1,AC006116.1,NONHSAT068143
lAC006116.14,AC006116.14,AC006116.14,NONHSAG026621
lAC006116.17,AC006116.17,AC006116.17,NONHSAG026620
lAC006126.4,AC006126.4,AC006126.4,
lAC006129.1,AC006129.1,AC006129.1,NONHSAG025868
lAC006369.2,AC006369.2,AC006369.2,NONHSAG027488
lAC006378.3,AC006378.3,AC006378.3,NONHSAG048223
lAC006427.1,AC006427.1,AC006427.1,
lAC006504.1,AC006504.1,AC006504.1,
lAC006504.2,AC006504.2,AC006504.2,
lAC007009.1,AC007009.1,AC007009.1,
