lncRNA_id,identifier,gene_name,gene_id
lENSG00000236324,ENSG00000236324,AL035634.1,ENSG00000236324
lENSG00000236326,ENSG00000236326,AL050331.2,ENSG00000236326
lENSG00000236332,ENSG00000236332,AP001604.1,ENSG00000236332
lENSG00000236340,ENSG00000236340,AC000099.1,ENSG00000236340
lENSG00000236341,ENSG00000236341,AL161740.1,ENSG00000236341
lENSG00000236345,ENSG00000236345,SCAT8,ENSG00000236345
lENSG00000236347,ENSG00000236347,AL513123.1,ENSG00000236347
lENSG00000236352,ENSG00000236352,AC005220.1,ENSG00000236352
lENSG00000236356,ENSG00000236356,AC079584.1,ENSG00000236356
lENSG00000236358,ENSG00000236358,AL355472.2,ENSG00000236358
lENSG00000236364,ENSG00000236364,AL358115.1,ENSG00000236364
lENSG00000236366,ENSG00000236366,AL359313.1,ENSG00000236366
lENSG00000236373,ENSG00000236373,LINC02653,ENSG00000236373
lENSG00000236383,ENSG00000236383,CCDC200,ENSG00000236383
lENSG00000236385,ENSG00000236385,AC026355.3,ENSG00000236385
lENSG00000236387,ENSG00000236387,AL139350.1,ENSG00000236387
lENSG00000236390,ENSG00000236390,AC092800.1,ENSG00000236390
lENSG00000236393,ENSG00000236393,AC091806.1,ENSG00000236393
lENSG00000236403,ENSG00000236403,AL353611.1,ENSG00000236403
lENSG00000236408,ENSG00000236408,AC073336.1,ENSG00000236408
lENSG00000236414,ENSG00000236414,AC004415.1,ENSG00000236414
lENSG00000236426,ENSG00000236426,AL583824.1,ENSG00000236426
lENSG00000236432,ENSG00000236432,AC097662.1,ENSG00000236432
lENSG00000236436,ENSG00000236436,LINC02850,ENSG00000236436
lENSG00000236447,ENSG00000236447,ATG10-IT1,ENSG00000236447
lENSG00000236449,ENSG00000236449,AC010894.3,ENSG00000236449
lENSG00000236451,ENSG00000236451,AC067956.1,ENSG00000236451
lENSG00000236452,ENSG00000236452,AC123023.1,ENSG00000236452
lENSG00000236453,ENSG00000236453,AC003092.1,ENSG00000236453
lENSG00000236461,ENSG00000236461,AL162425.1,ENSG00000236461
lENSG00000236463,ENSG00000236463,LINC00427,ENSG00000236463
lENSG00000236466,ENSG00000236466,AL035670.1,ENSG00000236466
lENSG00000236469,ENSG00000236469,AC007881.2,ENSG00000236469
lENSG00000236472,ENSG00000236472,AC002401.1,ENSG00000236472
lENSG00000236481,ENSG00000236481,LINC02195,ENSG00000236481
lENSG00000236494,ENSG00000236494,AC008080.4,ENSG00000236494
lENSG00000236495,ENSG00000236495,AL158168.1,ENSG00000236495
lENSG00000236498,ENSG00000236498,AC107081.2,ENSG00000236498
lENSG00000236501,ENSG00000236501,AC074286.1,ENSG00000236501
lENSG00000236507,ENSG00000236507,BX470209.2,ENSG00000236507
lENSG00000236513,ENSG00000236513,AC074035.1,ENSG00000236513
lENSG00000236514,ENSG00000236514,AL135791.1,ENSG00000236514
lENSG00000236526,ENSG00000236526,AL035448.1,ENSG00000236526
lENSG00000236528,ENSG00000236528,AL033528.2,ENSG00000236528
lENSG00000236529,ENSG00000236529,AC093582.1,ENSG00000236529
lENSG00000236531,ENSG00000236531,AC006013.1,ENSG00000236531
lENSG00000236535,ENSG00000236535,RC3H1-IT1,ENSG00000236535
lENSG00000236540,ENSG00000236540,AC006547.1,ENSG00000236540
lENSG00000236544,ENSG00000236544,AC008060.3,ENSG00000236544
lENSG00000236559,ENSG00000236559,AL117381.1,ENSG00000236559
lENSG00000236572,ENSG00000236572,AC006369.2,ENSG00000236572
lENSG00000236581,ENSG00000236581,STARD13-AS,ENSG00000236581
lENSG00000236591,ENSG00000236591,AL357992.1,ENSG00000236591
lENSG00000236601,ENSG00000236601,AL732372.1,ENSG00000236601
lENSG00000236617,ENSG00000236617,AC127070.1,ENSG00000236617
lENSG00000236627,ENSG00000236627,AL590302.2,ENSG00000236627
lENSG00000236634,ENSG00000236634,AC016903.1,ENSG00000236634
lENSG00000236635,ENSG00000236635,LINC02540,ENSG00000236635
lENSG00000236643,ENSG00000236643,AL354928.1,ENSG00000236643
lENSG00000236648,ENSG00000236648,LINC02810,ENSG00000236648
lENSG00000236651,ENSG00000236651,DLX2-DT,ENSG00000236651
lENSG00000236656,ENSG00000236656,AL365440.2,ENSG00000236656
lENSG00000236658,ENSG00000236658,AL161733.1,ENSG00000236658
lENSG00000236662,ENSG00000236662,AL133215.1,ENSG00000236662
lENSG00000236664,ENSG00000236664,AC011998.3,ENSG00000236664
lENSG00000236666,ENSG00000236666,POTEH-AS1,ENSG00000236666
lENSG00000236668,ENSG00000236668,AC006450.3,ENSG00000236668
lENSG00000236671,ENSG00000236671,PRKG1-AS1,ENSG00000236671
lENSG00000236673,ENSG00000236673,AL117378.1,ENSG00000236673
lENSG00000236676,ENSG00000236676,AC117944.1,ENSG00000236676
lENSG00000236677,ENSG00000236677,AP000688.4,ENSG00000236677
lENSG00000236682,ENSG00000236682,MAP3K2-DT,ENSG00000236682
lENSG00000236687,ENSG00000236687,AL160271.2,ENSG00000236687
lENSG00000236703,ENSG00000236703,MYB-AS1,ENSG00000236703
lENSG00000236708,ENSG00000236708,AC073316.3,ENSG00000236708
lENSG00000236709,ENSG00000236709,DAPK1-IT1,ENSG00000236709
lENSG00000236723,ENSG00000236723,AL606760.2,ENSG00000236723
lENSG00000236724,ENSG00000236724,AL137071.1,ENSG00000236724
lENSG00000236733,ENSG00000236733,AL354794.1,ENSG00000236733
lENSG00000236740,ENSG00000236740,AL033384.1,ENSG00000236740
lENSG00000236744,ENSG00000236744,AC016822.1,ENSG00000236744
lENSG00000236754,ENSG00000236754,AC007666.1,ENSG00000236754
lENSG00000236758,ENSG00000236758,MTUS2-AS2,ENSG00000236758
lENSG00000236760,ENSG00000236760,AC019118.2,ENSG00000236760
lENSG00000236769,ENSG00000236769,LINC02659,ENSG00000236769
lENSG00000236772,ENSG00000236772,AL034550.1,ENSG00000236772
lENSG00000236795,ENSG00000236795,AC006004.1,ENSG00000236795
lENSG00000236799,ENSG00000236799,LINC02626,ENSG00000236799
lENSG00000236800,ENSG00000236800,AC068898.1,ENSG00000236800
lENSG00000236817,ENSG00000236817,AL606804.1,ENSG00000236817
lENSG00000236822,ENSG00000236822,NMBR-AS1,ENSG00000236822
lENSG00000236823,ENSG00000236823,AL035691.1,ENSG00000236823
lENSG00000236827,ENSG00000236827,LINC00529,ENSG00000236827
lENSG00000236828,ENSG00000236828,DMD-AS3,ENSG00000236828
lENSG00000236833,ENSG00000236833,AC024560.1,ENSG00000236833
lENSG00000236837,ENSG00000236837,AC139712.3,ENSG00000236837
lENSG00000236838,ENSG00000236838,AC090617.2,ENSG00000236838
lENSG00000236841,ENSG00000236841,AC007750.1,ENSG00000236841
lENSG00000236854,ENSG00000236854,AL133244.2,ENSG00000236854
lENSG00000236856,ENSG00000236856,AC105393.2,ENSG00000236856
lENSG00000236861,ENSG00000236861,AC006378.1,ENSG00000236861
lENSG00000236864,ENSG00000236864,AC068295.1,ENSG00000236864
lENSG00000236866,ENSG00000236866,AL157902.1,ENSG00000236866
lENSG00000236869,ENSG00000236869,ZKSCAN7-AS1,ENSG00000236869
lENSG00000236883,ENSG00000236883,AP001615.1,ENSG00000236883
lENSG00000236885,ENSG00000236885,AC018731.1,ENSG00000236885
lENSG00000236889,ENSG00000236889,AC244035.2,ENSG00000236889
lENSG00000236892,ENSG00000236892,AL357833.1,ENSG00000236892
lENSG00000236908,ENSG00000236908,LINC02827,ENSG00000236908
lENSG00000236911,ENSG00000236911,AL137789.1,ENSG00000236911
lENSG00000236915,ENSG00000236915,CLCA4-AS1,ENSG00000236915
lENSG00000236920,ENSG00000236920,AL590727.1,ENSG00000236920
lENSG00000236921,ENSG00000236921,AL157937.1,ENSG00000236921
lENSG00000236924,ENSG00000236924,AL162411.1,ENSG00000236924
lENSG00000236935,ENSG00000236935,AP003774.2,ENSG00000236935
lENSG00000236938,ENSG00000236938,AC003092.2,ENSG00000236938
lENSG00000236948,ENSG00000236948,AL365255.1,ENSG00000236948
lENSG00000236951,ENSG00000236951,AC007359.1,ENSG00000236951
lENSG00000236953,ENSG00000236953,ZDHHC20-IT1,ENSG00000236953
lENSG00000236961,ENSG00000236961,AL136131.2,ENSG00000236961
lENSG00000236968,ENSG00000236968,AL451164.1,ENSG00000236968
lENSG00000236975,ENSG00000236975,LINC02814,ENSG00000236975
lENSG00000236985,ENSG00000236985,AL121892.1,ENSG00000236985
lENSG00000236986,ENSG00000236986,AL157938.2,ENSG00000236986
lENSG00000236989,ENSG00000236989,AC130710.1,ENSG00000236989
lENSG00000236990,ENSG00000236990,AC025822.2,ENSG00000236990
lENSG00000237001,ENSG00000237001,WASF3-AS1,ENSG00000237001
lENSG00000237002,ENSG00000237002,AL590730.1,ENSG00000237002
lENSG00000237011,ENSG00000237011,AL357793.2,ENSG00000237011
lENSG00000237015,ENSG00000237015,AL031186.1,ENSG00000237015
lENSG00000237017,ENSG00000237017,AC245052.4,ENSG00000237017
lENSG00000237019,ENSG00000237019,AC004470.1,ENSG00000237019
lENSG00000237027,ENSG00000237027,AL159174.1,ENSG00000237027
lENSG00000237031,ENSG00000237031,AC008067.1,ENSG00000237031
lENSG00000237037,ENSG00000237037,NDUFA6-DT,ENSG00000237037
lENSG00000237058,ENSG00000237058,AL831784.1,ENSG00000237058
lENSG00000237070,ENSG00000237070,AC005550.2,ENSG00000237070
lENSG00000237073,ENSG00000237073,AL162727.2,ENSG00000237073
lENSG00000237074,ENSG00000237074,AL596218.1,ENSG00000237074
lENSG00000237076,ENSG00000237076,AL035706.1,ENSG00000237076
lENSG00000237080,ENSG00000237080,EHMT2-AS1,ENSG00000237080
lENSG00000237087,ENSG00000237087,AC068134.2,ENSG00000237087
lENSG00000237101,ENSG00000237101,AC092809.4,ENSG00000237101
lENSG00000237126,ENSG00000237126,AC073254.1,ENSG00000237126
lENSG00000237128,ENSG00000237128,LINC02652,ENSG00000237128
lENSG00000237153,ENSG00000237153,AL162725.2,ENSG00000237153
lENSG00000237167,ENSG00000237167,AC128709.3,ENSG00000237167
lENSG00000237174,ENSG00000237174,AL445465.1,ENSG00000237174
lENSG00000237181,ENSG00000237181,AC147651.4,ENSG00000237181
lENSG00000237188,ENSG00000237188,AC242426.2,ENSG00000237188
lENSG00000237200,ENSG00000237200,ZBTB40-IT1,ENSG00000237200
lENSG00000237208,ENSG00000237208,AL445072.1,ENSG00000237208
lENSG00000237212,ENSG00000237212,AL449403.1,ENSG00000237212
lENSG00000237224,ENSG00000237224,AL157832.2,ENSG00000237224
lENSG00000237234,ENSG00000237234,Z99289.1,ENSG00000237234
lENSG00000237243,ENSG00000237243,CREB3L2-AS1,ENSG00000237243
lENSG00000237250,ENSG00000237250,AL359924.1,ENSG00000237250
lENSG00000237259,ENSG00000237259,AL049646.2,ENSG00000237259
lENSG00000237271,ENSG00000237271,AC009498.1,ENSG00000237271
lENSG00000237283,ENSG00000237283,AL691515.1,ENSG00000237283
lENSG00000237286,ENSG00000237286,AC004906.1,ENSG00000237286
lENSG00000237293,ENSG00000237293,AC007099.2,ENSG00000237293
lENSG00000237301,ENSG00000237301,AL121992.1,ENSG00000237301
lENSG00000237310,ENSG00000237310,AC008267.5,ENSG00000237310
lENSG00000237311,ENSG00000237311,AL034397.2,ENSG00000237311
lENSG00000237312,ENSG00000237312,AL358134.1,ENSG00000237312
lENSG00000237316,ENSG00000237316,Z82196.2,ENSG00000237316
lENSG00000237321,ENSG00000237321,AL354936.1,ENSG00000237321
lENSG00000237324,ENSG00000237324,AC093158.1,ENSG00000237324
lENSG00000237326,ENSG00000237326,AC113608.2,ENSG00000237326
lENSG00000237328,ENSG00000237328,RAI1-AS1,ENSG00000237328
lENSG00000237331,ENSG00000237331,XIAP-AS1,ENSG00000237331
lENSG00000237337,ENSG00000237337,AL592182.2,ENSG00000237337
lENSG00000237338,ENSG00000237338,FTCD-AS1,ENSG00000237338
lENSG00000237343,ENSG00000237343,AC246785.3,ENSG00000237343
lENSG00000237356,ENSG00000237356,AL365295.1,ENSG00000237356
lENSG00000237357,ENSG00000237357,BX088651.4,ENSG00000237357
lENSG00000237359,ENSG00000237359,AL354977.2,ENSG00000237359
lENSG00000237371,ENSG00000237371,AL355803.1,ENSG00000237371
lENSG00000237372,ENSG00000237372,AL606807.1,ENSG00000237372
lENSG00000237373,ENSG00000237373,BRWD1-IT1,ENSG00000237373
lENSG00000237390,ENSG00000237390,AL139130.1,ENSG00000237390
lENSG00000237396,ENSG00000237396,LNCNEF,ENSG00000237396
lENSG00000237400,ENSG00000237400,AC006960.2,ENSG00000237400
lENSG00000237410,ENSG00000237410,AP001092.1,ENSG00000237410
lENSG00000237413,ENSG00000237413,AC096531.2,ENSG00000237413
lENSG00000237419,ENSG00000237419,AL954642.1,ENSG00000237419
lENSG00000237422,ENSG00000237422,AL158071.4,ENSG00000237422
lENSG00000237429,ENSG00000237429,BX293535.1,ENSG00000237429
lENSG00000237435,ENSG00000237435,LINC02790,ENSG00000237435
lENSG00000237445,ENSG00000237445,AL359771.1,ENSG00000237445
lENSG00000237460,ENSG00000237460,LINC01661,ENSG00000237460
lENSG00000237461,ENSG00000237461,AL359710.1,ENSG00000237461
lENSG00000237463,ENSG00000237463,LRRC52-AS1,ENSG00000237463
lENSG00000237471,ENSG00000237471,AC073115.2,ENSG00000237471
lENSG00000237473,ENSG00000237473,AC068759.1,ENSG00000237473
lENSG00000237477,ENSG00000237477,AC093911.1,ENSG00000237477
lENSG00000237479,ENSG00000237479,AC007557.4,ENSG00000237479
lENSG00000237480,ENSG00000237480,AL355306.2,ENSG00000237480
lENSG00000237481,ENSG00000237481,AL117350.1,ENSG00000237481
lENSG00000237484,ENSG00000237484,LINC01684,ENSG00000237484
lENSG00000237491,ENSG00000237491,LINC01409,ENSG00000237491
lENSG00000237494,ENSG00000237494,AL360007.1,ENSG00000237494
lENSG00000237498,ENSG00000237498,AC010105.1,ENSG00000237498
lENSG00000237499,ENSG00000237499,WAKMAR2,ENSG00000237499
lENSG00000237520,ENSG00000237520,AL391832.1,ENSG00000237520
lENSG00000237525,ENSG00000237525,AC012668.3,ENSG00000237525
lENSG00000237527,ENSG00000237527,AF241725.1,ENSG00000237527
lENSG00000237529,ENSG00000237529,AL137847.2,ENSG00000237529
lENSG00000237530,ENSG00000237530,AL136140.1,ENSG00000237530
lENSG00000237531,ENSG00000237531,AL672277.1,ENSG00000237531
lENSG00000237552,ENSG00000237552,LINC02567,ENSG00000237552
lENSG00000237567,ENSG00000237567,LINC02836,ENSG00000237567
lENSG00000237568,ENSG00000237568,AC099063.1,ENSG00000237568
lENSG00000237571,ENSG00000237571,AC073284.1,ENSG00000237571
lENSG00000237576,ENSG00000237576,LINC01888,ENSG00000237576
lENSG00000237581,ENSG00000237581,AC005538.1,ENSG00000237581
lENSG00000237585,ENSG00000237585,LINC00407,ENSG00000237585
lENSG00000237588,ENSG00000237588,AL590666.3,ENSG00000237588
lENSG00000237594,ENSG00000237594,AP000251.1,ENSG00000237594
lENSG00000237595,ENSG00000237595,LINC01275,ENSG00000237595
lENSG00000237596,ENSG00000237596,AL138828.1,ENSG00000237596
lENSG00000237604,ENSG00000237604,AP001056.1,ENSG00000237604
lENSG00000237605,ENSG00000237605,AL591846.2,ENSG00000237605
lENSG00000237612,ENSG00000237612,AP002856.4,ENSG00000237612
lENSG00000237626,ENSG00000237626,AL161629.1,ENSG00000237626
lENSG00000237633,ENSG00000237633,AC104623.1,ENSG00000237633
lENSG00000237640,ENSG00000237640,AC004522.3,ENSG00000237640
lENSG00000237643,ENSG00000237643,AL365226.2,ENSG00000237643
lENSG00000237646,ENSG00000237646,HLCS-IT1,ENSG00000237646
lENSG00000237654,ENSG00000237654,AP003025.1,ENSG00000237654
lENSG00000237655,ENSG00000237655,AC073834.1,ENSG00000237655
lENSG00000237670,ENSG00000237670,LINC01866,ENSG00000237670
lENSG00000237686,ENSG00000237686,AL109615.3;SCIRT,ENSG00000237686
lENSG00000237687,ENSG00000237687,LINC00686,ENSG00000237687
lENSG00000237705,ENSG00000237705,AC008937.2,ENSG00000237705
lENSG00000237713,ENSG00000237713,AC011287.2,ENSG00000237713
lENSG00000237716,ENSG00000237716,AL136309.3,ENSG00000237716
lENSG00000237718,ENSG00000237718,AC009095.1,ENSG00000237718
lENSG00000237720,ENSG00000237720,AC011995.2,ENSG00000237720
lENSG00000237728,ENSG00000237728,Z97987.1,ENSG00000237728
lENSG00000237734,ENSG00000237734,AL163192.1,ENSG00000237734
lENSG00000237735,ENSG00000237735,AF130359.1,ENSG00000237735
lENSG00000237742,ENSG00000237742,AL365259.1,ENSG00000237742
lENSG00000237750,ENSG00000237750,AC011900.1,ENSG00000237750
lENSG00000237753,ENSG00000237753,AC079922.2,ENSG00000237753
lENSG00000237756,ENSG00000237756,AL592435.2,ENSG00000237756
lENSG00000237760,ENSG00000237760,AC023669.2,ENSG00000237760
lENSG00000237761,ENSG00000237761,AL161646.1,ENSG00000237761
lENSG00000237768,ENSG00000237768,AL731563.2,ENSG00000237768
lENSG00000237772,ENSG00000237772,LINC02631,ENSG00000237772
lENSG00000237773,ENSG00000237773,AC073332.1,ENSG00000237773
lENSG00000237775,ENSG00000237775,DDR1-DT,ENSG00000237775
lENSG00000237781,ENSG00000237781,AL356356.1,ENSG00000237781
lENSG00000237786,ENSG00000237786,GFOD1-AS1,ENSG00000237786
lENSG00000237787,ENSG00000237787,C3orf79,ENSG00000237787
lENSG00000237797,ENSG00000237797,MACORIS,ENSG00000237797
lENSG00000237798,ENSG00000237798,AC010894.4,ENSG00000237798
lENSG00000237802,ENSG00000237802,FAM197Y6,ENSG00000237802
lENSG00000237807,ENSG00000237807,AC022034.1,ENSG00000237807
lENSG00000237813,ENSG00000237813,AC002066.1,ENSG00000237813
lENSG00000237819,ENSG00000237819,AC002454.1,ENSG00000237819
lENSG00000237832,ENSG00000237832,AL138808.1,ENSG00000237832
lENSG00000237843,ENSG00000237843,AC016903.2,ENSG00000237843
lENSG00000237844,ENSG00000237844,AC016766.1,ENSG00000237844
lENSG00000237845,ENSG00000237845,AL139161.1,ENSG00000237845
lENSG00000237851,ENSG00000237851,AL023584.2,ENSG00000237851
lENSG00000237852,ENSG00000237852,AC119800.1,ENSG00000237852
lENSG00000237856,ENSG00000237856,AC062020.1,ENSG00000237856
lENSG00000237863,ENSG00000237863,AL035425.1,ENSG00000237863
lENSG00000237870,ENSG00000237870,AC073130.1,ENSG00000237870
lENSG00000237880,ENSG00000237880,LINC01885,ENSG00000237880
lENSG00000237892,ENSG00000237892,KLF7-IT1,ENSG00000237892
lENSG00000237896,ENSG00000237896,AC005008.2,ENSG00000237896
lENSG00000237899,ENSG00000237899,AL031289.1,ENSG00000237899
lENSG00000237919,ENSG00000237919,AL158840.1,ENSG00000237919
lENSG00000237921,ENSG00000237921,AC004543.1,ENSG00000237921
lENSG00000237923,ENSG00000237923,LINC02570,ENSG00000237923
lENSG00000237937,ENSG00000237937,LINC02702,ENSG00000237937
lENSG00000237938,ENSG00000237938,AL450998.3,ENSG00000237938
lENSG00000237943,ENSG00000237943,PRKCQ-AS1,ENSG00000237943
lENSG00000237950,ENSG00000237950,AL357079.1,ENSG00000237950
lENSG00000237954,ENSG00000237954,AL445218.1,ENSG00000237954
lENSG00000237976,ENSG00000237976,AL391069.2,ENSG00000237976
lENSG00000237980,ENSG00000237980,LINC02773,ENSG00000237980
lENSG00000237992,ENSG00000237992,LINC01808,ENSG00000237992
lENSG00000237993,ENSG00000237993,AL365318.1,ENSG00000237993
lENSG00000238005,ENSG00000238005,AL391832.2,ENSG00000238005
lENSG00000238009,ENSG00000238009,AL627309.1,ENSG00000238009
lENSG00000238018,ENSG00000238018,AC093110.1,ENSG00000238018
lENSG00000238020,ENSG00000238020,HTR3E-AS1,ENSG00000238020
lENSG00000238022,ENSG00000238022,AL390730.2,ENSG00000238022
lENSG00000238031,ENSG00000238031,AC090505.2,ENSG00000238031
lENSG00000238034,ENSG00000238034,AL109807.1,ENSG00000238034
lENSG00000238035,ENSG00000238035,AC138035.1,ENSG00000238035
lENSG00000238039,ENSG00000238039,AC244197.2,ENSG00000238039
lENSG00000238042,ENSG00000238042,LINC02257,ENSG00000238042
lENSG00000238043,ENSG00000238043,AC024559.1,ENSG00000238043
lENSG00000238045,ENSG00000238045,AC009133.1,ENSG00000238045
lENSG00000238054,ENSG00000238054,AL691515.2,ENSG00000238054
lENSG00000238058,ENSG00000238058,AL355574.1,ENSG00000238058
lENSG00000238063,ENSG00000238063,LINC01685,ENSG00000238063
lENSG00000238107,ENSG00000238107,LINC02806,ENSG00000238107
lENSG00000238117,ENSG00000238117,AP000844.2,ENSG00000238117
lENSG00000238122,ENSG00000238122,AL359258.1,ENSG00000238122
lENSG00000238123,ENSG00000238123,MID1IP1-AS1,ENSG00000238123
lENSG00000238131,ENSG00000238131,LINC02854,ENSG00000238131
lENSG00000238140,ENSG00000238140,AC104170.2,ENSG00000238140
lENSG00000238142,ENSG00000238142,BX284668.5,ENSG00000238142
lENSG00000238156,ENSG00000238156,AL445465.2,ENSG00000238156
lENSG00000238158,ENSG00000238158,AL391422.3,ENSG00000238158
lENSG00000238160,ENSG00000238160,AC116366.2,ENSG00000238160
lENSG00000238171,ENSG00000238171,AC068196.1,ENSG00000238171
lENSG00000238176,ENSG00000238176,AL390061.1,ENSG00000238176
lENSG00000238178,ENSG00000238178,AC078993.1,ENSG00000238178
lENSG00000238185,ENSG00000238185,AL353680.1,ENSG00000238185
lENSG00000238192,ENSG00000238192,BX284656.2,ENSG00000238192
lENSG00000238198,ENSG00000238198,LRIG2-DT,ENSG00000238198
lENSG00000238207,ENSG00000238207,AC009312.1,ENSG00000238207
lENSG00000238212,ENSG00000238212,LINC02096,ENSG00000238212
lENSG00000238221,ENSG00000238221,AL139095.4,ENSG00000238221
lENSG00000238230,ENSG00000238230,LINC00391,ENSG00000238230
lENSG00000238242,ENSG00000238242,LINC02778,ENSG00000238242
lENSG00000238246,ENSG00000238246,AC069549.1,ENSG00000238246
lENSG00000238250,ENSG00000238250,ST6GAL2-IT1,ENSG00000238250
lENSG00000238258,ENSG00000238258,AL121748.1,ENSG00000238258
lENSG00000238260,ENSG00000238260,AL513320.1,ENSG00000238260
lENSG00000238272,ENSG00000238272,AL139142.1,ENSG00000238272
lENSG00000238273,ENSG00000238273,AC108058.1,ENSG00000238273
lENSG00000238276,ENSG00000238276,AL354863.1,ENSG00000238276
lENSG00000238277,ENSG00000238277,AC068483.1,ENSG00000238277
lENSG00000238279,ENSG00000238279,BX470102.1,ENSG00000238279
lENSG00000238280,ENSG00000238280,AC067751.1,ENSG00000238280
lENSG00000238282,ENSG00000238282,AL121781.1,ENSG00000238282
lENSG00000238287,ENSG00000238287,AL603839.3,ENSG00000238287
lENSG00000238290,ENSG00000238290,AL034417.2,ENSG00000238290
lENSG00000238291,ENSG00000238291,AL391704.2,ENSG00000238291
lENSG00000238358,ENSG00000238358,AC004969.1,ENSG00000238358
lENSG00000238755,ENSG00000238755,LINC02006,ENSG00000238755
lENSG00000238837,ENSG00000238837,LINC02031,ENSG00000238837
lENSG00000239205,ENSG00000239205,LINC02023,ENSG00000239205
lENSG00000239213,ENSG00000239213,NCK1-DT,ENSG00000239213
lENSG00000239216,ENSG00000239216,AL139420.2,ENSG00000239216
lENSG00000239219,ENSG00000239219,AC008040.1,ENSG00000239219
lENSG00000239268,ENSG00000239268,AC092691.1,ENSG00000239268
lENSG00000239300,ENSG00000239300,AC080162.1,ENSG00000239300
lENSG00000239311,ENSG00000239311,AC092916.1,ENSG00000239311
lENSG00000239314,ENSG00000239314,MORC1-AS1,ENSG00000239314
lENSG00000239335,ENSG00000239335,LLPH-DT,ENSG00000239335
lENSG00000239377,ENSG00000239377,AC073111.1,ENSG00000239377
lENSG00000239381,ENSG00000239381,AC125613.1,ENSG00000239381
lENSG00000239407,ENSG00000239407,Z68871.1,ENSG00000239407
lENSG00000239415,ENSG00000239415,AP001469.3,ENSG00000239415
lENSG00000239440,ENSG00000239440,LINC02008,ENSG00000239440
lENSG00000239454,ENSG00000239454,LINC02047,ENSG00000239454
lENSG00000239462,ENSG00000239462,AC091212.1,ENSG00000239462
lENSG00000239467,ENSG00000239467,AC007405.3,ENSG00000239467
lENSG00000239480,ENSG00000239480,AC073517.1,ENSG00000239480
lENSG00000239482,ENSG00000239482,AC112487.1,ENSG00000239482
lENSG00000239498,ENSG00000239498,AC019211.1,ENSG00000239498
lENSG00000239508,ENSG00000239508,PLCH1-AS1,ENSG00000239508
lENSG00000239519,ENSG00000239519,CADM2-AS1,ENSG00000239519
lENSG00000239552,ENSG00000239552,HOXB-AS2,ENSG00000239552
lENSG00000239569,ENSG00000239569,KMT2E-AS1,ENSG00000239569
lENSG00000239572,ENSG00000239572,AC108749.1,ENSG00000239572
lENSG00000239593,ENSG00000239593,AL513122.2,ENSG00000239593
lENSG00000239628,ENSG00000239628,AC073288.1,ENSG00000239628
lENSG00000239636,ENSG00000239636,AC004865.2,ENSG00000239636
lENSG00000239661,ENSG00000239661,AC092925.1,ENSG00000239661
lENSG00000239665,ENSG00000239665,AL157392.3,ENSG00000239665
lENSG00000239705,ENSG00000239705,AL354710.2,ENSG00000239705
lENSG00000239715,ENSG00000239715,AC093627.2,ENSG00000239715
lENSG00000239739,ENSG00000239739,AC026316.2,ENSG00000239739
lENSG00000239767,ENSG00000239767,AC108733.1,ENSG00000239767
lENSG00000239774,ENSG00000239774,AC125618.1,ENSG00000239774
lENSG00000239775,ENSG00000239775,AC017116.1,ENSG00000239775
lENSG00000239791,ENSG00000239791,AC002310.2,ENSG00000239791
lENSG00000239801,ENSG00000239801,DENND6A-AS1,ENSG00000239801
lENSG00000239828,ENSG00000239828,AC063944.1,ENSG00000239828
lENSG00000239906,ENSG00000239906,AL627309.2,ENSG00000239906
lENSG00000239922,ENSG00000239922,AC092958.1,ENSG00000239922
lENSG00000239930,ENSG00000239930,AP001625.3,ENSG00000239930
lENSG00000239941,ENSG00000239941,AC108718.1,ENSG00000239941
lENSG00000239991,ENSG00000239991,AC092059.1,ENSG00000239991
lENSG00000240006,ENSG00000240006,LINC02004,ENSG00000240006
lENSG00000240032,ENSG00000240032,LNCSRLR,ENSG00000240032
lENSG00000240033,ENSG00000240033,AC069439.2,ENSG00000240033
lENSG00000240040,ENSG00000240040,AC244205.1,ENSG00000240040
lENSG00000240056,ENSG00000240056,AL445190.1,ENSG00000240056
lENSG00000240057,ENSG00000240057,AC078785.1,ENSG00000240057
lENSG00000240063,ENSG00000240063,AC069431.1,ENSG00000240063
lENSG00000240086,ENSG00000240086,AC092969.1,ENSG00000240086
lENSG00000240093,ENSG00000240093,AC093627.3,ENSG00000240093
lENSG00000240095,ENSG00000240095,AC055758.1,ENSG00000240095
lENSG00000240152,ENSG00000240152,LINC02271,ENSG00000240152
lENSG00000240207,ENSG00000240207,AC080013.1,ENSG00000240207
lENSG00000240211,ENSG00000240211,AC092849.1,ENSG00000240211
lENSG00000240219,ENSG00000240219,AL512306.2,ENSG00000240219
lENSG00000240240,ENSG00000240240,BX664727.3,ENSG00000240240
lENSG00000240241,ENSG00000240241,AC108752.1,ENSG00000240241
lENSG00000240291,ENSG00000240291,AL450384.2,ENSG00000240291
lENSG00000240350,ENSG00000240350,AC017002.3,ENSG00000240350
lENSG00000240354,ENSG00000240354,AC131211.1,ENSG00000240354
lENSG00000240355,ENSG00000240355,AC004869.2,ENSG00000240355
lENSG00000240373,ENSG00000240373,SEC62-AS1,ENSG00000240373
lENSG00000240401,ENSG00000240401,AC012358.3,ENSG00000240401
lENSG00000240449,ENSG00000240449,AC005586.1,ENSG00000240449
lENSG00000240476,ENSG00000240476,LINC00973,ENSG00000240476
