protein,uniprot_id
ZC3HD,Q5T200
ZC3HE,Q6PJT7
ZC3H18,Q86VM9
ZN326,Q5BKZ1
ZN638,Q14966
EIF3F,O00303
SAP18,O00422
CHD1,O14646
HAT1,O14929
CRM1,O14980
BTAF1,O14981
HMGB3,O15347
DHX15,O43143
PRPF3,O43395
PPIH,O43447
PLRG1,O43660
BUB3,O43684
AKAP8,O43823
DHX16,O60231
AQR,O60306
PQBP1,O60828
AHRR,O75340
SAP155,O75533
KIF4A,O95239
LMNA,P02545
CDK1,P06493
LDHB,P07195
ANXA6,P08133
ANXA5,P08758
SNRPA,P09012
HMGB1,P09429
PARP1,-
TOP1,P11387
TOP2A,P11388
PCNA,P12004
TPR,P12270
ANXA3,P12429
XRCC6,P12956
XRCC5,P13010
SON,P18583
PGAM1,P18669
RCC1,P18754
ANXA7,P20073
UBA1,P22314
TCEA1,P23193
MCM3,P25205
S100P,P25815
DNMT1,P26358
U2AF2,P26368
HMGB2,P26583
PTBP1,-
APEX1,P27695
TKT,P29401
PRDX6,P30041
PEBP1,P30086
CSTF2,P33240
MCM4,P33991
MCM5,P33992
MCM7,P33993
DEK,P35659
PGM1,P36871
COIL,-
FEN1,P39748
BUD31,P25337
MATR3,P43243
MSH2,P43246
NASP,P49321
MCM2,P49736
YLPM1,P49750
RBM25,P49756
HINT1,P49773
HDGF,P51858
NCBP2,P52298
MSH6,P52701
THOP1,P52888
MFAP1,P55081
ARF3,P61204
PSME3,P61289
RAN,P62826
GRB2,P62993
TRA2B,P62995
SKP1,P63208
RBM6,P78332
PRKDC,P78527
SARNP,P82979
ERH,P84089
SRp20,P84103
U2AF1,Q01081
SET,Q01105
SFRS2,Q01130
CSTF1,Q05048
SFRS1,Q07955
SRSF4,Q08170
DHX9,O70133
SSRP1,Q08945
SAKI,Q08J23
NCBP1,Q09161
CPSF1,Q10570
SAP61,Q12874
ILF2,Q12905
ILF3,Q12906
CSTF3,Q12996
CBX3,Q13185
SRSF9,Q13242
SRSF5,O35326
SRSF6,Q13247
PPIG,Q13427
SF3B2,Q13435
PIN1,Q13526
SNW1,Q13573
CUL4A,Q13619
CIRBP,Q14011
SAFB2,Q14151
RBM39,Q14498
HLTF,Q14527
DHX8,Q14562
MCM6,Q14566
SMC1A,Q14683
CHD4,Q14839
IL18BP,Q14980
SART3,Q15020
RNPS1,Q15287
SF3B3,Q15393
SAP62,Q15428
SAP114,Q15459
DDB1,Q16531
RBBP7,Q16576
SFRS7,Q16629
CPSF6,Q16630
PDS5A,Q29RF7
TSR1,Q2NL82
SMU1,Q2TAY7
RBM26,Q5T8P6
CDC73,Q6P1J9
CTR9,Q6PD62
WDR82,Q6UXN9
BZW1,Q7L1Q6
RSRC2,Q7L4I2
RBBP6,Q7Z6E9
CAND1,Q86VP6
DDX42,Q86XP3
CHERP,Q8IWX8
SUGP2,Q8IX01
CCAR1,Q8IX12
SRm160,Q8IYB3
CARF,Q9NXV6
CPSF7,Q8N684
PAF1,Q8N7H5
DDX1,Q92499
SYMPK,Q92797
RAD50,-
CELF1,P28659
GPKOW,Q92917
TNPO1,Q92973
FUBP3,-
RBM14,Q8C2Q3
QKI,Q96PU8
RBM15,Q0VBL3
PNKP,Q96T60
CDC5L,Q99459
DDX23,Q9BUQ8
RBM4,Q9BWF3
SRRT,Q9BXP5
SETD2,Q9BYW2
WDR33,Q9C0J8
XRN2,Q9DBR1
DDX47,Q9H0S4
PHAX,Q9H814
XPO5,Q9HAV4
NCOA5,Q9HCD5
LUC7L,Q9NQ29
DDX21,Q9NR30
MBNL1,Q9NR56
RBM12,Q9NTZ6
MDN1,Q9NU22
FANCI,Q9NVI1
RBM22,Q9NW64
WDR70,Q9NW82
SLTM,Q8CH25
CWC15,Q9P013
RCC2,Q9P258
BCCIP,Q9P287
NXF1,Q9UBU9
DDX20,Q9UHI6
PUF60,Q9N3S3
DDX41,Q9UJV9
SRRM2,Q9UQ35
PA2G4,Q9UQ80
SMC3,Q9UQE7
WBP11,Q9Y2W2
NOSIP,Q9Y314
PPIL1,Q9Y3C6
RTCB,Q9Y3I0
CRIP2,P52943
GCFC1,Q9Y5B6
1433T,P27348
ARGL1,Q9NWB6
C19L2,Q2TBE0
C9orf78,Q9NZ63
CSK22,P19784
CSK2B,P67870
CT043,-
DJC17,Q9NVM6
DNLI3,P49916
EZR,P15311
FBL,P22087
FKB1A,P62942
HTSF1,O43719
KIAA0947,Q9Y2F5
MDHC,P40925
NADAP,Q9BWU0
NHP2L1,P55769
PAPS2,O95340
PCNP,Q8WW12
PRP17,O60508
SNRPB2,P08579
SMNDC1,O75940
SRP09,P49458
TR112,Q9UI30
TRIM33,Q9UPN9
NOP56,O00567
PDCD5,O14737
PPM1G,O15355
TBCA,O75347
IPO7,O95373
SYF2,O95926
MIF,P14174
CBR1,P16152
RFC4,P35249
RFC5,P40937
Lsm3,P57743
Lsm6,P62312
TOP2B,Q02880
ATM,Q13315
PPIL2,Q13356
NOLC1,Q14978
SAP49,Q15427
PHF5A,Q7RTV0
PPIL4,Q8WUA2
PRCC,Q92733
PPWD1,Q96BP3
TOE1,Q96GM8
ZMAT2,Q96NC0
PUS7,Q96PZ0
TGS1,Q96RS0
MCMBP,Q9BTE3
SF3B5,Q9BWJ5
CWC22,Q9HCG8
NOP10,Q9NPE3
SMC4,Q9NTJ3
NUDT5,Q9UKK9
ISY1,Q9ULR0
PPIE,Q9UNP9
NOP58,Q12499
LSM4,P40070
MPP10,O00566
U3-55K,O43818
NHP2L1,B1AHD1
PRPF8,Q6P2Q9
LSM1,O15116
LSM8,O95777
LSM7,P53905
LSM2,P38203
LSM5,P40089
LSM11,P83369
LSM10,Q969L4
GAR1,Q9NY12
FBL,M0R1H0
hPSF,Q03518
GAGE6,Q13070
Oct1,P20263
IGF2BP3,F8WD15
IGF2BP2,B3FTN5
IGR2,-
CDKN1C,P49918
H2AFX,P16104
CDKN1A,P38936
BCL2,P10415
BBC3,Q9BXH1
BAX,Q07812
AR,D3YPQ1
APOBEC3F,Q9HC16
STAT1,P42224
IMP3,P32899
IMP1,E9PR99
ZBP1,Q9H171
DLK1,P80370
CASP8,Q14790
CASP3,P42574
BCL2L1,Q5QP59
HIF1A,Q16665
TIE1,-
TP53,D5KL86
EHMT2,Q96KQ7
MYCN,P04198
PINK1,Q9BXM7
CREB1,P16220
AKT1,P31749
PMEPA1,-
NDRG1,Q92597
KLK3,P07288
FGF8,P55075
BRCA1,P38398
Mtor,P42345
NFYA,P23511
IGF2R,A0N9R9
NM23,P15531
FGF18,O76093
ANG,P03950
RPP30,P78346
BC1,-
MYC,P01106
MDM2,Q00987
cyclic AMP,Q8TEY5
AGO2,Q8CJG0
EED,O75530
Sox2,P48431
NKX2-2,O95096
GNAS,Q5FWY2
HFE,Q30201
BDNF,P23560
