protein,uniprot_id
RER1,Hs.525527
CD160,Hs.488237
VEZF1,Hs.463569
PKP3,Hs.534395
GALNT6,-
NXPH3,Hs.55069
PNKP,Hs.78016
STAT1,Hs.642990
HSP90AB1,Hs.509736
DDX42,Hs.702010
ADAT1,Hs.729312
CA14,Hs.528988
RABGAP1,Hs.271341
B3GAT3,Hs.502759
SLC27A5,Hs.292177
KCNH3,Hs.64064
NTSR2,Hs.131138
GMEB2,Hs.473286
RPL13A,Hs.523185
FHOD1,Hs.95231
SAP30BP,-
C11orf2,Hs.277517
IL17C,Hs.278911
POLM,Hs.596982
SAC3D1,Hs.23642
CCDC106,-
SNX8,Hs.584900
TFPT,Hs.590939
TMOD4,Hs.709681
ANAPC2,Hs.533262
SERTAD3,M0R352
SLC25A24,-
FTSJ2,Hs.279877
PILRA,Hs.444407
C11orf51,Hs.38044
LRP10,Hs.525232
LAT2,Hs.596643
CHMP4A,-
TMEM208,-
AP2A1,Hs.467125
ZNHIT2,Hs.121025
QPRT,Hs.513484
CIDEB,Hs.642693
CHMP2A,-
RNF115,Hs.523550
PRPF19,-
TOR1B,Hs.252682
CNOT3,Hs.343571
ARHGEF10,-
ZNF592,Hs.79347
LRRC14,-
GREB1,Hs.467733
DHX34,Hs.151706
SETD1A,Hs.297483
MLL4,Hs.676457
KIAA0195,-
DHCR24,Hs.498727
ARHGEF17,-
TRIM14,Hs.575631
PLEKHM1,Hs.514242
FARP2,Hs.726316
OSBPL2,-
SV2A,Hs.516153
SEC16A,Hs.522500
HELZ,-
PDAP1,Hs.632296
PLEKHA6,Hs.253146
TCF25,Hs.415342
PDXDC1,-
ZHX3,Hs.380133
SETX,Hs.460317
SETD1B,Hs.507122
N4BP3,Hs.101761
FAM168A,Hs.475334
RPRD2,Hs.213666
NUP160,-
SPRYD3,Hs.343334
SMG5,Hs.516837
NUP188,Hs.308340
SCRIB,Hs.436329
SPEF1,Hs.72620
COBRA1,Hs.521809
TBC1D10B,H3BSE1
GPATCH4,Hs.708599
PRPF31,Hs.515598
GTPBP5,Hs.340636
GLTSCR1,-
COL5A3,Hs.235368
STMN3,Hs.639609
TRIM33,E7EN20
NMD3,Hs.598836
SLC35C2,Hs.593344
FAM158A,Hs.271614
HDGFRP3,Hs.513954
BOLA1,Hs.13880
TRAPPC4,-
SHANK1,Hs.715488
EGLN2,Hs.730737
AMOTL2,-
TRAPPC2L,-
DDX41,Hs.484288
SRRM2,Hs.433343
RTEL1,Hs.745057
SCLY,Hs.731909
C9orf78,-
ZNF581,Hs.20768
GOLM1,Hs.494337
EFEMP2,Hs.731454
PTOV1,Hs.587979
SURF2,Mm.389260
TMED9,Hs.279929
CDC42BPG,Hs.293590
MED29,Hs.611541
PPP1R12C,K7ER83
FTSJ3,-
FAM83E,Hs.165803
C9orf167,Hs.495541
EPS8L1,-
RNF43,Hs.584916
LIME1,Hs.233220
EXD3,Hs.721419
SSH3,Hs.29173
LAMTOR1,-
PIH1D1,Hs.5245
ZCWPW1,Hs.105191
CCDC94,Hs.21811
SMG8,Hs.7296
ARF,Q8N6T3
C7orf43,F8WFE0
PRR11,Hs.631750
RNF121,-
TBC1D2,Hs.371016
RRN3,Hs.720348
ABCA5,Hs.731824
MYO5C,Hs.487036
NANS,Hs.665191
EXOSC4,Hs.632041
TNXB,Hs.485104
PPP1R37,-
KLK12,Hs.411572
SLC2A4RG,Hs.435126
SEMA4B,-
PPAN,-
YIF1A,Hs.446445
ANKHD1-EIF4EBP3,-
ZNF512B,Hs.740578
PRR12,Hs.590971
ALPK3,Hs.459183
ZNF687,-
COL20A1,Hs.271285
NCOA5,Hs.654991
CSH1,Hs.654515
MYL6,Hs.632717
HIST1H2BD,Hs.591797
NMB,Hs.386470
ADCY1,Hs.192215
POLD4,Hs.523829
CATSPERG,Hs.324335
PRUNE,Hs.78524
SCAF1,-
SNX6,Hs.356647
C12orf10,Hs.655988
TSKS,Hs.515858
LMAN1L,Hs.620644
PPP1R11,Hs.82887
FBXW4,Hs.500822
CERS2,Hs.744017
GPSM3,Hs.520046
PRSS22,-
XYLT2,Hs.718822
GIGYF1,Hs.414396
SMURF2,Hs.515011
RMND5B,Hs.27222
TUT1,Hs.728983
DDRGK1,Hs.471975
YIPF2,Hs.164026
SLX1B,-
METTL16,Hs.632237
TRAPPC6A,Hs.466929
C9orf16,Hs.522412
PPDPF,Hs.79625
LENG1,Hs.590974
C16orf53,Hs.702841
BBS1,Hs.502915
C11orf80,Hs.292088
PRKRIP1,Hs.722104
IPO4,Hs.411865
IGFLR1,Hs.352548
AAGAB,Hs.602761
ELMO3,Hs.377416
ZDHHC11,-
SNX22,Hs.744250
ZNF672,Hs.521151
MUS81,Hs.288798
DNAJC5,Hs.164419
ZBTB46,Hs.585028
RNF39,Hs.121178
LIMD2,Hs.591166
SNX27,Hs.192326
CDT1,Hs.122908
TRIM56,Hs.521092
MED25,Hs.745568
SHARPIN,Hs.529755
RAB1B,Hs.300816
CABLES2,-
RNF208,Hs.512767
FERMT3,Hs.180535
CACNG8,Hs.631595
FRMD8,Hs.578433
FAM186B,Hs.524406
RNASEH2C,-
CHD6,-
PCNXL3,Hs.380801
MNF1,Hs.745020
MXRA8,Hs.515687
SYVN1,Hs.75859
SPIRE2,-
C9orf24,Hs.50334
ABHD1,Hs.375791
PCGF1,Hs.316750
SUV420H2,-
ZBTB45,-
SPPL2A,-
TMEM87B,-
CIRH1A,-
WDR73,Hs.745027
RELT,F5GYS9
PPP1R16A,Hs.521937
TRIM4,Hs.50749
GAL3ST3,Mm.447174
RRP36,Hs.309231
ZNF628,Hs.525209
SURF4,Hs.512465
ZFHX2,-
TRIM41,Hs.441488
WDR34,Hs.495240
CCDC97,Hs.437497
GADD45GIP1,Mm.489649
MBD6,-
STK11IP,Hs.22410
LENG8,Hs.502378
MOB2,Hs.370360
WFIKKN1,Hs.345818
UBE2J2,-
PTPN6,-
SAMD10,-
ABHD16B,Hs.266774
SRMS,-
OSCAR,Hs.347655
ELMO2,Hs.210469
DEDD2,Hs.741580
SPACA4,Hs.122599
JOSD2,Hs.737597
CEP95,Hs.569713
AP5B1,Hs.591957
FAM71E1,Hs.448941
C12orf57,-
MFSD3,Hs.7678
TECR,Hs.515642
WDR85,Hs.292570
MSI2,Hs.658922
MAPK15,Hs.493169
TMEM190,Hs.590943
LGI4,Hs.65256
COX6B2,Hs.550544
DCST2,Hs.591491
ADHFE1,Hs.720023
CAPN12,-
APOA1BP,Hs.528320
TSNARE1,Hs.370931
CCNY,Hs.14745
CENPBD1,Hs.733302
TIGD3,Hs.632121
CERS5,Hs.270525
C15orf42,Hs.441708
C15orf27,Hs.661411
SPATA2L,-
C9orf163,Hs.212613
SNX32,Hs.591950
TSGA10IP,Hs.350671
APCDD1L,Hs.119286
AGXT2L2,Hs.248746
DNAJB13,Hs.567888
LIX1L,Hs.740619
REM2,Hs.444911
ZNF584,Hs.439551
INO80E,Hs.434864
HEXDC,Hs.744207
C14orf21,Hs.708040
C19orf63,Hs.515550
SIX5,Hs.43314
SLC35B2,-
PILRB,Hs.521075
LCN12,Hs.440519
ZACN,Hs.714919
MRPL21,Hs.503047
GJC3,Mm.332771
METTL2A,-
CNIH2,Hs.437072
THEM5,Hs.132648
ANKDD1A,Hs.207157
WASH1,Hs.585931
TMPRSS9,Hs.465560
HNRNPA3,-
GANAB,Hs.595071
NKPD1,Hs.299256
FAM83H,-
CCDC84,Hs.534613
LENG9,Hs.590976
CARM1,Hs.323213
TMEM189-UBE2V1,-
LRRC37A3,Hs.744758
NOTCH2NL,Hs.655156
USP50,Hs.677758
MAMDC4,Hs.376780
ZNF467,Hs.726477
ZDHHC24,Hs.659933
TSEN54,Hs.378501
ANKRD13D,Hs.438673
FAM174B,-
RPL30,-
RPS27,-
RAB24,Hs.16258
KREMEN1,Hs.229335
sept9,Hs.440932
DPEP1,Hs.109
SYT12,Hs.287636
AP2A2,Hs.19121
MYC,Hs.202453
HMHA1,Hs.710732
NAA38,-
FMN2,Hs.24889
ANO2,Hs.148970
GRHL2,Hs.661088
OPRL1,Hs.2859
EIF2B4,Hs.169474
MLLT4,-
FSCN2,Hs.118555
NCOR2,Hs.137510
C17orf67,Hs.658949
RC3H2,Hs.709775
CYP4F11,Hs.187393
TMPRSS2,-
NFATC2,Mm.116802
PRKAR1B,Hs.520851
BANP,Hs.461705
KLHDC4,Hs.123450
RPH3AL,-
SERINC2,-
CDH4,Mm.184711
TSSC1,Hs.502770
MUC6,Hs.528432
SLC12A7,-
PTGES3,Hs.50425
CNTNAP2,Hs.655684
SNX17,Hs.278569
C20orf26,Hs.729168
FAM18B1,Hs.87295
MLL5,Hs.592262
MRPS21,-
CLPTM1L,Hs.444673
FAM120B,Hs.369522
COL22A1,Hs.117169
ZNF791,-
GATA3,Hs.524134
MPPED1,-
TTC39A,Hs.112949
ICAM2,Hs.431460
EIF2AK1,Hs.520205
C15orf38,Hs.744890
KPNA2,Hs.594238
PTPRN2,Hs.490789
COX6C,Hs.351875
AP3S2,Hs.632161
PYCARD,Hs.499094
RPGRIP1,Hs.126035
DHRS13,Hs.631760
NSMCE2,Hs.388297
COL5A1,Hs.210283
GABRB1,Hs.27283
LEPR,Hs.23581
RCC1,Hs.469723
PLXNA4,Hs.511454
MICAL3,-
SET,Hs.436687
CDHR2,Hs.4205
MUC4,Hs.369646
CACNG4,Hs.514423
TMEM242,Hs.157212
CMIP,Hs.594095
CUGBP2,Hs.309288
CD68,Hs.647419
FAM211A,Hs.25425
RUNDC3A,Mm.2560
WDR27,Hs.131903
KAT6B,Hs.35758
BPI,Hs.529019
MAL,Hs.80395
SLC9A3,Hs.658120
NTN5,Hs.326217
HFM1,Hs.454818
S100A13,Hs.516505
MGRN1,Hs.526494
APBB2,Hs.479602
FOXK2,Hs.591140
TTI1,Hs.655481
CRIM1,Hs.699247
RPRD1B,-
SLC35A4,Hs.406840
PHACTR3,-
PARP10,-
Caprin1,-
JAG1,NM_000214
hnRNPL,NM_001005335
BCBL1,-
ACADVL,-
SGCA,Hs.463412
ABCD1,Hs.159546
ALDOA,Hs.513490
APOE,G3UWW2
ASL,Hs.632015
CBS,Hs.533013
CDK4,Hs.95577
COL1A1,-
CSTB,Hs.695
CYBA,-
ENG,Hs.76753
EPOR,Hs.631624
GIPR,Hs.658534
LCAT,Hs.387239
SGCG,Hs.37167
NM23,Hs.463456
PDE6B,Hs.654544
PHKG2,Hs.65735
PKD1,Hs.75813
ROM1,Hs.281564
SCN4A,Hs.46038
TPI1,-
AIRE,Hs.129829
ERCC2,Hs.487294
NOTCH3,-
PLEC,Hs.434248
RFX5,Hs.632472
THPO,Hs.1166
GALNS,Hs.271383
GH1,Hs.655229
LDLR,Hs.713981
MAN2B1,Mm.4219
SLC11A1,Hs.591607
SERPINE1,Hs.713079
C8G,Hs.1285
CD79B,Hs.89575
TGFB1,Hs.645227
ADORA1,Hs.77867
ALDH3B1,Hs.523841
ALDH3B2,Hs.87539
ATP4A,Hs.36992
BCKDHA,-
CACNG1,Hs.147989
CHRM4,Hs.248100
CHRNA4,Hs.10734
DRD4,Hs.99922
FOLR2,Hs.433159
GRIN1,Mm.278672
P4HB,Hs.464336
PC,Dm.13644
PLCB3,Hs.523761
PPIB,Hs.434937
PRRG2,Hs.35101
PTGDS,Hs.446429
PTGER1,Hs.159360
RPL7A,Hs.499839
RPL8,-
RPL12,Hs.408054
RPL23A,Hs.419463
ATP2B4,H7BZS8
C16orf42,Hs.134846
NCCRP1,Hs.726934
PDE9A,Hs.473927
ZNF425,Hs.31743
FAM166A,Hs.522530
C8orf82,-
HCFC1R1,-
PUS1,-
ATP5G1,-
ARL6IP4,Hs.103561
DNAJB12,Hs.500013
ZNF787,Hs.397153
ANXA2,Hs.511605
PTRH1,-
C11orf49,-
STRADA,Hs.514402
SMARCD3,Hs.647067
HNRNPD,-
SLC6A19,Hs.481478
CAPNS1,-
GRK6,Hs.235116
ZNF740,Hs.524458
C7orf61,Hs.632306
RNASEK,Hs.632232
C9orf173,Hs.372640
METRNL,Hs.378821
TMEM198,Hs.446664
PSRC1,Hs.405925
SREBF1,-
hnRNPL,Hs.644906
RGS10,Hs.501200
LRSAM1,Hs.495188
NFASC,Hs.13349
NEURL4,-
PKP4,Hs.407580
CHEK2,Mm.279308
ERBB3,Hs.622058
JMJD8,Hs.533771
ALG3,Hs.478481
ATN1,Hs.143766
C20orf201,Hs.570316
IGSF3,Hs.171057
C1QL4,Hs.380386
LPHN1,Hs.94229
PPP1CA,-
RPS5,Hs.378103
BRD9,Hs.449278
B3GNTL1,Hs.607824
PHF19,Hs.460124
SSBP4,Mm.6667
EME2,Hs.7247
DSTN,-
HICE1,Hs.404088
ANO9,Hs.501622
MDK,Hs.82045
U2AF2,Hs.528007
MYPOP,Hs.515478
C9orf106,Hs.449434
ZKSCAN2,-
SNX30,Hs.522350
RPS9,Hs.467284
PRR25,Hs.528461
LRRC26,Hs.669977
STAP2,Hs.194385
AKT1,Hs.525622
DBNL,Hs.436500
TMEM93,Hs.30011
PAK4,Hs.20447
C16orf93,Hs.724010
BAG5,Hs.5443
MPG,Hs.459596
RAE1,Hs.496449
SP3,Hs.531587
LGR6,Hs.497402
CYB561,-
ZHX1,Hs.521800
C2orf76,-
C5orf45,Hs.741169
PCK2,Hs.75812
FPGS,-
RPS16,Hs.397609
CANX,-
LRRC24,Hs.740859
CD276,Hs.744915
ARPC4,Hs.323342
RPS14,-
CD97,Hs.466039
TSPAN4,-
CPLX3,Hs.187694
ARHGAP5,-
CTNS,Hs.187667
PLD3,Hs.257008
PRPF40B,Hs.706827
INF2,Hs.24956
MRI1,Hs.439370
CALML4,Hs.709550
FDX1L,Hs.654865
CCDC78,Hs.381943
CPT1A,Hs.503043
STXBP1,-
RCE1,Hs.654972
KLF10,Hs.435001
ENTPD8,Hs.512562
CSTF1,Hs.172865
ESRP1,Hs.487471
FAM102A,Hs.535972
RPL41,Hs.356799
FAM129B,Hs.522401
SCN1B,Hs.436646
CNTROB,-
EIF3B,Hs.371001
SIL1,Mm.291482
SCNN1A,Hs.591047
CDC42SE1,Hs.22065
C20orf27,-
KIAA1984,Hs.728796
ATP6V0B,-
NPRL3,Hs.19699
PRSS53,Hs.569575
RUSC1-AS1,Hs.650801
CCNL2,Hs.515704
DPH2,Hs.632398
PRMT5,-
MTL5,Hs.145932
TNFRSF25,Hs.462529
YIF1B,Hs.280741
GPX4,Hs.433951
C19orf46,Hs.436743
STRN4,Hs.631590
FKRP,Hs.515493
ZNF808,Hs.729294
C19orf55,Hs.527982
ZNF384,F5H0D6
INTS6,C9K0V7
ARL16,Hs.658789
CD37,Hs.166556
CD63,Hs.445570
LFNG,Hs.159142
FAM63A,Hs.743952
DCUN1D4,D6RIY3
U2AF1L4,-
CCDC56,Hs.16059
MAPK8IP3,Hs.207763
NCALD,Hs.492427
SLC29A4,Hs.4302
RALGDS,Hs.106185
SLC16A3,-
CRTC3,Hs.567572
RRBP1,Hs.472213
DBNDD1,Hs.301394
SDHAF1,Hs.356460
PLEKHG5,Hs.619982
MFSD12,Hs.656901
METTL12,Hs.640726
CEMP1,Hs.737156
C9orf116,Hs.414028
UBXN11,-
POMT1,Hs.522449
TSEN34,Hs.15580
JRK,Hs.535903
SFRS1,Hs.744140
HNRNPUL2,Hs.657058
DBI,Hs.78888
CUL4B,Hs.102914
PRKD2,-
AATK,Hs.514575
KDM6B,Hs.223678
INTS1,-
ASPG,Hs.207776
SYCN,Hs.124123
FBXO46,Hs.128702
C9orf172,Hs.495485
SETD5,Hs.288164
COMMD5,Hs.631856
RGS9,Mm.38548
ZNF623,Hs.43133
TMEM219,-
STRN3,Hs.401843
WDR62,Hs.116244
PLOD3,Hs.153357
ABR,Hs.159306
ACCN2,Hs.274361
TMEM184A,-
HDAC7,Hs.200063
SGSM2,Hs.513861
PELI3,Hs.656875
USP5,-
PCBP2,Hs.546271
OBSCN,Hs.656999
ATXN7L3,-
GBX1,-
HEATR7A,Hs.443139
POM121C,-
ULK3,Hs.513034
FAM54B,Hs.149305
FAM86C1,Hs.567527
TRIM32,Q5JVY0
WDR83,Hs.657204
FBXL19,-
SBNO2,Hs.408708
IQCE,Hs.520627
C19orf60,Hs.655317
ZNF707,-
10-Mar,Hs.665663
C8orf73,Hs.531406
ST20,Hs.729127
FAM72B,Hs.339665
PACS2,-
ACTB,Hs.520640
ZNF160,Hs.655967
EPN2,Hs.743983
CCDC64B,Hs.513285
TLE3,Hs.287362
RUSC1,Hs.226499
MYBBP1A,Mm.147946
DGKZ,Hs.502461
ADAM8,Hs.501574
C16orf92,Hs.651588
SRRM3,Mm.271230
KIAA0284,Hs.533721
TEN1,Hs.593566
LDB1,Hs.454418
FOXP3,Hs.247700
ITGAL,Hs.174103
MGAT1,Hs.519818
WDR26,Hs.497873
ADD1,H0YFD8
FAM178B,Hs.107922
CCBL1,-
SLC50A1,Hs.292154
BSCL2,Hs.533709
BCKDK,Hs.513520
ZBTB1,Hs.605143
SPNS2,Hs.22824
SLC25A19,-
TUFT1,Hs.489922
LY6E,Hs.521903
LRRC8A,Hs.643600
CRY2,Hs.532491
AP4S1,Hs.293411
TSPAN14,A6NEP9
DLG4,Hs.463928
TOMM40,-
CYHR1,Hs.459379
SLC9A3R2,-
SHC1,Hs.433795
EEF1D,Mm.258927
MYO9B,-
EPN1,Hs.279953
HSPBP1,-
SPTAN1,-
HRAS,Hs.37003
LY6H,Hs.159590
C14orf93,Hs.255874
TTLL6,Hs.91930
PSMG3,Hs.446311
C7orf50,Hs.653258
KIAA0182,Hs.461647
OST4,Hs.502948
C14orf80,-
DPF1,Hs.631576
ABI3,Mm.485545
FKBP2,Hs.227729
PIP5KL1,Hs.734928
C19orf71,Hs.664978
INPP5K,-
YWHAZ,H0YB80
FDPS,-
FCGRT,Hs.111903
NFATC4,-
TMUB1,Hs.726215
KANK2,Hs.723365
TNPO2,Hs.714402
FZR1,Hs.413133
ISOC2,Hs.467306
RCC2,Hs.380857
CISD3,Hs.713595
GPR107,Hs.512461
ZBTB42,Hs.170853
BCAP31,-
CNST,Hs.368353
RAB11FIP3,Hs.531642
ARCN1,E9PK34
SQSTM1,E9PFW8
THOC6,Hs.412304
PPP3CB,-
PTPN18,-
MGEA5,H7C3X0
PPP1R13L,-
ADCK4,Hs.130712
ITPK1,Hs.308122
CHID1,Hs.144468
HSD3B7,Hs.460618
C17orf49,Hs.511801
SLC6A8,-
C21orf56,Hs.381214
MXD3,Hs.743332
DCST1,Hs.567717
EIF5A,Hs.534314
CTDNEP1,-
PHOSPHO1,Hs.405607
TPCN1,-
EFCAB2,-
WRAP53,Hs.408312
RASSF7,Hs.72925
ABCC3,Hs.463421
PHLDB1,Hs.504062
PHB2,Hs.504620
BAIAP2,-
SSC5D,Hs.554182
SCRN2,Hs.239718
NR2F2,Hs.347991
SLC35C1,E9PS26
SIN3A,Hs.513039
FAM71E2,Hs.528319
TMEM205,Hs.8036
PFKFB3,Hs.195471
YPEL3,-
GPSM1,Hs.239370
SAE1,Hs.515500
HOMER3,Hs.720208
MEF2B,Hs.153629
SH2B1,Hs.15744
AMDHD2,-
MTMR11,Hs.425144
SARS2,-
PAFAH1B3,-
SLC12A4,Hs.10094
IGFALS,Hs.839
MOGS,Hs.516119
WRB,Hs.198308
PODNL1,Hs.448497
SPSB2,Hs.479856
SYNCRIP,Hs.571177
CANT1,Hs.8859
MPND,Hs.321689
RHOBTB2,Hs.372688
TRAPPC9,-
TLCD1,Hs.499952
TULP3,Hs.655333
ZBP1,Hs.302123
IGF2BP1,-
NPTN,Hs.744867
JMJD4,Hs.745334
CCDC166,Hs.730002
PLXNB3,-
QPCTL,Hs.631556
FBXO24,Hs.283764
C17orf72,Hs.708161
SLC37A4,Hs.719203
GOLGA6C,Hs.540230
CDK5,Hs.647078
CBY3,Hs.535767
MUC12,Hs.489355
IGFN1,Hs.519024
ENDOV,Hs.728933
ARHGAP4,Hs.701324
ZFHX3,-
BCAT2,Hs.512670
ERCC1,-
SPINT2,-
CARNS1,Hs.502982
TRIP13,Hs.436187
SHMT2,-
TRAPPC1,-
XIAP,Hs.736565
NAV1,Hs.585374
ATP5SL,Hs.351099
INCA1,Hs.658926
TMEM92,Hs.224630
TBC1D17,M0QXA2
NSUN5,Hs.647060
TSPAN3,-
PGAM5,Hs.102558
FUS,Hs.46894
BCAR1,Hs.479747
SRPK3,Hs.104865
ISYNA1,Hs.405873
STRBP,Hs.287659
ZMYM3,Hs.522684
CCDC148,Hs.668597
RNF166,-
FNDC5,Mm.44075
RRM2B,Hs.512592
ZNF668,-
IL-34,Hs.461214
OBSL1,Hs.526594
AAAS,Hs.369144
C9orf86,Hs.370555
SMG7,Hs.591463
POLL,Hs.523230
PRR7,Hs.534492
DMXL2,-
LMX1B,Hs.129133
SEMA6C,Hs.516316
ASTN2,Hs.601562
CTTN,-
FLAD1,Hs.118666
PACSIN3,-
CLDN7,Hs.513915
CLDN15,Hs.38738
RNF224,Hs.730186
DGCR8,Hs.643452
YJEFN3,Hs.729508
TAF6,Hs.489309
MTRNR2L3,Hs.727477
ARPC1A,-
BCL2L1,-
SIRT6,Hs.423756
TMEM127,C9J4H2
RSPH9,Hs.534585
MRPS18A,-
UNKL,Hs.745452
PPP2R4,-
NUDT16L1,-
ENO3,-
FAM65A,-
CSRP1,Hs.108080
MATR3,Hs.268939
MEPCE,Hs.178011
TEX22,Hs.729499
LOC646862,Hs.728121
C17orf57,Hs.463303
ZNF865,Hs.729114
VAPB,-
CHPF,Hs.516711
FAM213B,Hs.462033
MLL,A0A075TKX8
TUBB3,-
DKKL1,Hs.515855
MCL1,Hs.632486
HSPA12B,Hs.516854
ATP6V0C,Hs.389107
MFAP4,Hs.296049
GNGT2,Hs.181781
ABCC10,-
BAIAP3,Hs.458427
TBC1D24,-
GTF2IRD1,-
CLIP3,Hs.466539
PTK2,-
BGLAP,Hs.654541
SLC4A2,Hs.647069
ARL2,Hs.502836
MTHFS,Hs.194294
ST20-MTHFS,Hs.459049
PTPN7,-
BCL2L2-PABPN1,Q92843
SMURF1,Hs.189329
MARK4,Hs.34314
PDK2,Hs.256667
ACTG1,-
ZNF513,-
ASB6,Hs.125037
UBE2G2,F8WDB1
NIPSNAP1,Hs.173878
CUX1,Hs.191482
MIA,Hs.646364
ECM1,Hs.81071
MTA1,Hs.525629
DBP,Hs.528006
C8orf76,Hs.707401
PPP5C,Hs.654604
RBAK,Hs.396178
EIF4A1,-
RBAK-LOC389458,-
SSR4,Hs.409223
TAX1BP3,Hs.12956
NPEPL1,-
BNIP1,Hs.145726
RNF223,Hs.568137
FGF8,Hs.57710
KIAA1271,Hs.570362
POLR1D,Hs.507584
PKM2,Hs.534770
TGOLN2,F8W8W7
CTDSP1,H7C3E0
DHPS,Hs.79064
SERPINH1,-
KLK7,Hs.151254
ZNF48,Hs.513501
CA11,Hs.428446
CD27,Mm.367714
AHRR,Hs.50823
TMEM147,-
LOC283403,-
SLC22A31,Hs.743726
BRF1,Hs.424484
RNF41,Hs.524502
ARFGAP2,-
PRMT2,-
LOC100287036,-
ANKS3,Hs.654859
SNX1,Hs.188634
RAD9A,Hs.655354
VEGFB,Hs.732095
TOB1,-
TPD52L2,Hs.473296
C12orf53,Hs.44067
ZFP36L1,G3V2D5
CSAD,Hs.279815
RAB5B,Hs.157659
C12orf32,Hs.198853
LOC440335,Hs.390599
ZNF444,-
CDC20,Hs.524947
CREB3L4,-
RNF213,Hs.195642
NAA10,Hs.433291
ARL8A,Hs.604697
ETS2,Hs.644231
CACNA1G,Hs.591169
ELOVL1,Hs.25597
SLMO2,Hs.656865
KDM2A,Hs.124147
CPSF3L,-
MAN2C1,Hs.598731
TBC1D10C,Hs.534648
NOP16,Hs.696283
NEIL1,Hs.512732
TEAD2,Hs.515534
DPP3,Hs.502914
STOML1,Hs.194816
CDK3,Hs.706766
CDK9,Hs.706809
CHKA,Hs.77221
TBCB,Hs.31053
CLPTM1,-
CLDN4,Hs.647036
CLDN3,Hs.647023
CRIP1,Hs.70327
CRIP2,Hs.534309
CSH1,Hs.654390
CSHL1,Hs.655225
CTSZ,Hs.252549
DAPK3,Hs.631844
DECR1,-
EFNB3,Hs.26988
EMP2,Hs.531561
EMP3,Hs.9999
CERS1,Hs.412355
GSTZ1,Hs.655292
HSPB1,Hs.520973
INPPL1,-
AHNAK,Hs.502756
APOC1,Hs.110675
ATF4,Hs.496487
CXCR5,Hs.113916
CCNF,Hs.1973
CD79A,Hs.631567
CDK2,Hs.689624
CDKN2D,Hs.435051
CKB,-
CKM,Hs.334347
CKS1B,Hs.374378
CLTB,Hs.484241
COL6A1,-
COL6A2,Hs.420269
COL9A3,-
COX7A1,Hs.421621
CSNK1D,-
CSNK2A1,-
CSPG4,Hs.513044
CTNNA1,-
CTRB1,Hs.610926
CTRL,Hs.654546
CFD,-
E2F4,Hs.108371
ENO2,-
EVPL,Hs.500635
FGFR4,Hs.165950
GRB2,Hs.444356
GRIK5,Hs.367799
HOXB1,Hs.99992
HRC,Hs.436885
ICAM3,Hs.654563
IDH2,-
INHA,Hs.407506
ISG20,Hs.459265
ITGA3,-
JUNB,Hs.25292
KCNN1,Hs.158173
KISS1,Hs.95008
KPNB1,-
KRT15,Hs.654570
KRT19,Hs.654568
LRP1,Hs.162757
LRPAP1,-
MAFK,Hs.520612
MIF,Hs.407995
MVD,Hs.252457
MYL5,Hs.410970
NDUFS8,Hs.90443
NGFR,Hs.681726
NME3,-
NTHL1,-
OAZ2,Hs.744924
P2RY2,Hs.572077
PCK1,Hs.1872
CDK18,Hs.445402
PDPK1,Hs.459691
PEX10,Hs.732228
PML,Hs.526464
POLR2E,Hs.24301
PPP4C,Hs.534338
PRKAR1A,-
PKN1,Hs.466044
MAPK7,-
PRSS8,Hs.75799
PSMA7,-
PSMB10,Hs.9661
PSMD12,-
PSME2,Hs.434081
PTPN9,Hs.445775
PTPRF,Hs.272062
RARS,-
RGS16,Hs.413297
MRPL12,-
RPS2,Hs.506997
RXRA,Hs.590886
SEPW1,Hs.631549
TFAP2C,-
TK1,Hs.515122
TRAPPC10,-
TRIP6,Hs.534360
TSTA3,Hs.404119
UBE2D3,-
UCP2,Hs.80658
ZNF7,Hs.493218
SLC7A5,Hs.513797
HIST2H2AC,Hs.408067
HIST2H2BE,Hs.2178
ULK1,Hs.47061
ANXA9,Hs.3346
AURKA,Hs.250822
PDXK,Hs.284491
NPFF,Hs.733076
PSMG1,Hs.473838
RFXANK,Hs.296776
STX10,Hs.43812
B4GALT2,Hs.632403
EED,Hs.503510
TNFRSF10B,Hs.661668
DPM2,Hs.108973
MCM3AP,-
FOXH1,Hs.708365
SELENBP1,-
RHBDL1,Hs.137572
PSTPIP1,Hs.129758
ARRB1,Hs.503284
EMX1,Hs.516090
IDH3G,Hs.410197
NINJ1,Hs.494457
OAZ1,Hs.446427
P2RY6,Hs.16362
TARBP2,Hs.326
PIGQ,Hs.741878
SYNGR3,-
SLC28A1,Hs.459187
EBAG9,-
SLC9A3R1,-
GOSR2,Hs.463278
ASNA1,Hs.465985
ATP2A1,Hs.657344
BAD,Hs.370254
BAX,Hs.624291
BCL9,Hs.415209
CDC25B,Hs.153752
DKFZp434D064,Hs.130316
DDX6,Hs.408461
DVL2,Hs.118640
EFNA1,Hs.516664
EPHA2,Hs.171596
ENDOG,Hs.745161
EPHA4,Hs.371218
EPHB3,Hs.2913
GPS2,Hs.438219
FOXA3,Hs.36137
HNRNPU,Hs.106212
HOXB7,Hs.436181
MYT1,Hs.279562
NDUFB2,Hs.655788
NDUFB10,Hs.513266
NDUFS6,Hs.408257
NFATC3,-
SNRPD2,Hs.515472
TAF1,-
TBX6,Hs.198301
PABPN1,-
CLIC3,Hs.64746
